T_US,HALL_INF_MV,HALL_SUP_MV,PWM,SYNC_PULSE
279634641,1641,1779,0,0
279636641,1667,1637,0,0
279638641,1579,1879,0,0
279640641,1496,1649,0,0
279642641,1645,1741,0,0
279644641,1543,1742,0,0
279646641,1609,1843,0,0
279648641,1545,1831,0,0
279650641,1668,1697,0,0
279652641,1582,1781,0,0
279654641,1489,1719,0,0
279656641,1512,1688,0,0
279658641,1502,1728,0,0
279660641,1617,1671,0,0
279662641,1563,1665,0,0
279664641,1510,1779,0,0
279666641,1636,1727,0,0
279668641,1692,1771,0,0
279670641,1540,1742,0,0
279672641,1594,1659,0,0
279674641,1611,1641,0,0
279676641,1463,1654,0,0
279678641,1579,1630,0,0
279680641,1552,1796,0,0
279682641,1491,1816,0,0
279684641,1585,1652,0,0
279686641,1582,1671,0,0
279688641,1607,1764,0,0
279690641,1524,1731,0,0
279692641,1502,1635,0,0
279694641,1488,1706,0,0
279696641,1544,1613,0,0
279698641,1538,1712,0,0
279700641,1524,1595,0,0
279702641,1474,1654,0,0
279704641,1589,1668,0,0
279706641,1635,1692,0,0
279708641,1531,1778,0,0
279710641,1492,1648,0,0
279712641,1559,1743,0,0
279714641,1504,1741,0,0
279716641,1492,1696,0,0
279718641,1608,1615,0,0
279720641,1641,1793,0,0
279722641,1591,1697,0,0
279724641,1589,1692,0,0
279726641,1524,1690,0,0
279728641,1492,1766,0,0
279730641,1566,1729,0,0
279732641,1581,1624,0,0
279734641,1568,1794,0,0
279736641,1533,1760,0,0
279738641,1576,1849,0,0
279740641,1552,1831,0,0
279742641,1512,1643,0,0
279744641,1615,1505,0,0
279746641,1560,1824,0,0
279748641,1595,1641,0,0
279750641,1603,1809,0,0
279752641,1681,1658,0,0
279754641,1605,1751,0,0
279756641,1526,1765,0,0
279758641,1559,1723,0,0
279760641,1615,1641,0,0
279762641,1552,1602,0,0
279764641,1637,1759,0,0
279766641,1552,1665,0,0
279768641,1577,1641,0,0
279770641,1504,1743,0,0
279772641,1627,1606,0,0
279774641,1546,1725,0,0
279776641,1526,1670,0,0
279778641,1654,1677,0,0
279780641,1444,1769,0,0
279782641,1584,1685,0,0
279784641,1599,1708,0,0
279786641,1617,1666,0,0
279788641,1525,1794,0,0
279790641,1461,1758,0,0
279792641,1565,1692,0,0
279794641,1512,1666,0,0
279796641,1538,1765,0,0
279798641,1550,1717,0,0
279800641,1592,1731,0,0
279802641,1652,1809,0,0
279804641,1625,1761,0,0
279806641,1568,1632,0,0
279808641,1541,1796,0,0
279810641,1436,1629,0,0
279812641,1547,1739,0,0
279814641,1501,1692,0,0
279816641,1589,1748,0,0
