T_US,HALL_INF_MV,HALL_SUP_MV,PWM,SYNC_PULSE
3697211258,1493,1713,0,0
3697213258,1498,1705,0,0
3697215258,1492,1707,0,0
3697217258,1492,1709,0,0
3697219258,1499,1704,0,0
3697221258,1492,1701,0,0
3697223258,1488,1704,0,0
3697225258,1499,1709,0,0
3697227258,1492,1709,0,0
3697229258,1492,1708,0,0
3697231258,1492,1696,0,0
3697233258,1492,1705,0,0
3697235258,1488,1705,0,0
3697237258,1492,1710,0,0
3697239258,1492,1709,0,0
3697241258,1494,1701,0,0
3697243258,1491,1702,0,0
3697245258,1499,1710,0,0
3697247258,1500,1705,0,0
3697249258,1490,1703,0,0
3697251258,1490,1702,0,0
3697253258,1492,1701,0,0
3697255258,1501,1705,0,0
3697257258,1494,1701,0,0
3697259258,1494,1709,0,0
3697261258,1496,1709,0,0
3697263258,1495,1717,0,0
3697265258,1500,1701,0,0
3697267258,1500,1707,0,0
3697269258,1499,1697,0,0
3697271258,1491,1710,0,0
3697273258,1496,1694,0,0
3697275258,1490,1700,0,0
3697277258,1500,1701,0,0
3697279258,1489,1704,0,0
3697281258,1500,1705,0,0
3697283258,1500,1696,0,0
3697285258,1492,1701,0,0
3697287258,1496,1706,0,0
3697289258,1496,1701,0,0
3697291258,1501,1705,0,0
3697293258,1496,1706,0,0
3697295258,1492,1705,0,0
3697297258,1489,1703,0,0
3697299258,1497,1701,0,0
3697301258,1492,1705,0,0
3697303258,1499,1712,0,0
3697305258,1503,1703,0,0
3697307258,1496,1710,0,0
3697309258,1487,1702,0,0
3697311258,1489,1694,0,0
3697313258,1500,1706,0,0
3697315258,1502,1705,0,0
3697317258,1499,1710,0,0
3697319258,1503,1706,0,0
3697321258,1498,1702,0,0
3697323258,1497,1705,0,0
3697325258,1492,1697,0,0
3697327258,1500,1705,0,0
3697329258,1498,1706,0,0
3697331258,1501,1710,0,0
3697333258,1500,1709,0,0
3697335258,1496,1707,0,0
3697337258,1489,1704,0,0
3697339258,1498,1704,0,0
3697341258,1500,1709,0,0
3697343258,1497,1713,0,0
3697345258,1491,1704,0,0
3697347258,1497,1707,0,0
3697349258,1498,1705,0,0
3697351258,1492,1701,0,0
3697353258,1504,1697,0,0
3697355258,1498,1705,0,0
3697357258,1492,1705,0,0
3697359258,1496,1709,0,0
