T_US,HALL_INF_MV,HALL_SUP_MV,PWM,SYNC_PULSE,posição,tempo_video_ms,posicao_video_valida,tracking_interp_gap_ms,sync_pair_index,sync_fit_residual_ms
3699149258,1498,1670,210,1,13.705248805,0.030249867,1,4.166666667,,
3699151258,1499,1624,210,1,13.705248805,2.030196704,1,4.166666667,,
3699153258,1482,1598,210,1,13.705248805,4.030143541,1,4.166666667,,
3699155258,1477,1564,210,1,13.705248805,6.030090377,1,4.166666667,,
3699157258,1468,1532,210,1,13.705248805,8.030037214,1,4.166666667,,
3699159258,1458,1511,210,1,13.704377792,10.029984051,1,4.166666667,,
3699161258,1450,1475,210,1,13.703351076,12.029930888,1,4.166666667,,
3699163258,1449,1449,210,1,13.703109756,14.029877725,1,4.166666667,,
3699165258,1437,1428,210,1,13.703109756,16.029824561,1,4.166666667,,
3699167258,1432,1408,210,1,13.703109756,18.029771398,1,4.166666667,,
3699169258,1425,1371,210,1,13.703109756,20.029718235,1,4.166666667,,
3699171258,1421,1359,210,1,13.703109756,22.029665072,1,4.166666667,,
3699173258,1420,1339,210,1,13.703109756,24.029611909,1,4.166666667,,
3699175258,1420,1329,210,1,13.703557453,26.029558745,1,4.166666667,,
3699177258,1416,1310,210,1,13.704427116,28.029505582,1,4.166666667,,
3699179258,1410,1287,210,1,13.706680243,30.029452419,1,4.166666667,,
3699181258,1403,1274,210,1,13.710756789,32.029399256,1,4.166666667,,
3699183258,1399,1265,210,1,13.713414634,34.029346093,1,4.166666667,,
3699185258,1400,1256,210,1,13.713414634,36.029292929,1,4.166666667,,
3699187258,1398,1244,210,1,13.713414634,38.029239766,1,4.166666667,,
3699189258,1396,1233,210,1,13.713414634,40.029186603,1,4.166666667,,
3699191258,1371,1225,210,1,13.71665999,42.02913344,1,4.166666667,,
3699193258,1389,1212,210,1,13.734566565,44.029080276,1,4.166666667,,
3699195258,1371,1216,210,1,13.751759722,46.029027113,1,4.166666667,,
3699197258,1371,1198,210,1,13.76237532,48.02897395,1,4.166666667,,
3699199258,1371,1190,210,1,13.772855639,50.028920787,1,4.166666667,,
3699201258,1371,1188,210,1,13.774116355,52.028867624,1,4.166666667,,
3699203258,1371,1183,210,1,13.775377072,54.02881446,1,4.166666667,,
3699205258,1371,1175,210,1,13.782727154,56.028761297,1,4.166666667,,
3699207258,1371,1162,210,1,13.790528036,58.028708134,1,4.166666667,,
3699209258,1371,1168,210,1,13.795997097,60.028654971,1,4.166666667,,
3699211258,1370,1166,210,1,13.801047163,62.028601808,1,4.166666667,,
3699213258,1371,1162,210,1,13.81500317,64.028548644,1,4.166666667,,
