T_US,HALL_INF_MV,HALL_SUP_MV,PWM,SYNC_PULSE
348818555,1512,1705,0,0
348820555,1512,1705,0,0
348822555,1512,1697,0,0
348824555,1512,1703,0,0
348826555,1511,1705,0,0
348828555,1512,1701,0,0
348830555,1512,1704,0,0
348832555,1512,1697,0,0
348834555,1508,1712,0,0
348836555,1513,1707,0,0
348838555,1516,1707,0,0
348840555,1512,1697,0,0
348842555,1513,1704,0,0
348844555,1512,1703,0,0
348846555,1510,1702,0,0
348848555,1514,1704,0,0
348850555,1508,1704,0,0
348852555,1512,1705,0,0
348854555,1513,1702,0,0
348856555,1512,1699,0,0
348858555,1508,1704,0,0
348860555,1512,1705,0,0
348862555,1512,1704,0,0
348864555,1512,1708,0,0
348866555,1510,1705,0,0
348868555,1512,1711,0,0
348870555,1511,1704,0,0
348872555,1512,1706,0,0
348874555,1511,1715,0,0
348876555,1511,1707,0,0
348878555,1511,1707,0,0
348880555,1512,1712,0,0
348882555,1508,1709,0,0
348884555,1512,1701,0,0
348886555,1508,1700,0,0
348888555,1513,1705,0,0
348890555,1512,1704,0,0
348892555,1512,1709,0,0
348894555,1512,1705,0,0
348896555,1510,1709,0,0
348898555,1512,1705,0,0
348900555,1512,1705,0,0
348902555,1512,1701,0,0
348904555,1511,1709,0,0
348906555,1512,1702,0,0
348908555,1512,1713,0,0
348910555,1510,1699,0,0
348912555,1512,1712,0,0
348914555,1512,1701,0,0
348916555,1513,1707,0,0
348918555,1511,1697,0,0
348920555,1511,1701,0,0
348922555,1512,1703,0,0
348924555,1512,1710,0,0
348926555,1509,1707,0,0
348928555,1512,1702,0,0
348930555,1513,1707,0,0
348932555,1512,1701,0,0
348934555,1510,1702,0,0
348936555,1513,1707,0,0
348938555,1512,1708,0,0
348940555,1512,1712,0,0
348942555,1511,1705,0,0
348944555,1512,1701,0,0
348946555,1510,1704,0,0
348948555,1508,1705,0,0
348950555,1512,1703,0,0
348952555,1503,1698,0,0
348954555,1512,1701,0,0
348956555,1512,1709,0,0
348958555,1512,1702,0,0
348960555,1510,1700,0,0
348962555,1508,1705,0,0
348964555,1512,1707,0,0
348966555,1512,1705,0,0
348968555,1511,1709,0,0
348970555,1512,1702,0,0
348972555,1512,1704,0,0
348974555,1507,1704,0,0
348976555,1513,1709,0,0
348978555,1512,1700,0,0
348980555,1511,1703,0,0
348982555,1512,1702,0,0
348984555,1512,1701,0,0
348986555,1512,1704,0,0
348988555,1512,1703,0,0
348990555,1503,1701,0,0
348992555,1512,1704,0,0
348994555,1514,1701,0,0
348996555,1512,1708,0,0
348998555,1511,1699,0,0
349000555,1516,1707,0,0
349002555,1509,1708,0,0
349004555,1512,1705,0,0
349006555,1512,1702,0,0
349008555,1508,1700,0,0
349010555,1512,1705,0,0
349012555,1508,1712,0,0
349014555,1512,1701,0,0
349016555,1512,1697,0,0
349018555,1512,1704,0,0
349020555,1512,1703,0,0
349022555,1512,1707,0,0
349024555,1510,1702,0,0
349026555,1512,1701,0,0
349028555,1511,1707,0,0
349030555,1512,1709,0,0
349032555,1511,1705,0,0
349034555,1509,1707,0,0
349036555,1512,1699,0,0
349038555,1510,1705,0,0
349040555,1510,1704,0,0
349042555,1511,1697,0,0
349044555,1512,1705,0,0
349046555,1512,1697,0,0
349048555,1512,1708,0,0
349050555,1514,1699,0,0
349052555,1510,1703,0,0
349054555,1513,1704,0,0
349056555,1510,1701,0,0
349058555,1512,1700,0,0
349060555,1512,1701,0,0
349062555,1512,1707,0,0
349064555,1509,1706,0,0
349066555,1512,1705,0,0
349068555,1514,1713,0,0
349070555,1512,1709,0,0
349072555,1513,1706,0,0
349074555,1512,1701,0,0
349076555,1508,1705,0,0
349078555,1512,1704,0,0
349080555,1511,1703,0,0
349082555,1511,1706,0,0
349084555,1512,1707,0,0
349086555,1508,1702,0,0
349088555,1508,1705,0,0
