frame,frame_sync,tempo_ms,posicao_mm,posicao_raw_mm,valid,confidence,led_on
125,0,0.0,10.876906318082789,10.89089184060721,True,0.8077082477430431,True
126,1,4.166666666666667,10.876906318082789,10.876906318082789,True,0.8071909488402776,True
127,2,8.333333333333334,10.89089184060721,10.866581415174766,True,0.8075255119229411,True
128,3,12.5,10.89089184060721,10.87688731823479,True,0.8072450772034835,True
129,4,16.666666666666668,10.908000901510029,10.908000901510029,True,0.8091427902952177,True
130,5,20.833333333333332,10.969601677148846,10.971251302453346,True,0.8076829424633516,True
131,6,25.0,10.97022512708787,10.981609637318979,True,0.8077139018443241,True
132,7,29.166666666666668,10.970731707317073,10.969601677148846,True,0.8076157913596733,True
133,8,33.333333333333336,10.971251302453346,10.97022512708787,True,0.8067951740205375,True
134,9,37.5,10.981609637318979,10.970731707317073,True,0.8076990551506597,True
135,10,41.666666666666664,10.988673108796947,10.988673108796947,True,0.8074553710344926,True
136,11,45.83333333333333,10.997408158665763,10.997408158665763,True,0.8079066929323111,True
137,12,50.0,11.000380259630733,11.010992275698158,True,0.8076617894620831,True
138,13,54.16666666666667,11.010992275698158,11.000380259630733,True,0.8089677753749909,True
139,14,58.333333333333336,11.011938108576764,11.011938108576764,True,0.8070813745768469,True
140,15,62.5,11.058901338313103,11.058901338313103,True,0.8091489706103178,True
141,16,66.66666666666667,11.062707831670679,11.085403050108932,True,0.8095238620569719,True
142,17,70.83333333333333,11.085403050108932,11.062707831670679,True,0.8105196874112577,True
143,18,75.0,11.130718954248366,11.132741985683161,True,0.8106707605909227,True
144,19,79.16666666666666,11.132741985683161,11.130718954248366,True,0.811739815824869,True
145,20,83.33333333333333,11.180176749062197,11.180176749062197,True,0.8117019248032166,True
146,21,87.5,11.281434796140678,11.281434796140678,True,0.8130290084275257,True
147,22,91.66666666666666,11.39978213507625,11.39978213507625,True,0.8154601116372696,True
148,23,95.83333333333334,11.539884903142998,11.539884903142998,True,0.8174001588047202,True
149,24,100.0,11.712037037037037,11.712037037037037,True,0.8193147073476281,True
150,25,104.16666666666667,11.874033064206074,11.874033064206074,True,0.8202450815582959,True
151,26,108.33333333333334,12.145424836601306,12.145424836601306,True,0.8217570691127103,True
152,27,112.5,12.426470588235293,12.426470588235293,True,0.8235519322026513,True
153,28,116.66666666666667,12.815686274509803,12.815686274509803,True,0.8237277699735841,True
154,29,120.83333333333333,13.372912127814088,13.372912127814088,True,0.8268998932099145,True
155,30,125.0,13.977124183006534,13.977124183006534,True,0.8270960033313199,True
156,31,129.16666666666669,14.699346405228757,14.699346405228757,True,0.817729078177651,True
157,32,133.33333333333334,15.874727668845315,15.874727668845315,True,0.765792958568236,True
158,33,137.5,17.248366013071895,17.248366013071895,True,0.7679245266155937,True
159,34,141.66666666666666,22.438697318007662,22.438697318007662,True,0.601648260423462,True
160,35,145.83333333333334,22.473856209150327,22.473856209150327,True,0.6481198633497086,True
161,36,150.0,23.844296858528356,23.844296858528356,True,0.7926112822263885,True
162,37,154.16666666666669,23.941176470588236,23.941176470588236,True,0.791658543870307,True
163,38,158.33333333333331,23.97337206487533,23.97337206487533,True,0.8046679373472982,True
164,39,162.5,23.996709980288408,23.996709980288408,True,0.8066826539729033,True
165,40,166.66666666666666,23.996709980288408,24.05854791715883,True,0.8075687315464191,True
166,41,170.83333333333334,23.996709980288408,24.05683432793407,True,0.8077100377082681,True
167,42,175.0,24.014001877346683,24.014001877346683,True,0.8082920430966598,True
168,43,179.16666666666666,24.032366371206017,23.935324463118576,True,0.805152217321284,True
169,44,183.33333333333331,24.032366371206017,23.943790849673203,True,0.8035118977155783,True
170,45,187.5,24.032366371206017,24.032366371206017,True,0.8057593812004441,True
171,46,191.66666666666669,24.032366371206017,24.08713215559976,True,0.8082847728300463,True
172,47,195.83333333333334,24.032366371206017,24.06313131313131,True,0.8053718828481401,True
173,48,200.0,24.032366371206017,24.03239962651727,True,0.8050661784931029,False
174,49,204.16666666666666,24.019165947301353,24.019165947301353,True,0.8023818791294487,False
175,50,208.33333333333334,24.013724223539544,24.013724223539544,True,0.8054795904500708,False
176,51,212.5,23.98533042846768,23.98533042846768,True,0.8024175112907295,False
177,52,216.66666666666669,23.862435540253834,23.862435540253834,True,0.8039646088251124,False
178,53,220.83333333333331,23.734479884296057,23.734479884296057,True,0.8022403253596452,False
179,54,225.0,23.635076252723312,23.635076252723312,True,0.7992940075346922,False
180,55,229.16666666666666,23.45098039215686,23.45098039215686,True,0.7868855860428423,False
181,56,233.33333333333334,22.642002448172853,22.642002448172853,True,0.7824815735951647,False
182,57,237.5,22.537549756744802,22.537549756744802,True,0.7765104167999994,False
183,58,241.66666666666666,22.363263824048136,22.32516339869281,True,0.7689366766271855,False
184,59,245.83333333333331,22.32516339869281,22.363263824048136,True,0.7547357759954295,False
185,60,250.0,17.545751633986928,17.545751633986928,True,0.7855391336315068,False
186,61,254.16666666666666,16.016339869281044,16.016339869281044,True,0.7724046049740936,False
187,62,258.33333333333337,14.401960784313724,14.401960784313724,True,0.7998947276751741,False
188,63,262.5,12.759259259259258,12.759259259259258,True,0.7931128480389874,False
189,64,266.6666666666667,11.592884948096884,11.592884948096884,True,0.8229164491023511,False
190,65,270.8333333333333,11.592884948096884,11.38116458704694,True,0.523257897662159,False
191,66,275.0,11.592884948096884,11.19019607843137,True,0.8036081194669499,False
192,67,279.1666666666667,11.38116458704694,10.93954248366013,True,0.7925541843249478,False
193,68,283.3333333333333,11.19019607843137,11.909586056644878,True,0.4873195948614722,False
194,69,287.5,11.19019607843137,12.716775599128539,True,0.48329861548816366,False
195,70,291.6666666666667,11.513071895424837,10.408496732026142,True,0.41797439334748265,False
196,71,295.8333333333333,11.909586056644878,10.986274509803922,True,0.43115191963718963,False
197,72,300.0,11.786640918993859,11.513071895424837,True,0.44459329548022525,False
198,73,304.16666666666663,11.786640918993859,14.436533693937344,True,0.5732254291492542,False
199,74,308.33333333333337,13.38235294117647,14.497124183006536,True,0.5818828859085992,False
200,75,312.5,13.38235294117647,11.786640918993859,True,0.4701465929953095,False
201,76,316.66666666666663,13.38235294117647,13.886290071584186,True,0.5685478511587475,False
202,77,320.83333333333337,12.668627450980392,13.38235294117647,True,0.5477358688804556,False
203,78,325.0,12.304330065359476,12.668627450980392,True,0.5454116740043898,False
204,79,329.1666666666667,12.304330065359476,12.299564270152503,True,0.8037430397701201,False
205,80,333.3333333333333,12.299564270152503,12.270543718003195,True,0.7997515776124843,False
206,81,337.5,12.270543718003195,12.304330065359476,True,0.8105217334323532,False
207,82,341.6666666666667,11.991013071895424,11.991013071895424,True,0.8069476320512121,False
208,83,345.8333333333333,11.57758412006778,11.513071895424837,True,0.8027441579688739,False
209,84,350.0,11.57758412006778,11.258169934640522,True,0.8034680250242309,False
210,85,354.1666666666667,11.52806612841215,11.366576515663736,True,0.8056885705093433,False
211,86,358.3333333333333,11.513071895424837,11.57758412006778,True,0.8062116931911585,False
212,87,362.5,11.375216426193118,11.63108206245461,True,0.8017375788648845,False
213,88,366.66666666666663,11.375758636788046,11.52806612841215,True,0.8063392214980589,False
214,89,370.83333333333337,11.375758636788046,11.374183716039607,True,0.8063453345769459,False
215,90,375.0,11.375216426193118,11.375216426193118,True,0.8056466163328742,False
216,91,379.16666666666663,11.374183716039607,11.375758636788046,True,0.8048364886892666,False
217,92,383.33333333333337,11.15432098765432,11.15432098765432,True,0.5422594698079645,False
218,93,387.5,10.933561231510147,10.882295440170202,True,0.540769956552518,False
219,94,391.6666666666667,10.918836483542364,10.790849673202613,True,0.5341561391063527,False
220,95,395.8333333333333,10.918836483542364,10.857929136566906,True,0.7989812059654134,False
221,96,400.0,10.882295440170202,10.933561231510147,True,0.8021555516105265,False
222,97,404.1666666666667,10.857929136566906,10.918836483542364,True,0.8022758170548132,False
223,98,408.3333333333333,10.857929136566906,10.928599722717369,True,0.802231282432009,False
224,99,412.5,10.790849673202613,10.786297852474323,True,0.7974186330041462,False
225,100,416.6666666666667,10.786297852474323,10.703170629954109,True,0.7960355268629251,False
226,101,420.8333333333333,10.783046551954113,10.730814848461906,True,0.7985500446157268,False
227,102,425.0,10.77116212338594,10.790849673202613,True,0.7978835456973339,False
228,103,429.16666666666663,10.77116212338594,10.783046551954113,True,0.7988687693009096,False
229,104,433.33333333333337,10.778954248366013,10.77116212338594,True,0.8000289542716111,False
230,105,437.5,10.778954248366013,10.770846762176062,True,0.8003235588253335,False
231,106,441.66666666666663,10.77116212338594,10.781998910675382,True,0.799868853383889,False
232,107,445.83333333333337,10.770846762176062,10.778954248366013,True,0.7997994496995592,False
233,108,450.0,10.76040305010893,10.76040305010893,True,0.7984246877233462,False
234,109,454.1666666666667,10.76040305010893,10.759290382819794,True,0.7990616549779883,False
235,110,458.3333333333333,10.76040305010893,10.717320261437909,True,0.7986389058096189,False
236,111,462.5,10.76040305010893,10.754435107376285,True,0.7991050237803677,False
237,112,466.6666666666667,10.77450980392157,10.77450980392157,True,0.7989281120612771,False
238,113,470.8333333333333,10.77521639286345,10.77521639286345,True,0.8000180896559737,False
239,114,475.0,10.779342087185222,10.779342087185222,True,0.799546227504412,False
240,115,479.1666666666667,10.779342087185222,10.78368486133192,True,0.7995902067172215,False
241,116,483.3333333333333,10.779342087185222,10.782324681535583,True,0.7996545026638865,False
242,117,487.5,10.779342087185222,10.78072590738423,True,0.7989545997518318,False
243,118,491.66666666666663,10.777291058267277,10.777291058267277,True,0.7975250170672583,False
244,119,495.83333333333337,10.774376417233558,10.76657329598506,True,0.7974229303105712,False
245,120,500.0,10.76812585499316,10.766149870801033,True,0.7993002887541469,False
246,121,504.16666666666663,10.76657329598506,10.774376417233558,True,0.7993732967619137,False
247,122,508.3333333333333,10.766149870801033,10.76812585499316,True,0.7992192993720553,False
248,123,512.5,10.766149870801033,10.762881263616558,True,0.8000646045238867,False
249,124,516.6666666666667,10.76812585499316,10.765499241859724,True,0.8009440419352221,False
250,125,520.8333333333334,10.76812585499316,10.754030501089323,True,0.8008378661344374,False
251,126,525.0,10.767739566878737,10.779263220439692,True,0.8014129387884671,False
252,127,529.1666666666666,10.772535070938943,10.775458813005745,True,0.7996736054464225,False
253,128,533.3333333333334,10.772535070938943,10.774208608174451,True,0.7993343844545833,False
254,129,537.5,10.772535070938943,10.767739566878737,True,0.799686656553837,False
255,130,541.6666666666666,10.767739566878737,10.772535070938943,True,0.7995027535623113,False
256,131,545.8333333333333,10.764887436456064,10.759730642847224,True,0.7992164057490072,False
257,132,550.0,10.764887436456064,10.743933436066387,True,0.8005989295058475,False
258,133,554.1666666666667,10.759730642847224,10.764887436456064,True,0.8006441290788783,False
259,134,558.3333333333334,10.759730642847224,10.764887436456064,True,0.8006291669021274,False
260,135,562.5,10.764887436456064,10.753098940725716,True,0.8007000041595228,False
261,136,566.6666666666666,10.764887436456064,10.755748844253148,True,0.7993562426997671,False
262,137,570.8333333333333,10.758678539166343,10.777718360071301,True,0.8002414817499328,False
263,138,575.0,10.758678539166343,10.767017376056113,True,0.7993113114960142,False
264,139,579.1666666666667,10.767017376056113,10.75564892623716,True,0.7992594350197884,False
265,140,583.3333333333334,10.777718360071301,10.758678539166343,True,0.7995856906516405,False
266,141,587.5,10.783861771659016,10.793853128683168,True,0.8004812762189346,False
267,142,591.6666666666666,10.783861771659016,10.794013350020858,True,0.8005444600923441,False
268,143,595.8333333333334,10.783861771659016,10.793457669080885,True,0.800682294246405,False
269,144,600.0,10.783861771659016,10.783861771659016,True,0.7999854916565516,False
270,145,604.1666666666666,10.783861771659016,10.773148148148147,True,0.7994647687882518,False
271,146,608.3333333333333,10.780365900544817,10.77934368191721,True,0.7997251716770474,False
272,147,612.5,10.779684095860567,10.776377217553685,True,0.7993951413694536,False
273,148,616.6666666666667,10.779684095860567,10.786803610333022,True,0.7994944697572409,False
274,149,620.8333333333334,10.780365900544817,10.780365900544817,True,0.7999323843696428,False
275,150,625.0,10.780365900544817,10.779684095860567,True,0.7998727594972693,False
276,151,629.1666666666666,10.780365900544817,10.787091774694373,True,0.8002997289815637,False
277,152,633.3333333333333,10.780365900544817,10.787091774694373,True,0.800350400701179,False
278,153,637.5,10.779981760145919,10.776564954147032,True,0.8002789359109226,False
279,154,641.6666666666667,10.780734516028632,10.779981760145919,True,0.8005619165218751,False
280,155,645.8333333333334,10.780734516028632,10.780734516028632,True,0.8005149858814592,False
281,156,650.0,10.779981760145919,10.779981760145919,True,0.8005193461011322,False
282,157,654.1666666666666,10.780734516028632,10.793085655314755,True,0.8003039720989692,False
283,158,658.3333333333334,10.78859798495814,10.788707077262215,True,0.8002544795814085,False
284,159,662.5,10.78859798495814,10.774629296162908,True,0.8000942780901109,False
285,160,666.6666666666666,10.78859798495814,10.78859798495814,True,0.8001771703606542,False
286,161,670.8333333333333,10.78859798495814,10.78859798495814,True,0.800190256590922,False
287,162,675.0,10.78859798495814,10.788944947699678,True,0.8002149877269016,False
288,163,679.1666666666667,10.788944947699678,10.787581699346404,True,0.8004539156256235,False
289,164,683.3333333333334,10.788944947699678,10.789276204308884,True,0.8004484919535032,False
290,165,687.5,10.788944947699678,10.789276204308884,True,0.8003495805817827,False
291,166,691.6666666666666,10.787581699346404,10.789276204308884,True,0.8001528615000683,False
292,167,695.8333333333333,10.784052287581698,10.780228758169933,True,0.8001648599878054,False
293,168,700.0,10.782679738562091,10.777222838821062,True,0.8000847159489468,False
294,169,704.1666666666667,10.780228758169933,10.784052287581698,True,0.8001698306425613,False
295,170,708.3333333333334,10.777222838821062,10.782679738562091,True,0.8002365619693468,False
296,171,712.5,10.777222838821062,10.771341870081365,True,0.8001608336043637,False
297,172,716.6666666666666,10.77450980392157,10.75954592363261,True,0.8000974114226634,False
298,173,720.8333333333334,10.772378516624041,10.77450980392157,True,0.8005125569073007,False
299,174,725.0,10.772378516624041,10.77918749199026,True,0.8004515291030656,False
300,175,729.1666666666666,10.77323449705085,10.772378516624041,True,0.7991198436640626,False
301,176,733.3333333333333,10.77450980392157,10.772378516624041,True,0.799132239711246,False
