frame,rank,x_center_px,y_center_px,bbox_x_px,bbox_y_px,bbox_w_px,bbox_h_px,bbox_aspect,area_px,fill_ratio,circularity,mean_gray,confidence,method,mask_threshold,q_dark,fracao_bbox_a_direita_da_regua,limite_regua_x_px,topo_ruler_mm_estimado,topo_score,valid_ball_candidate,top_valid,top_reason,y_top_blob_px,y_top_subpx,x_top_blob_px,top_columns_used
0,0,222.45352149592014,261.6856484642815,127.0,177.0,181.0,160.0,1.13125,24163.5,0.834375,0.8135845353312023,75.84002945749121,0.8628978329407535,dark_blob,75.0,70.0,0.0,324.0,15.537181712962962,0.4187323173868312,True,True,OK,178.0,178.52777777777777,230.0,180
1,0,222.40636746742808,261.6548931973211,127.0,177.0,181.0,160.0,1.13125,24164.5,0.8344095303867404,0.8136182053101098,75.84711369308185,0.8628961702374818,dark_blob,75.0,70.0,0.0,324.0,15.537181712962962,0.4187323173868312,True,True,OK,178.0,178.52777777777777,230.0,180
2,0,222.41229867218485,261.5965649249871,127.0,177.0,181.0,160.0,1.13125,24162.5,0.8343404696132597,0.8113489386146354,75.90814614786629,0.862522343894665,dark_blob,75.0,70.0,0.0,324.0,15.542236328125,0.4190131293402778,True,True,OK,178.0,178.453125,230.0,181
3,0,222.4156786470511,261.58813548800924,127.0,177.0,181.0,160.0,1.13125,24164.5,0.8344095303867404,0.8114160959963705,75.91690872642474,0.8625291326276596,dark_blob,75.0,70.0,0.0,324.0,15.542236328125,0.4190131293402778,True,True,OK,178.0,178.453125,230.0,181
4,0,222.4003186492582,261.5999710318856,127.0,177.0,181.0,160.0,1.13125,24164.5,0.8344095303867404,0.8136182046750609,75.9189133903367,0.862766770137359,dark_blob,75.0,70.0,0.0,324.0,15.538122106481481,0.41878456147119336,True,True,OK,178.0,178.51388888888889,230.0,181
5,0,222.4344906592686,261.58141653381915,127.0,177.0,181.0,160.0,1.13125,24150.5,0.8339261049723757,0.8109459921107552,75.900159646322,0.8623751501257851,dark_blob,75.0,70.0,0.0,324.0,15.538122106481481,0.41878456147119336,True,True,OK,178.0,178.51388888888889,230.0,180
6,0,222.40190010970133,261.5778154947944,127.0,177.0,181.0,160.0,1.13125,24156.5,0.8341332872928177,0.8133488451614305,75.85050133005933,0.8627969996068507,dark_blob,75.0,70.0,0.0,324.0,15.537207477168948,0.41873374873160824,True,True,OK,178.0,178.52739726027397,230.0,180
7,0,222.4202877548908,261.5733360935721,127.0,177.0,181.0,160.0,1.13125,24152.5,0.8339951657458563,0.8132141652458532,75.83320371658958,0.8627883079210937,dark_blob,75.0,70.0,0.0,324.0,15.538171600877192,0.41878731115984397,True,True,OK,178.0,178.51315789473685,230.0,180
8,0,222.41980165220812,261.5713575850432,127.0,177.0,181.0,160.0,1.13125,24149.5,0.8338915745856353,0.8131131553091702,75.82090224332734,0.8627765124680832,dark_blob,75.0,70.0,0.0,324.0,15.538171600877192,0.41878731115984397,True,True,OK,178.0,178.51315789473685,230.0,180
9,0,222.40245492744924,261.5701186065285,127.0,177.0,181.0,160.0,1.13125,24155.5,0.8340987569060774,0.8133151751825363,75.79950069575182,0.8629023746932721,dark_blob,75.0,70.0,0.0,324.0,15.541053921568627,0.41894744008714596,True,True,OK,178.0,178.47058823529412,230.0,180
