Corrente(A),Distancia(cm),ForcaFy(N),Indutancia(H)
1.5,-0.75,0.8513885795440532,0.4138832065042031
1.5,-1,0.4778460492549303,0.4123249976730963
1.5,-1.25,0.2827145307097624,0.4113647597325265
1.5,-1.5,0.1760946184205456,0.4108231772138199
1.5,-1.75,0.1116929736742585,0.410502750203655
1.5,-2,0.07341671751450106,0.4103023052712665
1.5,-2.25,0.04832956984870206,0.4101058315234248
1.5,-2.5,0.03392862066207462,0.4099865981754138
1.5,-2.75,0.02459930752857865,0.4098566105536563
1.5,-3,0.01759500244147361,0.4096509440406302
1.75,-0.05,17.49441781073935,0.4332793279575753
1.75,-0.25,4.880086467690229,0.4219837372458524
1.75,-0.5,2.208829778928848,0.4165401679575692
1.75,-0.75,1.15883445549054,0.4138832065042063
1.75,-1,0.6504015670414352,0.4123249976730961
1.75,-1.25,0.3848058890216215,0.4113647597325273
1.75,-1.5,0.2396843417390747,0.4108231772138187
1.75,-1.75,0.1520265475010761,0.4105027502036563
1.75,-2,0.09992830995029352,0.4103023052712704
1.75,-2.25,0.06578191451629031,0.4101058315234252
1.75,-2.5,0.04618062256782386,0.4099865981754122
1.75,-2.75,0.03348239080278744,0.4098566105536562
1.75,-3,0.02394875332311719,0.4096509440406321
2,-0.05,22.84985183443492,0.433279327957576
2,-0.25,6.373990488411847,0.4219837372458525
2,-0.5,2.885002160233642,0.4165401679575735
2,-0.75,1.513579696967224,0.4138832065042055
2,-1,0.8495040875643212,0.4123249976730977
2,-1.25,0.5026036101506878,0.4113647597325269
2,-1.5,0.313057099414304,0.4108231772138204
2,-1.75,0.1985652865320164,0.4105027502036553
2,-2,0.1305186089146691,0.4103023052712663
2,-2.25,0.08591923528658267,0.4101058315234243
2,-2.5,0.06031754784368914,0.4099865981754139
2,-2.75,0.04373210227302846,0.4098566105536562
2,-3,0.03128000434039788,0.409650944040631
2.25,-0.05,28.91934372795719,0.4332793279575777
2.25,-0.25,8.06708171189622,0.4219837372458528
2.25,-0.5,3.651330859045639,0.4165401679575682
2.25,-0.75,1.915624303974157,0.4138832065042044
2.25,-1,1.075153610823594,0.4123249976730967
2.25,-1.25,0.6361076940969758,0.4113647597325293
2.25,-1.5,0.3962128914462234,0.4108231772138192
2.25,-1.75,0.2513091907670801,0.4105027502036543
2.25,-2,0.1651876144076284,0.4103023052712683
2.25,-2.25,0.108741532159581,0.4101058315234237
2.25,-2.5,0.07633939648966706,0.409986598175411
2.25,-2.75,0.05534844193930103,0.4098566105536536
2.25,-3,0.03958875549331579,0.4096509440406287
2.5,-0.05,35.70289349130479,0.4332793279575761
2.5,-0.25,9.959360138143435,0.4219837372458514
2.5,-0.5,4.507815875365036,0.416540167957572
2.5,-0.75,2.364968276511315,0.4138832065042061
2.5,-1,1.327350136819261,0.4123249976730976
2.5,-1.25,0.785318140860453,0.4113647597325276
2.5,-1.5,0.489151717834847,0.4108231772138187
2.5,-1.75,0.3102582602062756,0.4105027502036567
2.5,-2,0.203935326429172,0.4103023052712693
2.5,-2.25,0.1342488051352844,0.410105831523423
2.5,-2.5,0.09424616850576388,0.4099865981754147
2.5,-2.75,0.06833140980160694,0.4098566105536556
2.5,-3,0.04887500678187202,0.4096509440406309
2.75,-0.05,43.20050112447922,0.4332793279575767
2.75,-0.25,12.0508257671536,0.4219837372458542
2.75,-0.5,5.454457209191714,0.4165401679575728
2.75,-0.75,2.861611614578674,0.4138832065042061
2.75,-1,1.606093665551293,0.4123249976730962
2.75,-1.25,0.950234950441156,0.4113647597325283
2.75,-1.5,0.5918735785801681,0.4108231772138192
2.75,-1.75,0.3754124948495957,0.4105027502036568
2.75,-2,0.246761744979301,0.4103023052712706
2.75,-2.25,0.162441054213696,0.4101058315234266
2.75,-2.5,0.1140378638919739,0.4099865981754149
2.75,-2.75,0.0826810058599436,0.4098566105536547
2.75,-3,0.05913875820606419,0.4096509440406288
3,-0.05,51.41216662747892,0.4332793279575732
3,-0.25,14.34147859892668,0.4219837372458546
3,-0.5,6.491254860525685,0.4165401679575732
3,-0.75,3.405554318176213,0.4138832065042031
3,-1,1.911384197019721,0.4123249976730963
3,-1.25,1.13085812283905,0.4113647597325265
3,-1.5,0.7043784736821822,0.4108231772138199
3,-1.75,0.446771894697034,0.410502750203655
3,-2,0.2936668700580042,0.4103023052712665
3,-2.25,0.1933182793948083,0.4101058315234248
3,-2.5,0.1357144826482985,0.4099865981754138
3,-2.75,0.09839723011431462,0.4098566105536563
3,-3,0.07038000976589443,0.4096509440406302
