frame,rank,x_center_px,y_center_px,bbox_x_px,bbox_y_px,bbox_w_px,bbox_h_px,area_px,fill_ratio,circularity,mean_gray,confidence,method,top_valid,top_reason,y_top_blob_px,y_top_subpx,x_top_blob_px,top_columns_used
0,0,258.2559505208333,263.4943359375,146.0,178.0,162.0,158.0,12800.0,0.5000781372089389,0.26361890870880605,41.24030123231401,0.5954098671448311,dark_blob,True,OK,179.0,179.55612348178138,245.5,134
1,0,258.2568679530245,263.4883993438013,146.0,178.0,162.0,158.0,12801.0,0.5001172058134083,0.26363950393604885,41.23830531680231,0.5954394138932568,dark_blob,True,OK,179.0,178.06114895750392,245.5,134
2,0,258.2568679530245,263.4883993438013,146.0,178.0,162.0,158.0,12801.0,0.5001172058134083,0.26363950393604885,41.24127177302807,0.5954338517878335,dark_blob,True,OK,179.0,178.06114895750392,245.5,134
3,0,258.26155689246553,263.50140635987185,146.0,178.0,162.0,158.0,12799.0,0.5000390686044694,0.2635983134011067,41.239102320273865,0.5953863106884107,dark_blob,True,OK,179.0,178.06114895750392,245.5,134
4,0,258.2628665937386,263.50246132208156,146.0,178.0,162.0,158.0,12798.0,0.5,0.26357771817387005,41.26727023737067,0.5953076914370139,dark_blob,True,OK,179.0,178.06114895750392,245.5,134
5,0,258.241383800112,263.5224665703162,146.0,178.0,162.0,158.0,12800.5,0.5000976715111736,0.26267720249780596,41.24051114322659,0.5953081353063361,dark_blob,True,OK,179.0,178.06114895750392,245.5,134
6,0,258.094537624366,263.3983084925607,146.0,178.0,162.0,158.0,12848.5,0.5019729645257072,0.25132894062904526,41.18709286471747,0.5951664861737398,dark_blob,True,OK,179.1,178.14253393665157,245.0,136
7,0,258.0161827392752,263.47502623702724,146.0,178.0,162.0,158.0,12863.5,0.5025589935927489,0.2516223549660835,41.217371566921386,0.5954949180211304,dark_blob,True,OK,179.16,178.53508275779947,244.5,137
8,0,258.01048511476597,263.45242816594737,146.0,178.0,162.0,158.0,12859.5,0.5024027191748711,0.2510249342229919,41.27480511617347,0.5952222077088243,dark_blob,True,OK,179.16,178.5368506305681,244.5,137
9,0,258.1083651672254,263.510576648216,146.0,178.0,162.0,158.0,12827.0,0.501132989529614,0.26171876589478266,41.23159253074237,0.5958281692710361,dark_blob,True,OK,179.16,178.5368506305681,244.5,137
10,0,257.8928492849285,263.63090662007374,146.0,178.0,162.0,158.0,12877.5,0.5031059540553211,0.2650503484868931,41.24638886788172,0.5973785315183333,dark_blob,True,OK,180.0,180.2074829931973,246.0,141
11,0,257.74023291243833,263.78420740052155,146.0,178.0,162.0,158.0,12909.0,0.5043366150961087,0.26779965887438983,41.32790101101554,0.5982906023529715,dark_blob,True,OK,180.0,180.2074829931973,246.0,141
12,0,257.71855491925913,263.4713150699066,146.0,178.0,162.0,158.0,12922.0,0.5048445069542116,0.26365712074181047,41.42912050644359,0.5979070399575688,dark_blob,True,OK,180.0,179.55104557111855,245.5,141
13,0,257.61890608715794,263.4876416927214,146.0,178.0,162.0,158.0,12953.5,0.5060751679949992,0.26605016917429436,41.43574704865028,0.5989167698593436,dark_blob,True,OK,180.0,179.55104557111855,245.5,143
14,0,257.78954506703866,263.6467746518897,146.0,178.0,162.0,158.0,12903.0,0.5041022034692921,0.2649448663287338,41.39230188679245,0.5976872777279796,dark_blob,True,OK,180.0,179.5628801703163,245.5,142
15,0,257.64213887494043,263.4433671958489,146.0,178.0,162.0,158.0,12944.5,0.5057235505547741,0.26586531972636906,41.439804364183594,0.5986769836428205,dark_blob,True,OK,180.0,178.88235294117646,245.0,143
16,0,257.68319015556074,263.3911332972164,146.0,178.0,162.0,158.0,12921.0,0.5048054383497421,0.2661109315300876,41.40370844953644,0.5982258118792909,dark_blob,True,OK,180.0,178.87226277372264,245.0,142
17,0,257.71143546659437,263.4046356162969,146.0,178.0,162.0,158.0,12914.5,0.5045514924206908,0.2663764369923675,41.399698340874814,0.5981135271212878,dark_blob,True,OK,180.0,178.88345864661653,245.0,142
18,0,257.65440977458144,263.37604557347044,146.0,178.0,162.0,158.0,12931.5,0.5052156586966714,0.2653654349681544,41.415198071998795,0.598359805535247,dark_blob,True,OK,180.0,178.90740740740742,245.0,142
19,0,257.6338102603764,263.35162412993037,146.0,178.0,162.0,158.0,12930.0,0.5051570557899672,0.26493785627205396,41.3771183249228,0.5983448961481244,dark_blob,True,OK,180.0,178.90740740740742,245.0,142
20,0,257.5265167585914,263.4157442048829,146.0,178.0,162.0,158.0,12963.5,0.5064658540396937,0.2611184161122359,41.453801081730774,0.5985244379755894,dark_blob,True,OK,180.0,178.91379310344828,245.0,142
21,0,257.5265784362902,263.4296150531826,146.0,178.0,162.0,158.0,12958.5,0.5062705110173464,0.26179375181909786,41.45280324665565,0.5984906843033193,dark_blob,True,OK,180.0,178.90714285714284,245.0,142
22,0,257.7807177262103,263.23036196231874,146.0,178.0,162.0,158.0,12906.5,0.5042389435849352,0.25942581358991423,41.37759336099585,0.5971342353136915,dark_blob,True,OK,179.22,178.09597091194968,244.5,138
