frame,decisao,explicacao,confianca_selecionada,topo_ruler_mm,bbox_altura_px,bbox_largura_px,bbox_aspect,area_px,componentes_encontrados_na_mascara,componentes_rejeitados,candidatos_aceitos_no_frame,threshold_usado,percentil_escuro_q
0,candidato_selecionado,OK,0.8762120669280311,13.865049751243781,178.0,219.0,1.2303370786516854,28718.0,12,11,1,75.0,37.0
1,candidato_selecionado,OK,0.8761870217431799,13.866469816272966,178.0,219.0,1.2303370786516854,28715.0,12,11,1,75.0,37.0
2,candidato_selecionado,OK,0.8763138632619766,13.866469816272966,178.0,219.0,1.2303370786516854,28713.5,12,11,1,75.0,37.0
3,candidato_selecionado,OK,0.8761750710728499,13.866469816272966,178.0,219.0,1.2303370786516854,28715.0,12,11,1,75.0,37.0
4,candidato_selecionado,OK,0.8761723159936127,13.866469816272966,178.0,219.0,1.2303370786516854,28716.0,12,11,1,75.0,37.0
5,candidato_selecionado,OK,0.8761936976858885,13.866469816272966,178.0,219.0,1.2303370786516854,28716.0,12,11,1,75.0,37.0
6,candidato_selecionado,OK,0.8764660903938195,13.865530303030303,178.0,219.0,1.2303370786516854,28727.0,12,11,1,75.0,37.0
7,candidato_selecionado,OK,0.876389642568035,13.849899598393575,178.0,219.0,1.2303370786516854,28725.0,12,11,1,75.0,37.0
8,candidato_selecionado,OK,0.8770291836734871,13.8500499001996,178.0,218.0,1.2247191011235956,28710.0,12,11,1,75.0,37.0
9,candidato_selecionado,OK,0.8768874936065665,13.880291005291006,178.0,218.0,1.2247191011235956,28707.5,12,11,1,75.0,37.0
10,candidato_selecionado,OK,0.8742761023569962,13.881690997566912,178.0,220.0,1.2359550561797752,28705.0,12,11,1,75.0,37.0
11,candidato_selecionado,OK,0.8740296516910118,13.883024691358024,178.0,220.0,1.2359550561797752,28702.0,12,11,1,75.0,37.0
12,candidato_selecionado,OK,0.8718549932711521,13.8972816399287,178.0,222.0,1.247191011235955,28715.5,12,11,1,75.0,37.0
13,candidato_selecionado,OK,0.872151077035576,13.898333333333333,178.0,222.0,1.247191011235955,28722.5,12,11,1,75.0,37.0
14,candidato_selecionado,OK,0.8736613727190984,13.897099447513812,178.0,221.0,1.2415730337078652,28713.5,12,11,1,75.0,37.0
15,candidato_selecionado,OK,0.873416734081582,13.897128060263654,178.0,221.0,1.2415730337078652,28720.0,12,11,1,75.0,37.0
16,candidato_selecionado,OK,0.8760465531711961,13.88001253132832,178.0,219.0,1.2303370786516854,28706.0,12,11,1,75.0,37.0
17,candidato_selecionado,OK,0.8750489006564042,13.897970085470085,178.0,220.0,1.2359550561797752,28728.5,13,12,1,75.0,37.0
18,candidato_selecionado,OK,0.8751196711320548,13.896306818181818,178.0,220.0,1.2359550561797752,28720.0,12,11,1,75.0,37.0
19,candidato_selecionado,OK,0.8752985652353992,13.894864341085272,178.0,220.0,1.2359550561797752,28722.0,12,11,1,75.0,37.0
20,candidato_selecionado,OK,0.8762106864403721,13.894864341085272,178.0,219.0,1.2303370786516854,28723.5,13,12,1,75.0,37.0
21,candidato_selecionado,OK,0.8765881489115309,13.894980506822613,178.0,219.0,1.2303370786516854,28741.5,13,12,1,75.0,37.0
22,candidato_selecionado,OK,0.875096163729613,13.884057971014492,178.0,220.0,1.2359550561797752,28716.0,12,11,1,75.0,37.0
23,candidato_selecionado,OK,0.8758871613122683,13.895459081836327,178.0,219.0,1.2303370786516854,28711.0,13,12,1,75.0,37.0
24,candidato_selecionado,OK,0.8763673156183138,13.895459081836327,178.0,218.0,1.2247191011235956,28715.0,12,11,1,75.0,37.0
25,candidato_selecionado,OK,0.8772702161584625,13.895459081836327,178.0,217.0,1.2191011235955056,28707.5,12,11,1,75.0,37.0
26,candidato_selecionado,OK,0.877210568370115,13.895459081836327,178.0,217.0,1.2191011235955056,28715.0,12,11,1,75.0,37.0
27,candidato_selecionado,OK,0.8769762974432338,13.895459081836327,178.0,217.0,1.2191011235955056,28713.0,12,11,1,75.0,37.0
28,candidato_selecionado,OK,0.8766453335978985,13.881127450980392,178.0,218.0,1.2247191011235956,28733.5,12,11,1,75.0,37.0
29,candidato_selecionado,OK,0.8758471818690005,13.87948717948718,178.0,219.0,1.2303370786516854,28745.5,12,11,1,75.0,37.0
30,candidato_selecionado,OK,0.8758314609628117,13.878731343283583,178.0,219.0,1.2303370786516854,28750.5,12,11,1,75.0,37.0
31,candidato_selecionado,OK,0.8755415099104815,13.895459081836327,178.0,219.0,1.2303370786516854,28754.0,12,11,1,75.0,37.0
32,candidato_selecionado,OK,0.8749955468254991,13.88432400932401,178.0,219.0,1.2303370786516854,28742.0,12,11,1,75.0,37.0
33,candidato_selecionado,OK,0.8756295375027492,13.878731343283583,178.0,219.0,1.2303370786516854,28728.0,12,11,1,75.0,37.0
34,candidato_selecionado,OK,0.8761282043314984,13.88527397260274,178.0,219.0,1.2303370786516854,28739.5,12,11,1,75.0,37.0
35,candidato_selecionado,OK,0.8765582518950381,13.903520499108735,178.0,219.0,1.2303370786516854,28754.5,12,11,1,75.0,37.0
36,candidato_selecionado,OK,0.8752317633557697,13.902472527472527,178.0,219.0,1.2303370786516854,28715.0,12,11,1,75.0,37.0
37,candidato_selecionado,OK,0.8754538158572233,13.884456264775414,178.0,219.0,1.2303370786516854,28719.5,12,11,1,75.0,37.0
38,candidato_selecionado,OK,0.8753973528114926,13.875,178.0,219.0,1.2303370786516854,28712.5,12,11,1,75.0,37.0
39,candidato_selecionado,OK,0.875612278844029,13.88001253132832,178.0,219.0,1.2303370786516854,28734.0,12,11,1,75.0,37.0
40,candidato_selecionado,OK,0.8744829889277614,13.895430107526883,178.0,220.0,1.2359550561797752,28729.5,12,11,1,75.0,37.0
41,candidato_selecionado,OK,0.8742858830586376,13.901493256262043,178.0,220.0,1.2359550561797752,28731.0,12,11,1,75.0,37.0
42,candidato_selecionado,OK,0.8743465825253472,13.901493256262043,178.0,220.0,1.2359550561797752,28729.0,12,11,1,75.0,37.0
43,candidato_selecionado,OK,0.8742279145367698,13.880681818181818,178.0,220.0,1.2359550561797752,28722.5,12,11,1,75.0,37.0
44,candidato_selecionado,OK,0.873214987047852,13.878731343283583,178.0,221.0,1.2415730337078652,28729.0,12,11,1,75.0,37.0
45,candidato_selecionado,OK,0.8730541442752403,13.875,178.0,221.0,1.2415730337078652,28740.0,12,11,1,75.0,37.0
46,candidato_selecionado,OK,0.8729645881419547,13.875,178.0,221.0,1.2415730337078652,28744.5,12,11,1,75.0,37.0
47,candidato_selecionado,OK,0.8726792146743624,13.872685185185185,178.0,222.0,1.247191011235955,28757.0,12,11,1,75.0,37.0
48,candidato_selecionado,OK,0.8725848754606532,13.872685185185185,178.0,222.0,1.247191011235955,28761.5,12,11,1,75.0,37.0
49,candidato_selecionado,OK,0.8727676399726726,13.87820512820513,178.0,222.0,1.247191011235955,28763.5,12,11,1,75.0,37.0
50,candidato_selecionado,OK,0.8724137684074343,13.87820512820513,178.0,222.0,1.247191011235955,28756.0,12,11,1,75.0,37.0
51,candidato_selecionado,OK,0.8734111496298138,13.878229974160206,178.0,221.0,1.2415730337078652,28749.5,12,11,1,75.0,37.0
52,candidato_selecionado,OK,0.8733869171012039,13.878229974160206,178.0,221.0,1.2415730337078652,28753.5,12,11,1,75.0,37.0
53,candidato_selecionado,OK,0.873442303514619,13.878229974160206,178.0,221.0,1.2415730337078652,28754.5,12,11,1,75.0,37.0
54,candidato_selecionado,OK,0.8737623701246153,13.883865248226952,178.0,221.0,1.2415730337078652,28753.5,12,11,1,75.0,37.0
55,candidato_selecionado,OK,0.8755218406352041,13.883865248226952,178.0,219.0,1.2303370786516854,28753.0,13,12,1,75.0,37.0
56,candidato_selecionado,OK,0.8749343690688817,13.894392033542978,178.0,220.0,1.2359550561797752,28762.0,12,11,1,75.0,37.0
57,candidato_selecionado,OK,0.8736518990099876,13.894392033542978,178.0,221.0,1.2415730337078652,28768.5,12,11,1,75.0,37.0
58,candidato_selecionado,OK,0.8748152062071531,13.903985507246377,178.0,220.0,1.2359550561797752,28760.0,12,11,1,75.0,37.0
59,candidato_selecionado,OK,0.8747470337705822,13.903985507246377,178.0,220.0,1.2359550561797752,28772.5,12,11,1,75.0,37.0
60,candidato_selecionado,OK,0.8733239868705229,13.904465930018416,178.0,221.0,1.2415730337078652,28773.5,12,11,1,75.0,37.0
61,candidato_selecionado,OK,0.8735549955965245,13.902938342967245,178.0,221.0,1.2415730337078652,28773.5,12,11,1,75.0,37.0
62,candidato_selecionado,OK,0.8734645939457064,13.902938342967245,178.0,221.0,1.2415730337078652,28758.5,12,11,1,75.0,37.0
63,candidato_selecionado,OK,0.8740779870606468,13.902938342967245,178.0,220.0,1.2359550561797752,28750.5,13,12,1,75.0,37.0
64,candidato_selecionado,OK,0.8731166311640849,13.883992805755396,178.0,221.0,1.2415730337078652,28746.0,13,12,1,75.0,37.0
65,candidato_selecionado,OK,0.8730768909062566,13.878180661577609,178.0,221.0,1.2415730337078652,28743.0,13,12,1,75.0,37.0
66,candidato_selecionado,OK,0.8735353188910399,13.878180661577609,178.0,221.0,1.2415730337078652,28739.0,13,12,1,75.0,37.0
67,candidato_selecionado,OK,0.8736213533906955,13.894151138716355,178.0,221.0,1.2415730337078652,28738.0,12,11,1,75.0,37.0
68,candidato_selecionado,OK,0.8743615829526054,13.894151138716355,178.0,220.0,1.2359550561797752,28723.5,12,11,1,75.0,37.0
69,candidato_selecionado,OK,0.8742680125571757,13.894151138716355,178.0,220.0,1.2359550561797752,28729.0,12,11,1,75.0,37.0
70,candidato_selecionado,OK,0.8745403662101704,13.894151138716355,178.0,220.0,1.2359550561797752,28739.0,13,12,1,75.0,37.0
71,candidato_selecionado,OK,0.8724588279849623,13.877645502645501,178.0,222.0,1.247191011235955,28746.5,12,11,1,75.0,37.0
72,candidato_selecionado,OK,0.8732847374397057,13.877645502645501,178.0,221.0,1.2415730337078652,28741.0,12,11,1,75.0,37.0
73,candidato_selecionado,OK,0.8730763890034656,13.877645502645501,178.0,221.0,1.2415730337078652,28743.0,12,11,1,75.0,37.0
74,candidato_selecionado,OK,0.8732871310788645,13.877544529262087,178.0,221.0,1.2415730337078652,28746.0,13,12,1,75.0,37.0
75,candidato_selecionado,OK,0.8740082142712666,13.883741258741258,178.0,221.0,1.2415730337078652,28757.5,12,11,1,75.0,37.0
76,candidato_selecionado,OK,0.8734246203687754,13.883928571428571,178.0,221.0,1.2415730337078652,28749.0,12,11,1,75.0,37.0
77,candidato_selecionado,OK,0.8739486068963138,13.885919540229885,178.0,221.0,1.2415730337078652,28712.5,12,11,1,75.0,37.0
78,candidato_selecionado,OK,0.8738305377520355,13.885919540229885,178.0,221.0,1.2415730337078652,28739.5,12,11,1,75.0,37.0
