frame,frame_sync,tempo_ms,posicao_mm,posicao_raw_mm,valid,confidence
285,0,0.0,15.573251856435643,15.571273260517797,True,0.8632769527418979
286,1,4.166666666666667,15.573251856435643,15.571273260517797,True,0.8638559919782166
287,2,8.333333333333334,15.573480902777776,15.571273260517797,True,0.8638291954195122
288,3,12.5,15.574292852303524,15.574292852303524,True,0.8637581929774277
289,4,16.666666666666668,15.574292852303524,15.575315780839894,True,0.8633865396082998
290,5,20.833333333333332,15.574292852303524,15.57580345607235,True,0.8634817688082227
291,6,25.0,15.574292852303524,15.575315780839894,True,0.8633674140174752
292,7,29.166666666666668,15.571890782828284,15.57120686026936,True,0.8631666071318793
293,8,33.333333333333336,15.571890782828284,15.57120686026936,True,0.863408412703071
294,9,37.5,15.571890782828284,15.571890782828284,True,0.8635498638058693
295,10,41.666666666666664,15.57120686026936,15.571890782828284,True,0.8635798401283689
296,11,45.83333333333333,15.57120686026936,15.572239583333333,True,0.8639170357549422
297,12,50.0,15.570035460992907,15.565006814641745,True,0.8638151137180895
298,13,54.16666666666667,15.570035460992907,15.563384911003237,True,0.8633403565073018
299,14,58.333333333333336,15.570035460992907,15.563384911003237,True,0.8638790147307537
300,15,62.5,15.565006814641745,15.570035460992907,True,0.8633922732278211
301,16,66.66666666666667,15.570035460992907,15.572627314814815,True,0.8638177825753486
302,17,70.83333333333333,15.57080078125,15.572632177871148,True,0.8635657281486845
303,18,75.0,15.572627314814815,15.563848586309522,True,0.8635066701124923
304,19,79.16666666666666,15.572632177871148,15.57080078125,True,0.8631841058019497
305,20,83.33333333333333,15.572632177871148,15.575393800813007,True,0.8634185753603564
306,21,87.5,15.575393800813007,15.575393800813007,True,0.8632772400541281
307,22,91.66666666666666,15.575393800813007,15.575393800813007,True,0.8632438487838298
308,23,95.83333333333334,15.575393800813007,15.572196365248226,True,0.8633085770568567
309,24,100.0,15.575393800813007,15.582339991408933,True,0.8632680197410156
310,25,104.16666666666667,15.572916666666666,15.576615021008402,True,0.8632700118305499
311,26,108.33333333333334,15.572211371527777,15.571847587719297,True,0.8628950784088543
312,27,112.5,15.572211371527777,15.572916666666666,True,0.8630171700256617
313,28,116.66666666666667,15.572211371527777,15.572211371527777,True,0.8633239611598363
314,29,120.83333333333333,15.572211371527777,15.572211371527777,True,0.8631933585816253
315,30,125.0,15.572916666666666,15.572211371527777,True,0.8630308193297828
316,31,129.16666666666669,15.572916666666666,15.573593749999999,True,0.8629802150206899
317,32,133.33333333333334,15.572916666666666,15.573593749999999,True,0.8632999767689963
318,33,137.5,15.572916666666666,15.572916666666666,True,0.8633099596122737
319,34,141.66666666666666,15.572916666666666,15.572916666666666,True,0.8631920747088286
320,35,145.83333333333334,15.572916666666666,15.572916666666666,True,0.8631060394159693
321,36,150.0,15.572916666666666,15.572916666666666,True,0.8630506510181273
322,37,154.16666666666669,15.572916666666666,15.572916666666666,True,0.8630007346486801
323,38,158.33333333333331,15.572916666666666,15.572916666666666,True,0.8632211934986211
324,39,162.5,15.572916666666666,15.572916666666666,True,0.8634966879614983
325,40,166.66666666666666,15.572916666666666,15.574244281045752,True,0.8637532705110823
326,41,170.83333333333334,15.572916666666666,15.572916666666666,True,0.8638477246094463
327,42,175.0,15.574125744047619,15.56485615079365,True,0.8637209246782864
328,43,179.16666666666666,15.574125744047619,15.574125744047619,True,0.8638337959748669
329,44,183.33333333333331,15.574125744047619,15.574125744047619,True,0.8638361482117943
330,45,187.5,15.574125744047619,15.574125744047619,True,0.8631731829400978
331,46,191.66666666666669,15.575520833333334,15.575818452380952,True,0.862806340713944
332,47,195.83333333333334,15.575520833333334,15.575818452380952,True,0.8627982768580827
333,48,200.0,15.575520833333334,15.575520833333334,True,0.863033328520276
334,49,204.16666666666666,15.575711964831804,15.575520833333334,True,0.8625064094713797
335,50,208.33333333333334,15.575711964831804,15.575520833333334,True,0.8634610982265076
336,51,212.5,15.575711964831804,15.575711964831804,True,0.8638807973343252
337,52,216.66666666666669,15.575711964831804,15.575994318181817,True,0.863985296509949
338,53,220.83333333333331,15.575711964831804,15.575994318181817,True,0.8640250122036723
339,54,225.0,15.575711964831804,15.575994318181817,True,0.8639507750542952
340,55,229.16666666666666,15.57533482142857,15.57533482142857,True,0.8640336843569563
341,56,233.33333333333334,15.57533482142857,15.57533482142857,True,0.864036296810881
342,57,237.5,15.57533482142857,15.575051614114113,True,0.8640799810731182
343,58,241.66666666666666,15.57533482142857,15.575051614114113,True,0.8637848555991515
344,59,245.83333333333331,15.575613016224189,15.575613016224189,True,0.8638685310477753
345,60,250.0,15.575613016224189,15.575613016224189,True,0.8641368277411893
346,61,254.16666666666666,15.575613016224189,15.575613016224189,True,0.8640783217312334
347,62,258.33333333333337,15.575613016224189,15.575613016224189,True,0.8639037112636886
348,63,262.5,15.575613016224189,15.575613016224189,True,0.8640683392141794
349,64,266.6666666666667,15.575613016224189,15.575613016224189,True,0.863817550984065
350,65,270.8333333333333,15.575613016224189,15.575613016224189,True,0.8637769947355104
351,66,275.0,15.575613016224189,15.575613016224189,True,0.8644750112938574
352,67,279.1666666666667,15.575471698113208,15.57444162912913,True,0.8640202497736309
353,68,283.3333333333333,15.575471698113208,15.575471698113208,True,0.8640654309870449
354,69,287.5,15.575471698113208,15.575471698113208,True,0.8640530993281407
355,70,291.6666666666667,15.57517361111111,15.575471698113208,True,0.8640455828596943
356,71,295.8333333333333,15.57517361111111,15.57517361111111,True,0.864068554235423
357,72,300.0,15.565713652482268,15.565713652482268,True,0.8642338440830886
358,73,304.16666666666663,15.565713652482268,15.565713652482268,True,0.8640076528148593
359,74,308.33333333333337,15.565713652482268,15.565713652482268,True,0.8643430981083495
360,75,312.5,15.565713652482268,15.56566220238095,True,0.8640452342709096
361,76,316.66666666666663,15.565713652482268,15.566734601449275,True,0.8641287820111929
362,77,320.83333333333337,15.566734601449275,15.566734601449275,True,0.8641092057091411
363,78,325.0,15.566734601449275,15.57521743527508,True,0.8638111292877058
364,79,329.1666666666667,15.566734601449275,15.565272177419354,True,0.863918749656484
365,80,333.3333333333333,15.56640625,15.574908088235293,True,0.8642306101484217
366,81,337.5,15.56640625,15.566145833333334,True,0.864152584928384
367,82,341.6666666666667,15.56640625,15.565272177419354,True,0.8638954102217391
368,83,345.8333333333333,15.56640625,15.56640625,True,0.8639745757412389
369,84,350.0,15.56640625,15.56640625,True,0.8639206495549692
370,85,354.1666666666667,15.56640625,15.56640625,True,0.8640112725310056
371,86,358.3333333333333,15.574947916666666,15.574947916666666,True,0.8640681023119094
372,87,362.5,15.574947916666666,15.574947916666666,True,0.8636102439653526
373,88,366.66666666666663,15.574947916666666,15.574947916666666,True,0.8640509845734397
374,89,370.83333333333337,15.574947916666666,15.574947916666666,True,0.863991787114355
375,90,375.0,15.574947916666666,15.574947916666666,True,0.8640133463548478
376,91,379.16666666666663,15.574947916666666,15.574947916666666,True,0.8639763899309232
377,92,383.33333333333337,15.575310395622894,15.575571895424835,True,0.8639984378492684
378,93,387.5,15.575310395622894,15.575571895424835,True,0.8643478554595974
379,94,391.6666666666667,15.575310395622894,15.575571895424835,True,0.8641871849385427
380,95,395.8333333333333,15.575310395622894,15.575310395622894,True,0.8640440812281284
381,96,400.0,15.574661726804123,15.574661726804123,True,0.8640974755967403
382,97,404.1666666666667,15.574661726804123,15.574661726804123,True,0.8640099354450925
383,98,408.3333333333333,15.567154255319148,15.567154255319148,True,0.8640512669144983
384,99,412.5,15.567121809309308,15.566373424369747,True,0.8642465917328308
385,100,416.6666666666667,15.567121809309308,15.567121809309308,True,0.863766454293616
386,101,420.8333333333333,15.567121809309308,15.567121809309308,True,0.8637738282261521
387,102,425.0,15.567121809309308,15.567121809309308,True,0.8636989462733194
388,103,429.16666666666663,15.567121809309308,15.567121809309308,True,0.8637158557453749
389,104,433.33333333333337,15.567121809309308,15.566761363636363,True,0.863839672535364
390,105,437.5,15.567121809309308,15.574869791666666,True,0.8641668641589577
391,106,441.66666666666663,15.567121809309308,15.566871279761903,True,0.8640851363987838
