T_US,HALL_INF_MV,HALL_SUP_MV,PWM,SYNC_PULSE
3990061258,1493,1690,0,0
3990063258,1488,1697,0,0
3990065258,1488,1692,0,0
3990067258,1495,1681,0,0
3990069258,1489,1697,0,0
3990071258,1492,1692,0,0
3990073258,1489,1692,0,0
3990075258,1495,1694,0,0
3990077258,1497,1688,0,0
3990079258,1496,1692,0,0
3990081258,1491,1689,0,0
3990083258,1492,1692,0,0
3990085258,1494,1691,0,0
3990087258,1496,1689,0,0
3990089258,1495,1692,0,0
3990091258,1495,1692,0,0
3990093258,1496,1696,0,0
3990095258,1492,1692,0,0
3990097258,1498,1688,0,0
3990099258,1497,1692,0,0
3990101258,1490,1693,0,0
3990103258,1492,1694,0,0
3990105258,1495,1688,0,0
3990107258,1488,1694,0,0
3990109258,1487,1697,0,0
3990111258,1496,1691,0,0
3990113258,1501,1690,0,0
3990115258,1501,1691,0,0
3990117258,1488,1693,0,0
3990119258,1496,1692,0,0
3990121258,1504,1692,0,0
3990123258,1492,1691,0,0
3990125258,1504,1684,0,0
3990127258,1492,1692,0,0
3990129258,1492,1692,0,0
3990131258,1500,1697,0,0
3990133258,1496,1685,0,0
3990135258,1492,1693,0,0
3990137258,1503,1693,0,0
3990139258,1489,1691,0,0
3990141258,1494,1692,0,0
3990143258,1491,1693,0,0
3990145258,1496,1693,0,0
3990147258,1489,1692,0,0
3990149258,1499,1692,0,0
3990151258,1489,1689,0,0
3990153258,1495,1690,0,0
3990155258,1500,1689,0,0
3990157258,1499,1693,0,0
3990159258,1492,1692,0,0
3990161258,1496,1692,0,0
3990163258,1488,1691,0,0
3990165258,1491,1687,0,0
3990167258,1493,1692,0,0
3990169258,1501,1686,0,0
3990171258,1488,1694,0,0
3990173258,1494,1690,0,0
3990175258,1495,1692,0,0
3990177258,1491,1693,0,0
3990179258,1497,1691,0,0
3990181258,1499,1689,0,0
3990183258,1488,1693,0,0
3990185258,1488,1691,0,0
3990187258,1497,1693,0,0
3990189258,1492,1692,0,0
3990191258,1492,1692,0,0
3990193258,1500,1695,0,0
3990195258,1487,1700,0,0
3990197258,1489,1693,0,0
3990199258,1488,1689,0,0
3990201258,1496,1694,0,0
3990203258,1501,1694,0,0
3990205258,1487,1692,0,0
3990207258,1505,1691,0,0
3990209258,1496,1692,0,0
3990211258,1496,1692,0,0
3990213258,1497,1693,0,0
3990215258,1492,1693,0,0
3990217258,1496,1694,0,0
3990219258,1496,1691,0,0
3990221258,1492,1691,0,0
3990223258,1493,1693,0,0
3990225258,1492,1692,0,0
3990227258,1492,1692,0,0
3990229258,1497,1693,0,0
3990231258,1492,1690,0,0
3990233258,1492,1681,0,0
3990235258,1494,1696,0,0
3990237258,1496,1691,0,0
3990239258,1499,1687,0,0
3990241258,1489,1692,0,0
3990243258,1491,1692,0,0
3990245258,1492,1692,0,0
3990247258,1495,1692,0,0
3990249258,1494,1691,0,0
3990251258,1495,1689,0,0
3990253258,1488,1694,0,0
3990255258,1497,1692,0,0
3990257258,1496,1696,0,0
3990259258,1494,1691,0,0
3990261258,1489,1693,0,0
3990263258,1494,1691,0,0
3990265258,1492,1691,0,0
3990267258,1499,1687,0,0
3990269258,1494,1691,0,0
3990271258,1494,1691,0,0
3990273258,1496,1699,0,0
3990275258,1497,1687,0,0
3990277258,1492,1693,0,0
3990279258,1495,1693,0,0
3990281258,1495,1691,0,0
3990283258,1492,1689,0,0
3990285258,1489,1697,0,0
3990287258,1496,1700,0,0
3990289258,1498,1681,0,0
3990291258,1492,1693,0,0
3990293258,1492,1692,0,0
3990295258,1492,1687,0,0
3990297258,1494,1692,0,0
3990299258,1496,1692,0,0
3990301258,1500,1689,0,0
3990303258,1491,1688,0,0
3990305258,1497,1694,0,0
3990307258,1495,1685,0,0
3990309258,1488,1686,0,0
3990311258,1488,1691,0,0
3990313258,1486,1692,0,0
3990315258,1489,1701,0,0
3990317258,1492,1690,0,0
3990319258,1492,1696,0,0
3990321258,1488,1684,0,0
3990323258,1488,1692,0,0
3990325258,1497,1692,0,0
3990327258,1495,1687,0,0
3990329258,1496,1683,0,0
3990331258,1496,1689,0,0
3990333258,1495,1694,0,0
3990335258,1496,1687,0,0
3990337258,1491,1684,0,0
3990339258,1497,1692,0,0
3990341258,1494,1697,0,0
3990343258,1487,1692,0,0
3990345258,1496,1692,0,0
3990347258,1496,1689,0,0
3990349258,1502,1692,0,0
3990351258,1492,1693,0,0
3990353258,1492,1689,0,0
3990355258,1491,1692,0,0
3990357258,1496,1693,0,0
3990359258,1494,1694,0,0
3990361258,1499,1688,0,0
3990363258,1494,1697,0,0
3990365258,1491,1681,0,0
3990367258,1497,1693,0,0
3990369258,1492,1692,0,0
3990371258,1495,1693,0,0
3990373258,1496,1692,0,0
3990375258,1498,1692,0,0
3990377258,1490,1690,0,0
3990379258,1499,1688,0,0
3990381258,1495,1688,0,0
3990383258,1501,1690,0,0
3990385258,1492,1689,0,0
3990387258,1497,1690,0,0
3990389258,1488,1689,0,0
3990391258,1497,1689,0,0
3990393258,1495,1693,0,0
3990395258,1492,1691,0,0
3990397258,1498,1687,0,0
3990399258,1494,1692,0,0
3990401258,1496,1692,0,0
3990403258,1488,1692,0,0
3990405258,1500,1690,0,0
3990407258,1487,1693,0,0
3990409258,1491,1686,0,0
3990411258,1491,1692,0,0
3990413258,1496,1693,0,0
3990415258,1490,1692,0,0
3990417258,1496,1697,0,0
3990419258,1491,1692,0,0
3990421258,1495,1692,0,0
3990423258,1500,1693,0,0
3990425258,1496,1687,0,0
3990427258,1496,1694,0,0
3990429258,1495,1692,0,0
3990431258,1491,1689,0,0
3990433258,1491,1681,0,0
3990435258,1499,1688,0,0
3990437258,1492,1696,0,0
3990439258,1497,1689,0,0
3990441258,1497,1685,0,0
3990443258,1491,1687,0,0
3990445258,1500,1689,0,0
3990447258,1499,1688,0,0
3990449258,1492,1693,0,0
3990451258,1492,1692,0,0
3990453258,1492,1686,0,0
3990455258,1489,1693,0,0
3990457258,1497,1693,0,0
3990459258,1494,1687,0,0
3990461258,1496,1687,0,0
3990463258,1491,1692,0,0
3990465258,1499,1692,0,0
3990467258,1495,1690,0,0
3990469258,1488,1699,0,0
3990471258,1491,1692,0,0
3990473258,1497,1683,0,0
3990475258,1489,1692,0,0
3990477258,1499,1684,0,0
3990479258,1499,1693,0,0
3990481258,1492,1692,0,0
3990483258,1487,1691,0,0
3990485258,1495,1692,0,0
3990487258,1494,1694,0,0
3990489258,1492,1691,0,0
3990491258,1497,1689,0,0
3990493258,1494,1693,0,0
3990495258,1488,1691,0,0
3990497258,1495,1691,0,0
3990499258,1495,1693,0,0
3990501258,1490,1692,0,0
3990503258,1491,1692,0,0
3990505258,1487,1692,0,0
3990507258,1491,1692,0,0
3990509258,1491,1687,0,0
3990511258,1491,1693,0,0
3990513258,1497,1692,0,0
3990515258,1492,1693,0,0
3990517258,1496,1692,0,0
3990519258,1497,1692,0,0
3990521258,1501,1694,0,0
3990523258,1492,1689,0,0
3990525258,1488,1692,0,0
3990527258,1495,1687,0,0
3990529258,1488,1701,0,0
3990531258,1498,1694,0,0
3990533258,1489,1692,0,0
3990535258,1500,1682,0,0
3990537258,1487,1689,0,0
3990539258,1494,1688,0,0
3990541258,1496,1691,0,0
3990543258,1500,1693,0,0
3990545258,1497,1688,0,0
3990547258,1487,1693,0,0
3990549258,1488,1692,0,0
3990551258,1487,1691,0,0
3990553258,1491,1692,0,0
3990555258,1492,1688,0,0
3990557258,1496,1692,0,0
3990559258,1488,1690,0,0
3990561258,1492,1691,0,0
3990563258,1499,1692,0,0
3990565258,1488,1684,0,0
3990567258,1500,1689,0,0
3990569258,1492,1697,0,0
3990571258,1492,1693,0,0
3990573258,1497,1690,0,0
3990575258,1499,1692,0,0
3990577258,1491,1693,0,0
3990579258,1497,1691,0,0
3990581258,1496,1692,0,0
3990583258,1488,1685,0,0
3990585258,1499,1694,0,0
3990587258,1491,1692,0,0
3990589258,1494,1691,0,0
3990591258,1497,1687,0,0
3990593258,1500,1692,0,0
3990595258,1495,1694,0,0
3990597258,1496,1692,0,0
3990599258,1496,1689,0,0
3990601258,1492,1692,0,0
3990603258,1495,1690,0,0
3990605258,1494,1693,0,0
3990607258,1492,1690,0,0
3990609258,1500,1693,0,0
3990611258,1500,1697,0,0
3990613258,1497,1696,0,0
3990615258,1498,1701,0,0
3990617258,1487,1697,0,0
3990619258,1492,1692,0,0
3990621258,1492,1692,0,0
3990623258,1494,1693,0,0
3990625258,1495,1688,0,0
3990627258,1496,1693,0,0
3990629258,1488,1691,0,0
3990631258,1497,1696,0,0
3990633258,1487,1693,0,0
3990635258,1489,1694,0,0
3990637258,1489,1695,0,0
3990639258,1492,1692,0,0
3990641258,1492,1693,0,0
3990643258,1492,1691,0,0
3990645258,1497,1692,0,0
3990647258,1491,1697,0,0
3990649258,1491,1692,0,0
3990651258,1491,1693,0,0
3990653258,1491,1686,0,0
3990655258,1503,1693,0,0
3990657258,1496,1684,0,0
3990659258,1487,1693,0,0
3990661258,1498,1692,0,0
3990663258,1496,1688,0,0
3990665258,1500,1692,0,0
3990667258,1489,1699,0,0
3990669258,1492,1695,0,0
3990671258,1492,1693,0,0
3990673258,1494,1692,0,0
3990675258,1501,1692,0,0
3990677258,1496,1687,0,0
3990679258,1497,1691,0,0
3990681258,1492,1694,0,0
3990683258,1489,1696,0,0
3990685258,1489,1692,0,0
3990687258,1496,1685,0,0
3990689258,1492,1689,0,0
3990691258,1496,1687,0,0
3990693258,1497,1690,0,0
3990695258,1491,1692,0,0
3990697258,1488,1697,0,0
3990699258,1492,1692,0,0
3990701258,1495,1692,0,0
3990703258,1492,1696,0,0
3990705258,1492,1686,0,0
3990707258,1497,1686,0,0
3990709258,1492,1692,0,0
3990711258,1492,1692,0,0
3990713258,1500,1696,0,0
3990715258,1495,1693,0,0
3990717258,1492,1692,0,0
3990719258,1494,1691,0,0
3990721258,1495,1692,0,0
3990723258,1494,1694,0,0
3990725258,1488,1684,0,0
3990727258,1495,1690,0,0
3990729258,1492,1694,0,0
3990731258,1492,1690,0,0
3990733258,1496,1692,0,0
3990735258,1492,1696,0,0
3990737258,1499,1692,0,0
3990739258,1488,1683,0,0
3990741258,1488,1697,0,0
3990743258,1489,1688,0,0
3990745258,1494,1693,0,0
3990747258,1489,1687,0,0
3990749258,1491,1692,0,0
3990751258,1492,1690,0,0
3990753258,1492,1689,0,0
3990755258,1497,1693,0,0
3990757258,1488,1697,0,0
3990759258,1499,1689,0,0
3990761258,1495,1681,0,0
3990763258,1484,1693,0,0
3990765258,1487,1692,0,0
3990767258,1495,1692,0,0
3990769258,1489,1697,0,0
3990771258,1487,1697,0,0
3990773258,1487,1692,0,0
3990775258,1491,1697,0,0
3990777258,1494,1692,0,0
3990779258,1484,1692,0,0
3990781258,1496,1693,0,0
3990783258,1500,1688,0,0
3990785258,1497,1688,0,0
3990787258,1498,1690,0,0
3990789258,1491,1692,0,0
3990791258,1499,1688,0,0
3990793258,1487,1691,0,0
3990795258,1488,1692,0,0
3990797258,1496,1689,0,0
3990799258,1496,1695,0,0
3990801258,1496,1697,0,0
3990803258,1488,1697,0,0
3990805258,1491,1691,0,0
3990807258,1496,1687,0,0
3990809258,1496,1691,0,0
3990811258,1498,1690,0,0
3990813258,1494,1686,0,0
3990815258,1496,1689,0,0
3990817258,1492,1683,0,0
3990819258,1492,1692,0,0
3990821258,1491,1692,0,0
3990823258,1494,1692,0,0
3990825258,1497,1689,0,0
3990827258,1492,1689,0,0
3990829258,1494,1688,0,0
3990831258,1490,1692,0,0
3990833258,1496,1690,0,0
3990835258,1495,1691,0,0
3990837258,1495,1692,0,0
3990839258,1492,1692,0,0
3990841258,1496,1691,0,0
3990843258,1489,1692,0,0
3990845258,1488,1690,0,0
3990847258,1491,1692,0,0
3990849258,1497,1696,0,0
3990851258,1497,1692,0,0
3990853258,1496,1694,0,0
3990855258,1496,1689,0,0
3990857258,1488,1692,0,0
3990859258,1491,1687,0,0
3990861258,1486,1691,0,0
3990863258,1488,1693,0,0
3990865258,1492,1693,0,0
3990867258,1501,1690,0,0
3990869258,1496,1689,0,0
3990871258,1497,1699,0,0
3990873258,1492,1692,0,0
3990875258,1489,1693,0,0
3990877258,1491,1692,0,0
3990879258,1488,1694,0,0
3990881258,1496,1689,0,0
3990883258,1489,1691,0,0
3990885258,1495,1687,0,0
3990887258,1495,1694,0,0
3990889258,1492,1693,0,0
3990891258,1492,1692,0,0
3990893258,1491,1692,0,0
3990895258,1491,1692,0,0
3990897258,1495,1692,0,0
3990899258,1492,1694,0,0
3990901258,1500,1692,0,0
3990903258,1492,1696,0,0
