frame,rank,x_center_px,y_center_px,radius_px,x_left_px,y_top_px,x_right_px,y_bottom_px,confidence,method,area,circularity,fill_ratio,brightness,motion,template_score
15,2,291.0,268.0,76.0,215.0,192.0,367.0,344.0,0.5355179127082639,hough,18145.839167134644,1.0,0.78,214.61384827586207,15.4528,0.0
15,3,352.0,155.0,76.0,276.0,79.0,428.0,231.0,0.5225165739658704,hough,18145.839167134644,1.0,0.78,206.03955862068966,14.227420689655172,0.0
15,4,365.0,249.0,80.0,285.0,169.0,445.0,329.0,0.5000566268217466,hough,20106.192982974677,1.0,0.78,204.16488222698072,16.688411931676708,0.0
16,0,250.0,223.0,50.0,200.0,173.0,300.0,273.0,0.7848423802518543,hough,7853.981633974483,1.0,0.78,218.52874442319947,35.144678138942,0.0
16,1,496.0,234.0,74.0,422.0,160.0,570.0,308.0,0.7384814376732567,hough,17203.36137105771,1.0,0.78,167.28674460536266,77.9694061536672,0.0
16,2,369.0,268.0,78.0,291.0,190.0,447.0,346.0,0.5113953693490725,hough,19113.4497044403,1.0,0.78,200.43162907530484,16.707990999005705,0.0
16,3,334.0,156.0,80.0,254.0,76.0,414.0,236.0,0.4860007174703061,hough,20106.192982974677,1.0,0.78,206.80673273243363,12.249489567252628,0.0
17,0,248.0,222.0,51.0,197.0,171.0,299.0,273.0,0.8042640858314138,hough,8171.282491987052,1.0,0.78,217.58840083200784,38.579591337330235,0.0
17,1,497.0,219.0,75.0,422.0,144.0,572.0,294.0,0.671375823675449,hough,17671.458676442588,1.0,0.78,166.7804132465327,62.19699971695443,0.0
17,2,368.0,251.0,78.0,290.0,173.0,446.0,329.0,0.5168724556516975,hough,19113.4497044403,1.0,0.78,202.98471924224188,17.5010727929248,0.0
17,3,342.0,165.0,83.0,259.0,82.0,425.0,248.0,0.4648964778784129,hough,21642.431790580085,1.0,0.78,208.47473299736464,12.155763095843543,0.0
18,0,248.0,222.0,51.0,197.0,171.0,299.0,273.0,0.804930069954171,hough,8171.282491987052,1.0,0.78,217.57225009176557,38.761409519148415,0.0
18,1,254.0,269.0,47.0,207.0,222.0,301.0,316.0,0.7537425490158023,hough,6939.778171779853,1.0,0.78,219.21066319895968,32.64325964456003,0.0
18,2,360.0,257.0,72.0,288.0,185.0,432.0,329.0,0.5466826629194798,hough,16286.016316209487,1.0,0.78,212.4417215688689,11.03774398128194,0.0
18,3,495.0,187.0,79.0,416.0,108.0,574.0,266.0,0.5322831091478537,hough,19606.6797510539,1.0,0.78,160.9362006436124,34.5937069009552,0.0
18,4,494.0,317.0,64.0,430.0,253.0,558.0,381.0,0.5274487486549295,hough,12867.963509103793,1.0,0.78,88.51435462537928,22.38761378666459,0.0
18,5,330.0,163.0,84.0,246.0,79.0,414.0,247.0,0.4547826132049679,hough,22167.077763729583,1.0,0.78,208.55853250801968,11.426873898703294,0.0
19,0,519.0,169.0,55.0,464.0,114.0,574.0,224.0,0.6480559508643897,hough,9503.317777109125,1.0,0.78,188.0973936899863,10.604305159860715,0.0
19,1,258.0,142.0,68.0,190.0,74.0,326.0,210.0,0.632471737163484,hough,14526.724430199205,1.0,0.78,199.75973802137193,29.270182695622196,0.0
19,2,216.0,261.0,84.0,132.0,177.0,300.0,345.0,0.510283897648419,hough,22167.077763729583,1.0,0.78,151.0401688182721,41.264697120158885,0.0
19,3,318.0,279.0,79.0,239.0,200.0,397.0,358.0,0.48984301212523723,hough,19606.6797510539,1.0,0.78,203.82791030290647,12.062828829749195,0.0
19,4,345.0,173.0,84.0,261.0,89.0,429.0,257.0,0.45671809593282614,hough,22167.077763729583,1.0,0.78,209.1875028238377,11.778565942258165,0.0
20,0,250.0,221.0,48.0,202.0,173.0,298.0,269.0,0.7598411142455248,hough,7238.229473870883,1.0,0.78,219.08179675585748,32.313184527935675,0.0
20,1,501.0,184.0,72.0,429.0,112.0,573.0,256.0,0.5706454368721123,hough,16286.016316209487,1.0,0.78,178.54196170186563,26.290499353488084,0.0
20,2,378.0,262.0,79.0,299.0,183.0,457.0,341.0,0.5096880295877055,hough,19606.6797510539,1.0,0.78,191.18756704295856,20.659498390968995,0.0
20,3,344.0,153.0,84.0,260.0,69.0,428.0,237.0,0.461207027817874,hough,22167.077763729583,1.0,0.78,202.19979216554464,14.802466904622056,0.0
20,4,490.0,304.0,82.0,408.0,222.0,572.0,386.0,0.39117935269847903,hough,21124.069002737768,1.0,0.78,95.12421212264822,20.14193640111843,0.0
21,0,236.0,205.0,63.0,173.0,142.0,299.0,268.0,0.7126137619268762,hough,12468.981242097889,1.0,0.78,189.78880591022244,43.297920179876336,0.0
21,1,520.0,167.0,54.0,466.0,113.0,574.0,221.0,0.6528016932991749,hough,9160.884177867836,1.0,0.78,188.28922908693275,9.829633679606342,0.0
21,2,359.0,255.0,74.0,285.0,181.0,433.0,329.0,0.5319372644290157,hough,17203.36137105771,1.0,0.78,211.73849822602222,11.269586459605653,0.0
21,3,282.0,255.0,83.0,199.0,172.0,365.0,338.0,0.5212823169706267,hough,21642.431790580085,1.0,0.78,215.1351888667992,25.450691201627446,0.0
21,4,346.0,161.0,83.0,263.0,78.0,429.0,244.0,0.467947810783853,hough,21642.431790580085,1.0,0.78,206.14855055712238,13.577604142586342,0.0
22,0,249.0,225.0,51.0,198.0,174.0,300.0,276.0,0.7978191379758492,hough,8171.282491987052,1.0,0.78,217.63868836412578,36.84779150862597,0.0
22,1,521.0,166.0,52.0,469.0,114.0,573.0,218.0,0.6659936375054853,hough,8494.8665353068,1.0,0.78,188.9562198422973,9.193009297399081,0.0
22,2,359.0,255.0,74.0,285.0,181.0,433.0,329.0,0.5318610592246632,hough,17203.36137105771,1.0,0.78,211.81027162217183,11.230500785203281,0.0
22,3,333.0,162.0,84.0,249.0,78.0,417.0,246.0,0.45458173424949105,hough,22167.077763729583,1.0,0.78,208.2262684678986,11.460172592960737,0.0
23,0,250.0,222.0,50.0,200.0,172.0,300.0,272.0,0.7816207422658761,hough,7853.981633974483,1.0,0.78,218.32071383046525,34.339961759082215,0.0
23,1,512.0,169.0,62.0,450.0,107.0,574.0,231.0,0.6104050366215907,hough,12076.282160399165,1.0,0.78,186.58593814774895,14.8895613962358,0.0
23,2,278.0,280.0,75.0,203.0,205.0,353.0,355.0,0.5843696507845548,hough,17671.458676442588,1.0,0.78,207.9219360317011,28.239399943390886,0.0
23,3,370.0,273.0,80.0,290.0,193.0,450.0,353.0,0.49440898140333817,hough,20106.192982974677,1.0,0.78,192.55868731636872,18.216672476470297,0.0
23,4,332.0,162.0,84.0,248.0,78.0,416.0,246.0,0.45448793411252936,hough,22167.077763729583,1.0,0.78,208.18036416211086,11.447160348800432,0.0
24,0,250.0,255.0,50.0,200.0,205.0,300.0,305.0,0.8009501671524655,hough,7853.981633974483,1.0,0.78,218.23887826641172,39.515869980879536,0.0
24,1,501.0,184.0,72.0,429.0,112.0,573.0,256.0,0.5693136087464898,hough,16286.016316209487,1.0,0.78,177.90911889661965,26.100794286066126,0.0
24,2,358.0,267.0,76.0,282.0,191.0,434.0,343.0,0.5147711594966344,hough,18145.839167134644,1.0,0.78,210.23531034482758,11.065048275862068,0.0
24,3,363.0,160.0,80.0,283.0,80.0,443.0,240.0,0.507175182699852,hough,20106.192982974677,1.0,0.78,197.2582042726956,20.392360938200287,0.0
25,0,236.0,253.0,63.0,173.0,190.0,299.0,316.0,0.7167628979725253,hough,12468.981242097889,1.0,0.78,186.08680639203405,45.372199470007224,0.0
25,1,501.0,186.0,74.0,427.0,112.0,575.0,260.0,0.5582650477380002,hough,17203.36137105771,1.0,0.78,172.99808061420345,28.418542430058746,0.0
25,2,306.0,277.0,80.0,226.0,197.0,386.0,357.0,0.48637346153332156,hough,20106.192982974677,1.0,0.78,207.07893033215478,12.277725212887804,0.0
25,3,358.0,157.0,84.0,274.0,73.0,442.0,241.0,0.47582526710744516,hough,22167.077763729583,1.0,0.78,195.6338499073781,20.417250259793068,0.0
26,0,248.0,223.0,51.0,197.0,172.0,299.0,274.0,0.8046892723014505,hough,8171.282491987052,1.0,0.78,217.2480117459929,38.78196500672948,0.0
26,1,504.0,183.0,74.0,430.0,109.0,578.0,257.0,0.5533631810412256,hough,17203.36137105771,1.0,0.78,173.8621532018845,26.88547664747281,0.0
26,2,288.0,268.0,80.0,208.0,188.0,368.0,348.0,0.5265277472155243,hough,20106.192982974677,1.0,0.78,214.50769383994822,21.04337433394751,0.0
26,3,369.0,259.0,84.0,285.0,175.0,453.0,343.0,0.47436232648909776,hough,22167.077763729583,1.0,0.78,195.39596981882255,20.089323634392084,0.0
26,4,346.0,162.0,84.0,262.0,78.0,430.0,246.0,0.4619286457019138,hough,22167.077763729583,1.0,0.78,205.20322595219807,14.209686892874892,0.0
27,0,501.0,185.0,72.0,429.0,113.0,573.0,257.0,0.570537577738064,hough,16286.016316209487,1.0,0.78,178.12271411858873,26.37134412905609,0.0
27,1,287.0,269.0,79.0,208.0,190.0,366.0,348.0,0.535064272668071,hough,19606.6797510539,1.0,0.78,214.57884251928283,21.31113040813199,0.0
27,2,359.0,256.0,74.0,285.0,182.0,433.0,330.0,0.5329106071482939,hough,17203.36137105771,1.0,0.78,211.70458907694993,11.53800965509219,0.0
27,3,492.0,318.0,63.0,429.0,255.0,555.0,381.0,0.5069074119332531,hough,12468.981242097889,1.0,0.78,83.67365293503573,16.185417168553762,0.0
27,4,345.0,161.0,83.0,262.0,78.0,428.0,244.0,0.4679977698076401,hough,21642.431790580085,1.0,0.78,205.78232928013315,13.686670673632623,0.0
27,5,219.0,310.0,84.0,135.0,226.0,303.0,394.0,0.4531286078294939,hough,22167.077763729583,1.0,0.78,117.07805711496218,34.902269953624604,0.0
28,0,291.0,277.0,71.0,220.0,206.0,362.0,348.0,0.5662402377520221,hough,15836.768566746148,1.0,0.78,212.97280718396254,14.124201606273319,0.0
28,1,501.0,186.0,74.0,427.0,112.0,575.0,260.0,0.5546362609996673,hough,17203.36137105771,1.0,0.78,172.63316466003607,27.54626883033793,0.0
28,2,492.0,318.0,63.0,429.0,255.0,555.0,381.0,0.5058860854712461,hough,12468.981242097889,1.0,0.78,83.59206616879467,15.934393318878985,0.0
28,3,372.0,259.0,84.0,288.0,175.0,456.0,343.0,0.47276826567315705,hough,22167.077763729583,1.0,0.78,193.09655265892556,20.265395563186193,0.0
28,4,344.0,155.0,84.0,260.0,71.0,428.0,239.0,0.45997117136893734,hough,22167.077763729583,1.0,0.78,202.6858988840193,14.345818461121402,0.0
29,0,500.0,186.0,74.0,426.0,112.0,574.0,260.0,0.5544511209574934,hough,17203.36137105771,1.0,0.78,172.3568894317455,27.569126970278603,0.0
29,1,216.0,261.0,84.0,132.0,177.0,300.0,345.0,0.5014430519506561,hough,22167.077763729583,1.0,0.78,149.2191658391261,39.3832174776564,0.0
29,2,358.0,165.0,84.0,274.0,81.0,442.0,249.0,0.47247650454635065,hough,22167.077763729583,1.0,0.78,199.47598608412775,18.519766863958793,0.0
29,3,353.0,262.0,82.0,271.0,180.0,435.0,344.0,0.47172028166662566,hough,21124.069002737768,1.0,0.78,208.79228472584236,11.902374295057106,0.0
30,0,520.0,168.0,54.0,466.0,114.0,574.0,222.0,0.6539444371107509,hough,9160.884177867836,1.0,0.78,188.3372334609076,10.121815199562603,0.0
30,1,360.0,255.0,74.0,286.0,181.0,434.0,329.0,0.532232844709636,hough,17203.36137105771,1.0,0.78,211.38725062525447,11.4402373058803,0.0
30,2,287.0,263.0,84.0,203.0,179.0,371.0,347.0,0.5031976495759976,hough,22167.077763729583,1.0,0.78,214.09564903085888,22.88993810147743,0.0
30,3,342.0,163.0,80.0,262.0,83.0,422.0,243.0,0.48505586153878955,hough,20106.192982974677,1.0,0.78,209.28016533041182,11.350878940291818,0.0
31,0,519.0,169.0,55.0,464.0,114.0,574.0,224.0,0.6469976171689826,hough,9503.317777109125,1.0,0.78,188.781259892371,10.143294291442439,0.0
31,1,228.0,198.0,71.0,157.0,127.0,299.0,269.0,0.6180241587130579,hough,15836.768566746148,1.0,0.78,167.81236956934166,39.73989755264655,0.0
31,2,359.0,253.0,75.0,284.0,178.0,434.0,328.0,0.5257144530133999,hough,17671.458676442588,1.0,0.78,211.16575148598926,11.74995754316445,0.0
31,3,290.0,267.0,80.0,210.0,187.0,370.0,347.0,0.5170280189092822,hough,20106.192982974677,1.0,0.78,214.42209053333997,18.532493401723023,0.0
31,4,348.0,163.0,80.0,268.0,83.0,428.0,243.0,0.4878100489913713,hough,20106.192982974677,1.0,0.78,208.4354862805637,12.306160051790249,0.0
32,0,502.0,185.0,72.0,430.0,113.0,574.0,257.0,0.5651844258868426,hough,16286.016316209487,1.0,0.78,177.72089157071608,25.04888861523305,0.0
32,1,359.0,267.0,75.0,284.0,192.0,434.0,342.0,0.5204416054084648,hough,17671.458676442588,1.0,0.78,210.3670534956128,10.552674780639682,0.0
32,2,345.0,166.0,84.0,261.0,82.0,429.0,250.0,0.4568534718199541,hough,22167.077763729583,1.0,0.78,207.9057064112411,12.149776352053493,0.0
33,0,272.0,178.0,63.0,209.0,115.0,335.0,241.0,0.6214632083946143,hough,12468.981242097889,1.0,0.78,208.40584598088813,14.123905886131856,0.0
33,1,500.0,183.0,70.0,430.0,113.0,570.0,253.0,0.5802867995029692,hough,15393.804002589986,1.0,0.78,180.31132505041307,24.418851232680673,0.0
33,2,290.0,265.0,79.0,211.0,186.0,369.0,344.0,0.5202961862180853,hough,19606.6797510539,1.0,0.78,214.53736527557848,17.383817745313376,0.0
33,3,374.0,268.0,82.0,292.0,186.0,456.0,350.0,0.4803406228176352,hough,21124.069002737768,1.0,0.78,189.20397137576418,19.322259608549356,0.0
33,4,345.0,163.0,84.0,261.0,79.0,429.0,247.0,0.457954153926258,hough,22167.077763729583,1.0,0.78,206.33502010572448,12.853928523019924,0.0
33,5,219.0,310.0,84.0,135.0,226.0,303.0,394.0,0.44253318889550586,hough,22167.077763729583,1.0,0.78,114.91745179399561,32.641689040761534,0.0
33,6,490.0,304.0,82.0,408.0,222.0,572.0,386.0,0.38954106378735043,hough,21124.069002737768,1.0,0.78,95.52490403298421,19.600303303160988,0.0
34,0,502.0,185.0,72.0,430.0,113.0,574.0,257.0,0.5639162831085196,hough,16286.016316209487,1.0,0.78,177.77476756357365,24.69663198078936,0.0
34,1,359.0,255.0,75.0,284.0,180.0,434.0,330.0,0.5248225847461383,hough,17671.458676442588,1.0,0.78,211.17543164449478,11.509595244834419,0.0
34,2,216.0,234.0,84.0,132.0,150.0,300.0,318.0,0.500315121483534,hough,22167.077763729583,1.0,0.78,151.94647467725918,38.369414101290964,0.0
34,3,335.0,163.0,84.0,251.0,79.0,419.0,247.0,0.4539454616000979,hough,22167.077763729583,1.0,0.78,207.86535941806352,11.384855193602313,0.0
