frame,time_video_s,time_real_s,x_center_px,y_center_px,radius_px,x_left_px,y_top_px,x_right_px,y_bottom_px,confidence,valid,method,roi_x_px,roi_y_px,roi_w_px,roi_h_px,video_fps,time_scale
32,1.891256443929445,1.891256443929445,502.0,185.0,72.0,430.0,113.0,574.0,257.0,0.5651844258868426,True,hough,157,44,472,359,16.919968787264995,1.0
33,1.9503582078022401,1.9503582078022401,500.0,183.0,70.0,430.0,113.0,570.0,253.0,0.5802867995029692,True,hough,157,44,472,359,16.919968787264995,1.0
34,2.009459971675035,2.009459971675035,502.0,185.0,72.0,430.0,113.0,574.0,257.0,0.5639162831085196,True,hough,157,44,472,359,16.919968787264995,1.0
35,2.0685617355478305,2.0685617355478305,502.0,185.0,72.0,430.0,113.0,574.0,257.0,0.5643103792051812,True,hough,157,44,472,359,16.919968787264995,1.0
36,2.127663499420626,2.127663499420626,520.0,171.0,55.0,465.0,116.0,575.0,226.0,0.6441654171263613,True,hough,157,44,472,359,16.919968787264995,1.0
37,2.1867652632934207,2.1867652632934207,521.0,168.0,53.0,468.0,115.0,574.0,221.0,0.6581097459222489,True,hough,157,44,472,359,16.919968787264995,1.0
38,2.245867027166216,2.245867027166216,521.0,168.0,53.0,468.0,115.0,574.0,221.0,0.6578552741142272,True,hough,157,44,472,359,16.919968787264995,1.0
39,2.3049687910390113,2.3049687910390113,507.0,183.0,74.0,433.0,109.0,581.0,257.0,0.5389311347684036,True,hough,157,44,472,359,16.919968787264995,1.0
40,2.364070554911806,2.364070554911806,503.0,185.0,72.0,431.0,113.0,575.0,257.0,0.5575411323462875,True,hough,157,44,472,359,16.919968787264995,1.0
41,2.4231723187846015,2.4231723187846015,506.0,183.0,74.0,432.0,109.0,580.0,257.0,0.5398817467935895,True,hough,157,44,472,359,16.919968787264995,1.0
42,2.482274082657397,2.482274082657397,520.0,169.0,55.0,465.0,114.0,575.0,224.0,0.6445806717055593,True,hough,157,44,472,359,16.919968787264995,1.0
43,2.5413758465301917,2.5413758465301917,521.0,168.0,54.0,467.0,114.0,575.0,222.0,0.650793894116079,True,hough,157,44,472,359,16.919968787264995,1.0
44,2.600477610402987,2.600477610402987,503.0,183.0,72.0,431.0,111.0,575.0,255.0,0.5554170418998139,True,hough,157,44,472,359,16.919968787264995,1.0
45,2.6595793742757823,2.6595793742757823,502.0,185.0,74.0,428.0,111.0,576.0,259.0,0.5428756678832258,True,hough,157,44,472,359,16.919968787264995,1.0
46,2.718681138148577,2.718681138148577,522.0,166.0,52.0,470.0,114.0,574.0,218.0,0.6638281788776421,True,hough,157,44,472,359,16.919968787264995,1.0
47,2.7777829020213725,2.7777829020213725,503.0,184.0,72.0,431.0,112.0,575.0,256.0,0.5560826413087174,True,hough,157,44,472,359,16.919968787264995,1.0
48,2.8368846658941678,2.8368846658941678,501.0,186.0,74.0,427.0,112.0,575.0,260.0,0.5423349653287206,True,hough,157,44,472,359,16.919968787264995,1.0
49,2.8959864297669626,2.8959864297669626,503.0,184.0,72.0,431.0,112.0,575.0,256.0,0.5549790994979287,True,hough,157,44,472,359,16.919968787264995,1.0
50,2.955088193639758,2.955088193639758,502.0,183.0,71.0,431.0,112.0,573.0,254.0,0.5628300580537593,True,hough,157,44,472,359,16.919968787264995,1.0
51,3.0141899575125533,3.0141899575125533,503.0,184.0,72.0,431.0,112.0,575.0,256.0,0.5540415878021598,True,hough,157,44,472,359,16.919968787264995,1.0
52,3.073291721385348,3.073291721385348,504.0,184.0,72.0,432.0,112.0,576.0,256.0,0.5441194423846677,True,hough,157,44,472,359,16.919968787264995,1.0
53,3.1323934852581434,3.1323934852581434,504.0,184.0,72.0,432.0,112.0,576.0,256.0,0.5436017680407474,True,hough,157,44,472,359,16.919968787264995,1.0
54,3.1914952491309387,3.1914952491309387,504.0,184.0,72.0,432.0,112.0,576.0,256.0,0.5431107600495946,True,hough,157,44,472,359,16.919968787264995,1.0
55,3.2505970130037336,3.2505970130037336,522.0,168.0,55.0,467.0,113.0,577.0,223.0,0.6385880000774482,True,hough,157,44,472,359,16.919968787264995,1.0
56,3.309698776876529,3.309698776876529,524.0,167.0,54.0,470.0,113.0,578.0,221.0,0.644800428277037,True,hough,157,44,472,359,16.919968787264995,1.0
57,3.368800540749324,3.368800540749324,504.0,183.0,72.0,432.0,111.0,576.0,255.0,0.5413505408150503,True,hough,157,44,472,359,16.919968787264995,1.0
58,3.427902304622119,3.427902304622119,524.0,166.0,52.0,472.0,114.0,576.0,218.0,0.6588067987827066,True,hough,157,44,472,359,16.919968787264995,1.0
59,3.4870040684949144,3.4870040684949144,503.0,185.0,74.0,429.0,111.0,577.0,259.0,0.5258655232507203,True,hough,157,44,472,359,16.919968787264995,1.0
60,3.5461058323677093,3.5461058323677093,510.0,187.0,66.0,444.0,121.0,576.0,253.0,0.576048944271762,True,hough,157,44,472,359,16.919968787264995,1.0
61,3.6052075962405046,3.6052075962405046,510.0,187.0,66.0,444.0,121.0,576.0,253.0,0.5760919731120555,True,hough,157,44,472,359,16.919968787264995,1.0
62,3.6643093601133,3.6643093601133,496.0,172.0,80.0,416.0,92.0,576.0,252.0,0.48221119249742667,True,hough,157,44,472,359,16.919968787264995,1.0
63,3.7234111239860948,3.7234111239860948,504.0,183.0,72.0,432.0,111.0,576.0,255.0,0.5407379421027619,True,hough,157,44,472,359,16.919968787264995,1.0
64,3.78251288785889,3.78251288785889,512.0,190.0,64.0,448.0,126.0,576.0,254.0,0.5856800801667608,True,hough,157,44,472,359,16.919968787264995,1.0
65,3.8416146517316854,3.8416146517316854,512.0,190.0,64.0,448.0,126.0,576.0,254.0,0.5856838120337393,True,hough,157,44,472,359,16.919968787264995,1.0
66,3.9007164156044802,3.9007164156044802,522.0,166.0,54.0,468.0,112.0,576.0,220.0,0.6446218350245365,True,hough,157,44,472,359,16.919968787264995,1.0
67,3.9598181794772755,3.9598181794772755,496.0,172.0,80.0,416.0,92.0,576.0,252.0,0.48213772899519897,True,hough,157,44,472,359,16.919968787264995,1.0
68,4.01891994335007,4.01891994335007,506.0,181.0,72.0,434.0,109.0,578.0,253.0,0.5376585548463508,True,hough,157,44,472,359,16.919968787264995,1.0
69,4.078021707222866,4.078021707222866,503.0,185.0,74.0,429.0,111.0,577.0,259.0,0.526560399642503,True,hough,157,44,472,359,16.919968787264995,1.0
70,4.137123471095661,4.137123471095661,508.0,180.0,74.0,434.0,106.0,582.0,254.0,0.5208587047552771,True,hough,157,44,472,359,16.919968787264995,1.0
71,4.196225234968456,4.196225234968456,508.0,180.0,74.0,434.0,106.0,582.0,254.0,0.5208884848869539,True,hough,157,44,472,359,16.919968787264995,1.0
72,4.255326998841252,4.255326998841252,496.0,172.0,80.0,416.0,92.0,576.0,252.0,0.48346791527019695,True,hough,157,44,472,359,16.919968787264995,1.0
73,4.314428762714047,4.314428762714047,524.0,165.0,53.0,471.0,112.0,577.0,218.0,0.6517050244809421,True,hough,157,44,472,359,16.919968787264995,1.0
74,4.373530526586841,4.373530526586841,504.0,183.0,72.0,432.0,111.0,576.0,255.0,0.5428721678760711,True,hough,157,44,472,359,16.919968787264995,1.0
75,4.432632290459637,4.432632290459637,504.0,183.0,72.0,432.0,111.0,576.0,255.0,0.5430991955752734,True,hough,157,44,472,359,16.919968787264995,1.0
76,4.491734054332432,4.491734054332432,512.0,189.0,64.0,448.0,125.0,576.0,253.0,0.5876855553514664,True,hough,157,44,472,359,16.919968787264995,1.0
77,4.550835818205227,4.550835818205227,502.0,185.0,74.0,428.0,111.0,576.0,259.0,0.5308761708238889,True,hough,157,44,472,359,16.919968787264995,1.0
78,4.609937582078023,4.609937582078023,524.0,165.0,53.0,471.0,112.0,577.0,218.0,0.6533005350884091,True,hough,157,44,472,359,16.919968787264995,1.0
79,4.669039345950817,4.669039345950817,524.0,165.0,53.0,471.0,112.0,577.0,218.0,0.6534035046449456,True,hough,157,44,472,359,16.919968787264995,1.0
80,4.728141109823612,4.728141109823612,524.0,163.0,52.0,472.0,111.0,576.0,215.0,0.6613212012130916,True,hough,157,44,472,359,16.919968787264995,1.0
81,4.787242873696408,4.787242873696408,506.0,180.0,72.0,434.0,108.0,578.0,252.0,0.5421391419829973,True,hough,157,44,472,359,16.919968787264995,1.0
82,4.846344637569203,4.846344637569203,524.0,163.0,52.0,472.0,111.0,576.0,215.0,0.6617946785880358,True,hough,157,44,472,359,16.919968787264995,1.0
83,4.905446401441998,4.905446401441998,502.0,177.0,78.0,424.0,99.0,580.0,255.0,0.49705538967621526,True,hough,157,44,472,359,16.919968787264995,1.0
84,4.964548165314794,4.964548165314794,524.0,163.0,52.0,472.0,111.0,576.0,215.0,0.6619761353651683,True,hough,157,44,472,359,16.919968787264995,1.0
85,5.023649929187588,5.023649929187588,524.0,163.0,52.0,472.0,111.0,576.0,215.0,0.6619800525493186,True,hough,157,44,472,359,16.919968787264995,1.0
86,5.082751693060383,5.082751693060383,524.0,163.0,52.0,472.0,111.0,576.0,215.0,0.6620823550920845,True,hough,157,44,472,359,16.919968787264995,1.0
87,5.141853456933179,5.141853456933179,506.0,180.0,72.0,434.0,108.0,578.0,252.0,0.5428077807826461,True,hough,157,44,472,359,16.919968787264995,1.0
88,5.200955220805974,5.200955220805974,504.0,181.0,72.0,432.0,109.0,576.0,253.0,0.5447617317491543,True,hough,157,44,472,359,16.919968787264995,1.0
89,5.260056984678769,5.260056984678769,525.0,163.0,52.0,473.0,111.0,577.0,215.0,0.6616671739554896,True,hough,157,44,472,359,16.919968787264995,1.0
90,5.319158748551565,5.319158748551565,525.0,163.0,52.0,473.0,111.0,577.0,215.0,0.6616816283073139,True,hough,157,44,472,359,16.919968787264995,1.0
91,5.378260512424359,5.378260512424359,525.0,163.0,52.0,473.0,111.0,577.0,215.0,0.6617284412539826,True,hough,157,44,472,359,16.919968787264995,1.0
92,5.437362276297154,5.437362276297154,503.0,184.0,74.0,429.0,110.0,577.0,258.0,0.5288737599019795,True,hough,157,44,472,359,16.919968787264995,1.0
93,5.49646404016995,5.49646404016995,503.0,184.0,74.0,429.0,110.0,577.0,258.0,0.528235748023,True,hough,157,44,472,359,16.919968787264995,1.0
94,5.555565804042745,5.555565804042745,506.0,181.0,72.0,434.0,109.0,578.0,253.0,0.5399608510804039,True,hough,157,44,472,359,16.919968787264995,1.0
95,5.61466756791554,5.61466756791554,507.0,180.0,72.0,435.0,108.0,579.0,252.0,0.5379764066037647,True,hough,157,44,472,359,16.919968787264995,1.0
96,5.6737693317883355,5.6737693317883355,506.0,181.0,72.0,434.0,109.0,578.0,253.0,0.539355989685073,True,hough,157,44,472,359,16.919968787264995,1.0
97,5.73287109566113,5.73287109566113,506.0,181.0,72.0,434.0,109.0,578.0,253.0,0.5391817317853735,True,hough,157,44,472,359,16.919968787264995,1.0
98,5.791972859533925,5.791972859533925,506.0,181.0,72.0,434.0,109.0,578.0,253.0,0.5390625496380363,True,hough,157,44,472,359,16.919968787264995,1.0
99,5.851074623406721,5.851074623406721,526.0,163.0,51.0,475.0,112.0,577.0,214.0,0.6599233254846961,True,hough,157,44,472,359,16.919968787264995,1.0
100,5.910176387279516,5.910176387279516,504.0,183.0,72.0,432.0,111.0,576.0,255.0,0.5428633952949371,True,hough,157,44,472,359,16.919968787264995,1.0
101,5.969278151152311,5.969278151152311,512.0,191.0,63.0,449.0,128.0,575.0,254.0,0.5932040638149163,True,hough,157,44,472,359,16.919968787264995,1.0
102,6.0283799150251065,6.0283799150251065,504.0,183.0,72.0,432.0,111.0,576.0,255.0,0.5431629231782535,True,hough,157,44,472,359,16.919968787264995,1.0
103,6.087481678897901,6.087481678897901,504.0,183.0,72.0,432.0,111.0,576.0,255.0,0.5430278408219319,True,hough,157,44,472,359,16.919968787264995,1.0
104,6.146583442770696,6.146583442770696,509.0,180.0,74.0,435.0,106.0,583.0,254.0,0.5210199779250462,True,hough,157,44,472,359,16.919968787264995,1.0
105,6.2056852066434915,6.2056852066434915,501.0,183.0,76.0,425.0,107.0,577.0,259.0,0.5106064482052213,True,hough,157,44,472,359,16.919968787264995,1.0
106,6.264786970516287,6.264786970516287,506.0,184.0,74.0,432.0,110.0,580.0,258.0,0.5269709948117638,True,hough,157,44,472,359,16.919968787264995,1.0
107,6.323888734389082,6.323888734389082,501.0,183.0,76.0,425.0,107.0,577.0,259.0,0.5109842250814891,True,hough,157,44,472,359,16.919968787264995,1.0
108,6.3829904982618775,6.3829904982618775,524.0,165.0,53.0,471.0,112.0,577.0,218.0,0.652468306351756,True,hough,157,44,472,359,16.919968787264995,1.0
109,6.442092262134672,6.442092262134672,524.0,165.0,53.0,471.0,112.0,577.0,218.0,0.652468306351756,True,hough,157,44,472,359,16.919968787264995,1.0
110,6.501194026007467,6.501194026007467,524.0,165.0,53.0,471.0,112.0,577.0,218.0,0.652468306351756,True,hough,157,44,472,359,16.919968787264995,1.0
111,6.5602957898802625,6.5602957898802625,524.0,165.0,53.0,471.0,112.0,577.0,218.0,0.6524935451338394,True,hough,157,44,472,359,16.919968787264995,1.0
112,6.619397553753058,6.619397553753058,510.0,191.0,64.0,446.0,127.0,574.0,255.0,0.5908091585233817,True,hough,157,44,472,359,16.919968787264995,1.0
113,6.678499317625853,6.678499317625853,507.0,179.0,74.0,433.0,105.0,581.0,253.0,0.5240383845839349,True,hough,157,44,472,359,16.919968787264995,1.0
114,6.737601081498648,6.737601081498648,504.0,181.0,72.0,432.0,109.0,576.0,253.0,0.5436234195496978,True,hough,157,44,472,359,16.919968787264995,1.0
115,6.796702845371443,6.796702845371443,508.0,179.0,74.0,434.0,105.0,582.0,253.0,0.5235141673067258,True,hough,157,44,472,359,16.919968787264995,1.0
116,6.855804609244238,6.855804609244238,503.0,184.0,74.0,429.0,110.0,577.0,258.0,0.5285737147399607,True,hough,157,44,472,359,16.919968787264995,1.0
117,6.9149063731170335,6.9149063731170335,525.0,163.0,52.0,473.0,111.0,577.0,215.0,0.662069357425088,True,hough,157,44,472,359,16.919968787264995,1.0
