T_US,HALL_INF_MV,HALL_SUP_MV,PWM,SYNC_PULSE,posição,tempo_video_ms,posicao_video_valida,tracking_interp_gap_ms,sync_pair_index,sync_fit_residual_ms
3034827258,1565,1657,190,1,13.385990383,0.484607985,1,4.166666667,,
3034829258,1556,1637,190,1,13.386244568,2.484367484,1,4.166666667,,
3034831258,1549,1608,190,1,13.386458401,4.484126984,1,4.166666667,,
3034833258,1544,1578,190,1,13.386458401,6.483886484,1,4.166666667,,
3034835258,1538,1559,190,1,13.386934429,8.483645984,1,4.166666667,,
3034837258,1525,1523,190,1,13.393267502,10.483405483,1,4.166666667,,
3034839258,1512,1498,190,1,13.399600576,12.483164983,1,4.166666667,,
3034841258,1514,1475,190,1,13.40124774,14.482924483,1,4.166666667,,
3034843258,1517,1457,190,1,13.40285512,16.482683983,1,4.166666667,,
3034845258,1501,1431,190,1,13.403003003,18.482443482,1,4.166666667,,
3034847258,1496,1419,190,1,13.403003003,20.482202982,1,4.166666667,,
3034849258,1494,1396,190,1,13.404680162,22.481962482,1,4.166666667,,
3034851258,1488,1371,190,1,13.406714527,24.481721982,1,4.166666667,,
3034853258,1488,1359,190,1,13.407668921,26.481481481,1,4.166666667,,
3034855258,1480,1346,190,1,13.4082455,28.481240981,1,4.166666667,,
3034857258,1486,1331,190,1,13.408443125,30.481000481,1,4.166666667,,
3034859258,1466,1322,190,1,13.408443125,32.480759981,1,4.166666667,,
3034861258,1472,1319,190,1,13.408513396,34.480519481,1,4.166666667,,
3034863258,1468,1297,190,1,13.408635891,36.48027898,1,4.166666667,,
3034865258,1466,1288,190,1,13.40880378,38.48003848,1,4.166666667,,
3034867258,1461,1284,190,1,13.409018901,40.47979798,1,4.166666667,,
3034869258,1456,1273,190,1,13.409146577,42.47955748,1,4.166666667,,
3034871258,1450,1271,190,1,13.409146577,44.479316979,1,4.166666667,,
3034873258,1456,1260,190,1,13.410927892,46.479076479,1,4.166666667,,
3034875258,1457,1252,190,1,13.416444329,48.478835979,1,4.166666667,,
3034877258,1447,1248,190,1,13.421746487,50.478595479,1,4.166666667,,
3034879258,1451,1236,190,1,13.426367584,52.478354978,1,4.166666667,,
3034881258,1451,1239,190,1,13.431009602,54.478114478,1,4.166666667,,
3034883258,1446,1230,190,1,13.435765034,56.477873978,1,4.166666667,,
3034885258,1443,1219,190,1,13.440244004,58.477633478,1,4.166666667,,
3034887258,1447,1223,190,1,13.441168131,60.477392977,1,4.166666667,,
3034889258,1448,1218,190,1,13.442092259,62.477152477,1,4.166666667,,
3034891258,1446,1212,190,1,13.442891461,64.476911977,1,4.166666667,,
3034893258,1445,1209,190,1,13.44368922,66.476671477,1,4.166666667,,
3034895258,1445,1205,190,1,13.447984779,68.476430976,1,4.166666667,,
3034897258,1441,1198,190,1,13.452647549,70.476190476,1,4.166666667,,
3034899258,1441,1198,190,1,13.459389047,72.475949976,1,4.166666667,,
3034901258,1444,1201,190,1,13.46658251,74.475709476,1,4.166666667,,
3034903258,1437,1194,190,1,13.477637696,76.475468975,1,4.166666667,,
3034905258,1449,1197,190,1,13.490065101,78.475228475,1,4.166666667,,
3034907258,1436,1187,190,1,13.498425479,80.474987975,1,4.166666667,,
3034909258,1441,1198,190,1,13.504636463,82.474747475,1,4.166666667,,
3034911258,1438,1203,190,1,13.510975532,84.474506975,1,4.166666667,,
3034913258,1438,1187,190,1,13.517410969,86.474266474,1,4.166666667,,
3034915258,1435,1181,190,1,13.522617696,88.474025974,1,4.166666667,,
3034917258,1441,1183,190,1,13.526530483,90.473785474,1,4.166666667,,
3034919258,1437,1186,190,1,13.532634906,92.473544974,1,4.166666667,,
3034921258,1436,1178,190,1,13.541979423,94.473304473,1,4.166666667,,
3034923258,1436,1179,190,1,13.552692273,96.473063973,1,4.166666667,,
3034925258,1437,1179,190,1,13.566314115,98.472823473,1,4.166666667,,
3034927258,1437,1183,190,1,13.580045519,100.472582973,1,4.166666667,,
3034929258,1436,1179,190,1,13.594130979,102.472342472,1,4.166666667,,
3034931258,1440,1179,190,1,13.607586807,104.472101972,1,4.166666667,,
3034933258,1435,1185,190,1,13.617549918,106.471861472,1,4.166666667,,
3034935258,1431,1175,190,1,13.628046729,108.471620972,1,4.166666667,,
3034937258,1432,1179,190,1,13.645727613,110.471380471,1,4.166666667,,
3034939258,1436,1179,190,1,13.663408498,112.471139971,1,4.166666667,,
3034941258,1434,1168,190,1,13.663663664,114.470899471,1,4.166666667,,
3034943258,1443,1167,190,1,13.663663664,116.470658971,1,4.166666667,,
3034945258,1440,1172,190,1,13.689458426,118.47041847,1,4.166666667,,
3034947258,1432,1175,190,1,13.71805622,120.47017797,1,4.166666667,,
3034949258,1435,1175,190,1,13.730513015,122.46993747,1,4.166666667,,
3034951258,1436,1166,190,1,13.739388192,124.46969697,1,4.166666667,,
3034953258,1436,1165,190,1,13.774070119,126.469456469,1,4.166666667,,
3034955258,1436,1179,190,1,13.818065284,128.469215969,1,4.166666667,,
3034957258,1433,1166,190,1,13.846929725,130.468975469,1,4.166666667,,
3034959258,1436,1167,190,1,13.867690915,132.468734969,1,4.166666667,,
3034961258,1430,1169,190,1,13.896579224,134.468494468,1,4.166666667,,
3034963258,1428,1172,190,1,13.931657575,136.468253968,1,4.166666667,,
3034965258,1432,1169,190,1,13.955847299,138.468013468,1,4.166666667,,
3034967258,1424,1171,190,1,13.968431506,140.467772968,1,4.166666667,,
3034969258,1435,1160,190,1,13.989239929,142.467532468,1,4.166666667,,
3034971258,1436,1179,190,1,14.022359979,144.467291967,1,4.166666667,,
3034973258,1435,1167,190,1,14.055561171,146.467051467,1,4.166666667,,
3034975258,1425,1155,190,1,14.088937276,148.466810967,1,4.166666667,,
3034977258,1428,1171,190,1,14.120454914,150.466570467,1,4.166666667,,
