frame,decisao,explicacao,confianca_selecionada,topo_ruler_mm,bbox_altura_px,bbox_largura_px,bbox_aspect,area_px,componentes_encontrados_na_mascara,componentes_rejeitados,candidatos_aceitos_no_frame,threshold_usado,percentil_escuro_q
46,candidato_selecionado,OK,0.7883809511524951,14.963861045597483,152.0,177.0,1.1644736842105263,18194.5,7,6,1,75.0,37.0
47,candidato_selecionado,OK,0.7885805873455753,14.963861045597483,152.0,177.0,1.1644736842105263,18190.5,7,6,1,75.0,37.0
48,candidato_selecionado,OK,0.7875218998744699,14.969843524531024,152.0,177.0,1.1644736842105263,18200.0,7,6,1,75.0,37.0
49,candidato_selecionado,OK,0.7879531126386078,14.969843524531024,152.0,177.0,1.1644736842105263,18204.5,7,6,1,75.0,37.0
50,candidato_selecionado,OK,0.7876635167744703,14.97224824664379,152.0,177.0,1.1644736842105263,18200.0,7,6,1,75.0,37.0
51,candidato_selecionado,OK,0.7876720736952639,14.971927561162078,152.0,177.0,1.1644736842105263,18200.0,7,6,1,75.0,37.0
52,candidato_selecionado,OK,0.78672187055999,14.971927561162078,152.0,178.0,1.1710526315789473,18189.0,7,6,1,75.0,37.0
53,candidato_selecionado,OK,0.7870335793225591,14.971400669642856,152.0,178.0,1.1710526315789473,18199.5,7,6,1,75.0,37.0
54,candidato_selecionado,OK,0.7875167349223652,14.973321759259258,152.0,178.0,1.1710526315789473,18210.5,7,6,1,75.0,37.0
55,candidato_selecionado,OK,0.7865964855035293,14.97472426470588,152.0,179.0,1.1776315789473684,18207.5,7,6,1,75.0,37.0
56,candidato_selecionado,OK,0.7864602168933066,14.973727876106194,152.0,179.0,1.1776315789473684,18218.0,7,6,1,75.0,37.0
57,candidato_selecionado,OK,0.7870417800973357,14.973727876106194,152.0,179.0,1.1776315789473684,18234.0,8,7,1,75.0,37.0
58,candidato_selecionado,OK,0.7861823259035061,14.975236742424242,152.0,179.0,1.1776315789473684,18204.0,8,7,1,75.0,37.0
59,candidato_selecionado,OK,0.7860036973414157,14.975236742424242,152.0,179.0,1.1776315789473684,18200.0,8,7,1,75.0,37.0
60,candidato_selecionado,OK,0.7862355419076261,14.974926253687315,152.0,179.0,1.1776315789473684,18205.0,8,7,1,75.0,37.0
61,candidato_selecionado,OK,0.7857967865989424,14.974926253687315,152.0,179.0,1.1776315789473684,18196.0,8,7,1,75.0,37.0
62,candidato_selecionado,OK,0.7860071937505219,14.974923670977011,152.0,179.0,1.1776315789473684,18199.0,8,7,1,75.0,37.0
63,candidato_selecionado,OK,0.7869393806065358,14.974923670977011,152.0,178.0,1.1710526315789473,18201.0,8,7,1,75.0,37.0
64,candidato_selecionado,OK,0.7877751434705307,14.975225848082596,152.0,178.0,1.1710526315789473,18214.5,8,7,1,75.0,37.0
65,candidato_selecionado,OK,0.7878549320185234,14.974933353080567,152.0,178.0,1.1710526315789473,18211.5,8,7,1,75.0,37.0
66,candidato_selecionado,OK,0.7893044341285168,14.97542824074074,152.0,177.0,1.1644736842105263,18221.5,8,7,1,75.0,37.0
67,candidato_selecionado,OK,0.7896572358387176,14.97542824074074,152.0,177.0,1.1644736842105263,18230.0,8,7,1,75.0,37.0
68,candidato_selecionado,OK,0.7906028623874214,14.975382286535304,152.0,176.0,1.1578947368421053,18224.5,8,7,1,75.0,37.0
69,candidato_selecionado,OK,0.7906174921517982,14.975382286535304,152.0,176.0,1.1578947368421053,18223.5,8,7,1,75.0,37.0
70,candidato_selecionado,OK,0.7902706143952561,14.974394437799042,152.0,176.0,1.1578947368421053,18230.0,8,7,1,75.0,37.0
71,candidato_selecionado,OK,0.7882564588291688,14.97384510869565,152.0,178.0,1.1710526315789473,18243.0,8,7,1,75.0,37.0
72,candidato_selecionado,OK,0.7883788845938812,14.97384510869565,152.0,178.0,1.1710526315789473,18247.0,8,7,1,75.0,37.0
73,candidato_selecionado,OK,0.7880079062879802,14.97384510869565,152.0,178.0,1.1710526315789473,18238.5,8,7,1,75.0,37.0
74,candidato_selecionado,OK,0.7881169525496814,14.973632812499998,152.0,178.0,1.1710526315789473,18235.5,8,7,1,75.0,37.0
75,candidato_selecionado,OK,0.7884278265496909,14.973632812499998,152.0,178.0,1.1710526315789473,18236.5,8,7,1,75.0,37.0
76,candidato_selecionado,OK,0.7887710297245624,14.974091569767442,152.0,178.0,1.1710526315789473,18244.0,7,6,1,75.0,37.0
77,candidato_selecionado,OK,0.7889308938822267,14.977594339622641,152.0,178.0,1.1710526315789473,18250.0,7,6,1,75.0,37.0
78,candidato_selecionado,OK,0.7887044899839677,14.97629602713178,152.0,178.0,1.1710526315789473,18248.0,7,6,1,75.0,37.0
79,candidato_selecionado,OK,0.7887549738363615,14.979662698412698,152.0,178.0,1.1710526315789473,18252.0,8,7,1,75.0,37.0
80,candidato_selecionado,OK,0.7884602615789404,14.979425849131122,152.0,178.0,1.1710526315789473,18240.0,8,7,1,75.0,37.0
81,candidato_selecionado,OK,0.7887362271815324,14.979191234276728,152.0,178.0,1.1710526315789473,18239.5,8,7,1,75.0,37.0
82,candidato_selecionado,OK,0.7885375387143471,14.983003723832528,152.0,178.0,1.1710526315789473,18234.5,8,7,1,75.0,37.0
83,candidato_selecionado,OK,0.7886342529626359,14.977681859131115,152.0,178.0,1.1710526315789473,18240.0,7,6,1,75.0,37.0
84,candidato_selecionado,OK,0.7888148772499005,14.977681859131115,152.0,178.0,1.1710526315789473,18237.0,8,7,1,75.0,37.0
85,candidato_selecionado,OK,0.7885808942142967,14.983789374003189,152.0,178.0,1.1710526315789473,18241.5,8,7,1,75.0,37.0
86,candidato_selecionado,OK,0.7893379412143658,14.978313890369469,152.0,177.0,1.1644736842105263,18229.0,8,7,1,75.0,37.0
87,candidato_selecionado,OK,0.7884247604415672,14.979036517283731,152.0,178.0,1.1710526315789473,18237.5,7,6,1,75.0,37.0
88,candidato_selecionado,OK,0.7880193962524192,14.979509675026968,152.0,178.0,1.1710526315789473,18231.5,7,6,1,75.0,37.0
89,candidato_selecionado,OK,0.7881736641478008,14.979893663194444,152.0,178.0,1.1710526315789473,18234.5,7,6,1,75.0,37.0
90,candidato_selecionado,OK,0.7881336004230826,14.978658994328892,152.0,178.0,1.1710526315789473,18233.5,8,7,1,75.0,37.0
91,candidato_selecionado,OK,0.7882233297328468,14.97916527626097,152.0,178.0,1.1710526315789473,18227.5,8,7,1,75.0,37.0
92,candidato_selecionado,OK,0.7885680779226818,14.97920553482587,152.0,178.0,1.1710526315789473,18235.5,8,7,1,75.0,37.0
93,candidato_selecionado,OK,0.7885285046984558,14.97920553482587,152.0,178.0,1.1710526315789473,18237.5,8,7,1,75.0,37.0
94,candidato_selecionado,OK,0.7880322978213149,14.978607127124791,152.0,178.0,1.1710526315789473,18237.5,8,7,1,75.0,37.0
95,candidato_selecionado,OK,0.7882189196049394,14.976702699566832,152.0,178.0,1.1710526315789473,18248.5,8,7,1,75.0,37.0
96,candidato_selecionado,OK,0.7885799763541438,14.981872459349594,152.0,178.0,1.1710526315789473,18248.0,8,7,1,75.0,37.0
97,candidato_selecionado,OK,0.7886890582299545,14.981872459349594,152.0,178.0,1.1710526315789473,18244.0,8,7,1,75.0,37.0
98,candidato_selecionado,OK,0.7886202819012322,14.978625206270626,152.0,178.0,1.1710526315789473,18240.0,8,7,1,75.0,37.0
99,candidato_selecionado,OK,0.7886485409461893,14.977594339622641,152.0,178.0,1.1710526315789473,18240.0,7,6,1,75.0,37.0
100,candidato_selecionado,OK,0.7885386157057733,14.977594339622641,152.0,178.0,1.1710526315789473,18238.0,8,7,1,75.0,37.0
101,candidato_selecionado,OK,0.7889236497904487,14.977594339622641,152.0,178.0,1.1710526315789473,18248.5,8,7,1,75.0,37.0
102,candidato_selecionado,OK,0.789898954451836,14.973649782780411,152.0,177.0,1.1644736842105263,18249.5,7,6,1,75.0,37.0
103,candidato_selecionado,OK,0.7887296850092822,14.97429906542056,152.0,178.0,1.1710526315789473,18244.5,8,7,1,75.0,37.0
104,candidato_selecionado,OK,0.7884345351000966,14.981597222222222,152.0,178.0,1.1710526315789473,18237.5,8,7,1,75.0,37.0
105,candidato_selecionado,OK,0.7880770070818744,14.981597222222222,152.0,178.0,1.1710526315789473,18221.5,8,7,1,75.0,37.0
106,candidato_selecionado,OK,0.7875196863303845,14.981597222222222,152.0,179.0,1.1776315789473684,18232.0,8,7,1,75.0,37.0
107,candidato_selecionado,OK,0.7871789862148774,14.981597222222222,152.0,179.0,1.1776315789473684,18229.0,8,7,1,75.0,37.0
108,candidato_selecionado,OK,0.7899727955782031,14.981597222222222,152.0,179.0,1.1776315789473684,18203.0,9,8,1,75.0,37.0
109,candidato_selecionado,OK,0.7899152526819454,14.981419709737828,152.0,179.0,1.1776315789473684,18201.0,9,8,1,75.0,37.0
110,candidato_selecionado,OK,0.7900642679261166,14.980926238738737,152.0,179.0,1.1776315789473684,18209.5,9,8,1,75.0,37.0
111,candidato_selecionado,OK,0.7886218621374644,14.982349537037036,152.0,178.0,1.1710526315789473,18230.0,7,6,1,75.0,37.0
112,candidato_selecionado,OK,0.7884175500215118,14.984747023809522,152.0,178.0,1.1710526315789473,18226.0,7,6,1,75.0,37.0
113,candidato_selecionado,OK,0.7884115095130586,14.994352762172284,152.0,178.0,1.1710526315789473,18227.5,8,7,1,75.0,37.0
114,candidato_selecionado,OK,0.7895212376225382,14.994352762172284,152.0,177.0,1.1644736842105263,18229.0,8,7,1,75.0,37.0
115,candidato_selecionado,OK,0.7894524513406287,14.993613244878958,152.0,177.0,1.1644736842105263,18232.0,8,7,1,75.0,37.0
116,candidato_selecionado,OK,0.7894560069083145,14.990551384646126,152.0,177.0,1.1644736842105263,18229.5,8,7,1,75.0,37.0
117,candidato_selecionado,OK,0.7895762862736869,14.990886663531692,152.0,177.0,1.1644736842105263,18233.5,8,7,1,75.0,37.0
118,candidato_selecionado,OK,0.7897483890280834,14.990721693301598,152.0,177.0,1.1644736842105263,18234.0,8,7,1,75.0,37.0
119,candidato_selecionado,OK,0.7893050417621261,14.986437259152215,152.0,177.0,1.1644736842105263,18241.0,8,7,1,75.0,37.0
120,candidato_selecionado,OK,0.7877719885598073,14.984479701311662,152.0,178.0,1.1710526315789473,18229.0,8,7,1,75.0,37.0
121,candidato_selecionado,OK,0.787891397222606,14.984479701311662,152.0,178.0,1.1710526315789473,18231.0,8,7,1,75.0,37.0
122,candidato_selecionado,OK,0.7877627699538325,14.986290171898355,152.0,178.0,1.1710526315789473,18232.5,8,7,1,75.0,37.0
123,candidato_selecionado,OK,0.7875725331911179,14.986306063122925,152.0,178.0,1.1710526315789473,18233.0,8,7,1,75.0,37.0
124,candidato_selecionado,OK,0.7880125651674144,14.989398498618876,152.0,178.0,1.1710526315789473,18232.5,8,7,1,75.0,37.0
125,candidato_selecionado,OK,0.7885371756874905,14.992061292243616,152.0,178.0,1.1710526315789473,18236.0,8,7,1,75.0,37.0
126,candidato_selecionado,OK,0.7891394089169821,14.991339917452828,152.0,178.0,1.1710526315789473,18244.0,8,7,1,75.0,37.0
127,candidato_selecionado,OK,0.7890769481721728,14.993576513642102,152.0,178.0,1.1710526315789473,18240.0,8,7,1,75.0,37.0
128,candidato_selecionado,OK,0.7888621543099613,14.983797227557446,152.0,178.0,1.1710526315789473,18255.5,8,7,1,75.0,37.0
129,candidato_selecionado,OK,0.7885636443400165,14.9835563873514,152.0,178.0,1.1710526315789473,18248.0,8,7,1,75.0,37.0
130,candidato_selecionado,OK,0.7885642158973928,14.9835563873514,152.0,178.0,1.1710526315789473,18249.0,8,7,1,75.0,37.0
131,candidato_selecionado,OK,0.7887783379311659,14.9923355505497,152.0,178.0,1.1710526315789473,18243.5,8,7,1,75.0,37.0
132,candidato_selecionado,OK,0.7876295342692682,15.003672288359788,152.0,178.0,1.1710526315789473,18215.5,8,7,1,75.0,37.0
133,candidato_selecionado,OK,0.7878797396167103,15.004818287986176,152.0,178.0,1.1710526315789473,18212.0,8,7,1,75.0,37.0
134,candidato_selecionado,OK,0.7877081973579477,15.00654701452935,152.0,178.0,1.1710526315789473,18215.5,7,6,1,75.0,37.0
135,candidato_selecionado,OK,0.7873301186579454,15.00642049894282,152.0,178.0,1.1710526315789473,18208.5,8,7,1,75.0,37.0
136,candidato_selecionado,OK,0.785789951037447,15.008072916666665,153.0,179.0,1.1699346405228759,18221.0,8,7,1,75.0,37.0
137,candidato_selecionado,OK,0.78578099919321,15.00848033988416,153.0,179.0,1.1699346405228759,18218.0,8,7,1,75.0,37.0
138,candidato_selecionado,OK,0.7863517920066169,15.008184622181675,153.0,179.0,1.1699346405228759,18230.5,8,7,1,75.0,37.0
139,candidato_selecionado,OK,0.7873153071736942,14.991070676096083,152.0,179.0,1.1776315789473684,18229.5,8,7,1,75.0,37.0
140,candidato_selecionado,OK,0.7864898836270963,14.992048750887994,153.0,179.0,1.1699346405228759,18234.0,8,7,1,75.0,37.0
141,candidato_selecionado,OK,0.7865259574197361,14.994366040510602,153.0,179.0,1.1699346405228759,18235.0,8,7,1,75.0,37.0
142,candidato_selecionado,OK,0.7873538123162638,14.995955230496454,152.0,179.0,1.1776315789473684,18224.5,8,7,1,75.0,37.0
143,candidato_selecionado,OK,0.7860041354596767,14.997133765710153,153.0,179.0,1.1699346405228759,18227.5,8,7,1,75.0,37.0
144,candidato_selecionado,OK,0.7855344290018174,14.997133765710153,153.0,179.0,1.1699346405228759,18223.0,8,7,1,75.0,37.0
145,candidato_selecionado,OK,0.7853537015231652,14.99627176061295,153.0,179.0,1.1699346405228759,18223.0,8,7,1,75.0,37.0
146,candidato_selecionado,OK,0.784990270548495,14.996218788232676,153.0,179.0,1.1699346405228759,18210.5,8,7,1,75.0,37.0
147,candidato_selecionado,OK,0.7853330175811706,14.997612798052543,153.0,179.0,1.1699346405228759,18220.0,8,7,1,75.0,37.0
148,candidato_selecionado,OK,0.7853214063947308,14.997395833333332,153.0,179.0,1.1699346405228759,18233.5,8,7,1,75.0,37.0
149,candidato_selecionado,OK,0.7867662984226725,14.997819010416665,152.0,179.0,1.1776315789473684,18238.0,8,7,1,75.0,37.0
150,candidato_selecionado,OK,0.7867849642084644,15.000508860153255,152.0,179.0,1.1776315789473684,18233.0,8,7,1,75.0,37.0
151,candidato_selecionado,OK,0.7882420611955508,15.00126488095238,152.0,178.0,1.1710526315789473,18231.0,7,6,1,75.0,37.0
152,candidato_selecionado,OK,0.7889709514451982,14.997395833333332,152.0,178.0,1.1710526315789473,18247.0,8,7,1,75.0,37.0
153,candidato_selecionado,OK,0.7880843190428813,14.998252900843882,152.0,178.0,1.1710526315789473,18229.0,8,7,1,75.0,37.0
154,candidato_selecionado,OK,0.7881739344507592,14.997827096602972,152.0,178.0,1.1710526315789473,18232.5,8,7,1,75.0,37.0
155,candidato_selecionado,OK,0.7879909340373807,14.998673349056604,152.0,178.0,1.1710526315789473,18235.5,8,7,1,75.0,37.0
156,candidato_selecionado,OK,0.7880794641160577,15.003335160818713,152.0,178.0,1.1710526315789473,18233.5,8,7,1,75.0,37.0
157,candidato_selecionado,OK,0.7891535776054509,15.002604166666664,152.0,178.0,1.1710526315789473,18250.0,8,7,1,75.0,37.0
158,candidato_selecionado,OK,0.7894114064252123,15.002232142857142,152.0,178.0,1.1710526315789473,18260.5,7,6,1,75.0,37.0
159,candidato_selecionado,OK,0.7898427962219131,15.002232142857142,152.0,178.0,1.1710526315789473,18266.5,8,7,1,75.0,37.0
160,candidato_selecionado,OK,0.7905173082069056,15.011516822638146,152.0,178.0,1.1710526315789473,18272.0,8,7,1,75.0,37.0
161,candidato_selecionado,OK,0.7892079933680085,15.010868409863946,152.0,178.0,1.1710526315789473,18264.5,8,7,1,75.0,37.0
162,candidato_selecionado,OK,0.7891276471943596,15.011154745989305,152.0,178.0,1.1710526315789473,18262.5,8,7,1,75.0,37.0
163,candidato_selecionado,OK,0.7891720976253942,15.011154745989305,152.0,178.0,1.1710526315789473,18262.5,8,7,1,75.0,37.0
164,candidato_selecionado,OK,0.7892627572121688,15.011725639329805,152.0,178.0,1.1710526315789473,18264.5,7,6,1,75.0,37.0
165,candidato_selecionado,OK,0.7893826661512273,15.01228457678883,152.0,178.0,1.1710526315789473,18261.0,7,6,1,75.0,37.0
166,candidato_selecionado,OK,0.790173084780118,15.011441710992907,152.0,178.0,1.1710526315789473,18272.0,7,6,1,75.0,37.0
167,candidato_selecionado,OK,0.7893935342170767,15.01244212962963,152.0,178.0,1.1710526315789473,18263.0,7,6,1,75.0,37.0
168,candidato_selecionado,OK,0.7894621215791102,15.013533570811743,152.0,178.0,1.1710526315789473,18276.5,7,6,1,75.0,37.0
169,candidato_selecionado,OK,0.7903932909117588,15.01280037477954,152.0,178.0,1.1710526315789473,18293.5,7,6,1,75.0,37.0
170,candidato_selecionado,OK,0.7904942397685459,15.01280037477954,152.0,178.0,1.1710526315789473,18298.0,7,6,1,75.0,36.0
171,candidato_selecionado,OK,0.7901679416312566,15.014322916666666,152.0,178.0,1.1710526315789473,18301.5,7,6,1,75.0,37.0
172,candidato_selecionado,OK,0.7901158280763813,15.024118501658032,152.0,178.0,1.1710526315789473,18285.0,6,5,1,75.0,37.0
173,candidato_selecionado,OK,0.7888436126046992,15.02998442367601,152.0,178.0,1.1710526315789473,18255.5,6,5,1,75.0,37.0
174,candidato_selecionado,OK,0.7903900551341794,15.039326882402706,152.0,177.0,1.1644736842105263,18267.0,7,6,1,75.0,37.0
175,candidato_selecionado,OK,0.7891145042104238,15.045229581260363,152.0,178.0,1.1710526315789473,18259.5,7,6,1,75.0,37.0
176,candidato_selecionado,OK,0.7892620903128864,15.046517565359476,152.0,178.0,1.1710526315789473,18251.0,6,5,1,75.0,37.0
177,candidato_selecionado,OK,0.7879417683722115,15.044497282608694,152.0,179.0,1.1776315789473684,18240.0,6,5,1,75.0,37.0
178,candidato_selecionado,OK,0.7883952161705228,15.05359375,152.0,179.0,1.1776315789473684,18258.0,6,5,1,75.0,37.0
179,candidato_selecionado,OK,0.789008551943508,15.064000226449274,152.0,179.0,1.1776315789473684,18269.0,6,5,1,75.0,37.0
180,candidato_selecionado,OK,0.7879863110831511,15.073740433673468,153.0,179.0,1.1699346405228759,18270.0,6,5,1,75.0,37.0
181,candidato_selecionado,OK,0.7871446162459127,15.076102474619288,153.0,179.0,1.1699346405228759,18247.0,7,6,1,75.0,37.0
182,candidato_selecionado,OK,0.7867721520273527,15.07750618811881,153.0,179.0,1.1699346405228759,18261.0,8,7,1,75.0,37.0
183,candidato_selecionado,OK,0.787378322910503,15.077567889718075,153.0,179.0,1.1699346405228759,18262.5,8,7,1,75.0,37.0
184,candidato_selecionado,OK,0.7887619716838411,15.07911278735632,152.0,178.0,1.1710526315789473,18235.5,8,7,1,75.0,37.0
185,candidato_selecionado,OK,0.7885756567670303,15.096939506880732,152.0,178.0,1.1710526315789473,18227.5,8,7,1,75.0,37.0
186,candidato_selecionado,OK,0.7888138894250225,15.099984217171716,152.0,178.0,1.1710526315789473,18241.0,8,7,1,75.0,37.0
187,candidato_selecionado,OK,0.788521465444077,15.101945465686274,152.0,178.0,1.1710526315789473,18232.5,7,6,1,75.0,37.0
188,candidato_selecionado,OK,0.7888082296492689,15.1023748088685,152.0,178.0,1.1710526315789473,18239.0,7,6,1,75.0,37.0
189,candidato_selecionado,OK,0.7895910547759731,15.102755062305295,152.0,177.0,1.1644736842105263,18226.0,7,6,1,75.0,37.0
190,candidato_selecionado,OK,0.7885951093960856,15.102755062305295,152.0,178.0,1.1710526315789473,18232.0,7,6,1,75.0,37.0
191,candidato_selecionado,OK,0.7887360749496517,15.10298859126984,152.0,178.0,1.1710526315789473,18233.0,7,6,1,75.0,37.0
192,candidato_selecionado,OK,0.7884475305101852,15.104483754317789,152.0,178.0,1.1710526315789473,18251.0,7,6,1,75.0,37.0
193,candidato_selecionado,OK,0.7887645150501619,15.105073352966839,152.0,178.0,1.1710526315789473,18234.0,7,6,1,75.0,37.0
194,candidato_selecionado,OK,0.7886173971088243,15.105637668918916,152.0,178.0,1.1710526315789473,18229.5,7,6,1,75.0,37.0
195,candidato_selecionado,OK,0.7887364594307268,15.10657953199052,152.0,178.0,1.1710526315789473,18244.0,7,6,1,75.0,37.0
196,candidato_selecionado,OK,0.7889020865141775,15.106892903645832,152.0,178.0,1.1710526315789473,18240.0,7,6,1,75.0,37.0
197,candidato_selecionado,OK,0.7888404346474817,15.102377946127945,152.0,178.0,1.1710526315789473,18235.5,7,6,1,75.0,37.0
198,candidato_selecionado,OK,0.7888031296784352,15.108191287878787,152.0,178.0,1.1710526315789473,18242.5,7,6,1,75.0,37.0
199,candidato_selecionado,OK,0.7890804812304412,15.120410478547853,152.0,178.0,1.1710526315789473,18277.5,7,6,1,75.0,37.0
200,candidato_selecionado,OK,0.7903858031570518,15.12583225945017,152.0,178.0,1.1710526315789473,18323.5,8,7,1,75.0,37.0
201,candidato_selecionado,OK,0.7906767598172879,15.142918221393035,153.0,178.0,1.1633986928104576,18360.5,7,6,1,75.0,37.0
202,candidato_selecionado,OK,0.7938681940899958,15.170254896313365,153.0,178.0,1.1633986928104576,18472.0,7,6,1,75.0,36.0
203,candidato_selecionado,OK,0.7979027223650743,15.220510912698412,154.0,178.0,1.155844155844156,18629.0,7,6,1,75.0,36.0
204,candidato_selecionado,OK,0.8049699240367507,15.261860561056105,155.0,178.0,1.1483870967741936,18791.5,8,7,1,75.0,36.0
