frame,rank,x_center_px,y_center_px,bbox_x_px,bbox_y_px,bbox_w_px,bbox_h_px,bbox_aspect,area_px,fill_ratio,circularity,mean_gray,confidence,method,mask_threshold,q_dark,fracao_bbox_a_direita_da_regua,limite_regua_x_px,topo_ruler_mm_estimado,topo_score,valid_ball_candidate,top_valid,top_reason,y_top_blob_px,y_top_subpx,x_top_blob_px,top_columns_used
0,0,238.14438040610722,264.1582604858947,132.0,186.0,176.0,152.0,1.1578947368421053,18131.5,0.6777624102870813,0.5170459869486708,38.617722068479026,0.787155304790767,dark_blob,75.0,37.0,0.0,324.0,14.972540875527425,0.38736338197374587,True,True,OK,186.0,186.86708860759495,234.5,173
1,0,238.07215671148336,264.1537726838586,132.0,186.0,176.0,152.0,1.1578947368421053,18148.0,0.6783791866028708,0.5228812419826454,38.65284103231403,0.7881685668439647,dark_blob,75.0,37.0,0.0,324.0,14.972540875527425,0.38736338197374587,True,True,OK,186.0,186.86708860759495,234.5,173
2,0,238.06538108356287,264.15188246097335,132.0,186.0,176.0,152.0,1.1578947368421053,18150.0,0.678453947368421,0.5216293801494984,38.65656510896672,0.7880572855689071,dark_blob,75.0,37.0,0.0,324.0,14.972540875527425,0.38736338197374587,True,True,OK,186.0,186.86708860759495,234.5,173
3,0,238.06172057229963,264.1543703050673,132.0,186.0,176.0,152.0,1.1578947368421053,18149.0,0.6784165669856459,0.521600642871705,38.6561669829222,0.7880077641827408,dark_blob,75.0,37.0,0.0,324.0,14.968246614655733,0.3871248119253185,True,True,OK,186.0,186.93051153739225,234.5,173
4,0,238.06717911982952,264.15220226287556,132.0,186.0,176.0,152.0,1.1578947368421053,18148.0,0.6783791866028708,0.5215719029608079,38.63831056170028,0.7880148337889026,dark_blob,75.0,37.0,0.0,324.0,14.968246614655733,0.3871248119253185,True,True,OK,186.0,186.93051153739225,234.5,173
5,0,238.0880055864895,264.2034933936086,132.0,186.0,176.0,152.0,1.1578947368421053,18139.0,0.6780427631578947,0.5226219340200199,38.5964740981828,0.7880322042723237,dark_blob,75.0,37.0,0.0,324.0,14.97177190315692,0.38732066128649556,True,True,OK,186.0,186.8784457379901,234.5,174
6,0,238.07790728647137,264.2149201363056,132.0,186.0,176.0,152.0,1.1578947368421053,18145.5,0.678285735645933,0.5205773011546561,38.55894154647002,0.7879587530527035,dark_blob,75.0,37.0,0.0,324.0,14.963181515957446,0.38684341755319146,True,True,OK,186.0,187.00531914893617,234.0,174
7,0,238.09167746143737,264.232037042141,132.0,186.0,176.0,152.0,1.1578947368421053,18141.5,0.6781362141148325,0.5191620386327966,38.47412951513179,0.7878560945315518,dark_blob,75.0,37.0,0.0,324.0,14.963181515957446,0.38684341755319146,True,True,OK,186.0,187.00531914893617,234.0,174
8,0,238.01288617214604,264.26837931604166,131.0,186.0,177.0,152.0,1.1644736842105263,18159.0,0.6749553969669938,0.5187453022683802,38.55277416558301,0.7872318196511727,dark_blob,75.0,37.0,0.0,324.0,14.965552805280527,0.3869751558489182,True,True,OK,186.0,186.97029702970298,234.0,174
9,0,238.00650625848837,264.260103512829,131.0,186.0,177.0,152.0,1.1644736842105263,18162.0,0.6750669045495094,0.5219742605841484,38.56219525409037,0.7876703782156578,dark_blob,75.0,37.0,0.0,324.0,14.965552805280527,0.3869751558489182,True,True,OK,186.0,186.97029702970298,234.0,174
10,0,238.03263114415532,264.24982330533754,130.0,186.0,178.0,152.0,1.1710526315789473,18157.5,0.6711080721466588,0.5164974841245802,38.49298293145489,0.7862715783937637,dark_blob,75.0,37.0,0.0,324.0,14.977083333333331,0.3876157407407406,True,True,OK,186.0,186.8,234.0,174
11,0,238.01841909639052,264.24595504896155,130.0,186.0,178.0,152.0,1.1710526315789473,18160.5,0.6712189532820816,0.5165828201613553,38.523296131758585,0.7862935920623748,dark_blob,75.0,37.0,0.0,324.0,14.977083333333331,0.3876157407407406,True,True,OK,186.0,186.8,234.0,174
12,0,237.97563368915297,264.28040057224604,130.0,186.0,178.0,152.0,1.1710526315789473,18174.0,0.6717179183914843,0.5173444931276442,38.54769380684279,0.7865727633725194,dark_blob,75.0,37.0,0.0,324.0,14.963541666666666,0.3868634259259259,True,True,OK,186.0,187.0,234.0,174
