frame,valid,method,confidence,x_center_px,y_center_px,bbox_x_px,bbox_y_px,bbox_w_px,bbox_h_px,area_px,fill_ratio,circularity,mean_gray,y_top_blob_px,y_top_subpx,x_top_blob_px,top_columns_used,topo_ruler_mm,top_valid,top_reason,y_top_subpx_median,topo_ruler_mm_median,x_center_px_median,y_center_px_median,ruler_ok,ruler_reason,ruler_roi_x_px,ruler_roi_y_px,ruler_roi_w_px,ruler_roi_h_px,ruler_top_y_px,ruler_zero_y_px,ruler_top_x_px,ruler_zero_x_px,ruler_height_mm,px_per_mm,mm_per_px,ruler_tick_count,ruler_height_mm_config,video_width_px,video_height_px,sync_red_area_px,sync_red_centroid_x_px,sync_red_centroid_y_px,sync_raw_score,sync_score,sync_pulse,sync_event,sync_rising_edge,sync_falling_edge,sync_rising_frame,sync_falling_frame,sync_pulse_width_frames,time_video_ms,time_real_ms,frame_sync,time_sync_ms,time_from_sync_fall_ms,fps_playback,fps_capture,metadata_time_source,metadata_time_confidence,time_scale_detected,sync_pulse_width_ms
11,True,dark_blob,0.5982906023529715,257.74023291243833,263.78420740052155,146.0,178.0,162.0,158.0,12909.0,0.5043366150961087,0.26779965887438983,41.32790101101554,180.0,180.2074829931973,246.0,141,15.423451672335599,True,OK,179.55104557111855,15.467897956122181,257.78954506703866,263.510576648216,False,fallback_no_component,316,24,120,384,24.0,408.0,376.0,376.0,26.0,14.76923076923077,0.06770833333333333,0,26.0,480,480,2565.5,53.308906645878,128.51789774572856,1436.3110290437496,0.2522987045210556,0,LOW,0,0,114,186,72,371.89833302174856,30.555555555555554,-103,-286.1111111111111,-486.1111111111111,29.577976084546528,360.0,sync_led_known_width,PULSE_ESTIMATED,0.08216104467929591,200.0
12,True,dark_blob,0.5979070399575688,257.71855491925913,263.4713150699066,146.0,178.0,162.0,158.0,12922.0,0.5048445069542116,0.26365712074181047,41.42912050644359,180.0,179.55104557111855,245.5,141,15.467897956122181,True,OK,179.55104557111855,15.467897956122181,257.74023291243833,263.510576648216,False,fallback_no_component,316,24,120,384,24.0,408.0,376.0,376.0,26.0,14.76923076923077,0.06770833333333333,0,26.0,480,480,2552.0,53.34946447230929,128.44631661442006,1426.8839964201445,0.24016747567095245,0,LOW,0,0,114,186,72,405.7072723873621,33.333333333333336,-102,-283.3333333333333,-483.3333333333333,29.577976084546528,360.0,sync_led_known_width,PULSE_ESTIMATED,0.08216104467929591,200.0
13,True,dark_blob,0.5989167698593436,257.61890608715794,263.4876416927214,146.0,178.0,162.0,158.0,12953.5,0.5060751679949992,0.26605016917429436,41.43574704865028,180.0,179.55104557111855,245.5,143,15.467897956122181,True,OK,179.55104557111855,15.467897956122181,257.71855491925913,263.4876416927214,False,fallback_no_component,316,24,120,384,24.0,408.0,376.0,376.0,26.0,14.76923076923077,0.06770833333333333,0,26.0,480,480,2551.5,53.31471683323535,128.45176040237766,1425.2794162042173,0.23810261278302533,0,LOW,0,0,114,186,72,439.5162117529756,36.11111111111111,-101,-280.55555555555554,-480.55555555555554,29.577976084546528,360.0,sync_led_known_width,PULSE_ESTIMATED,0.08216104467929591,200.0
14,True,dark_blob,0.5976872777279796,257.78954506703866,263.6467746518897,146.0,178.0,162.0,158.0,12903.0,0.5041022034692921,0.2649448663287338,41.39230188679245,180.0,179.5628801703163,245.5,142,15.467096655134833,True,OK,179.55104557111855,15.467897956122181,257.71143546659437,263.4713150699066,False,fallback_no_component,316,24,120,384,24.0,408.0,376.0,376.0,26.0,14.76923076923077,0.06770833333333333,0,26.0,480,480,2543.5,53.18426053338575,128.41897647598452,1418.6617357726293,0.22958661427343888,0,LOW,0,0,114,186,72,473.32515111858913,38.88888888888889,-100,-277.77777777777777,-477.7777777777778,29.577976084546528,360.0,sync_led_known_width,PULSE_ESTIMATED,0.08216104467929591,200.0
15,True,dark_blob,0.5986769836428205,257.64213887494043,263.4433671958489,146.0,178.0,162.0,158.0,12944.5,0.5057235505547741,0.26586531972636906,41.439804364183594,180.0,178.88235294117646,245.0,143,15.513174019607844,True,OK,178.90740740740742,15.511477623456788,257.68319015556074,263.4433671958489,False,fallback_no_component,316,24,120,384,24.0,408.0,376.0,376.0,26.0,14.76923076923077,0.06770833333333333,0,26.0,480,480,2545.0,53.14394237066142,128.447085789129,1420.4827170656465,0.2319299540792261,0,LOW,0,0,114,186,72,507.13409048420266,41.666666666666664,-99,-275.0,-475.0,29.577976084546528,360.0,sync_led_known_width,PULSE_ESTIMATED,0.08216104467929591,200.0
16,True,dark_blob,0.5982258118792909,257.68319015556074,263.3911332972164,146.0,178.0,162.0,158.0,12921.0,0.5048054383497421,0.2661109315300876,41.40370844953644,180.0,178.87226277372264,245.0,142,15.513857208029195,True,OK,178.90740740740742,15.511477623456788,257.65440977458144,263.4046356162969,False,fallback_no_component,316,24,120,384,24.0,408.0,376.0,376.0,26.0,14.76923076923077,0.06770833333333333,0,26.0,480,480,2553.0,53.29742786264524,128.40553597075336,1427.4031918197143,0.24083560513030428,0,LOW,0,0,114,186,72,540.9430298498161,44.44444444444444,-98,-272.2222222222222,-472.22222222222223,29.577976084546528,360.0,sync_led_known_width,PULSE_ESTIMATED,0.08216104467929591,200.0
17,True,dark_blob,0.5981135271212878,257.71143546659437,263.4046356162969,146.0,178.0,162.0,158.0,12914.5,0.5045514924206908,0.2663764369923675,41.399698340874814,180.0,178.88345864661653,245.0,142,15.513099154135338,True,OK,178.90740740740742,15.511477623456788,257.65440977458144,263.4046356162969,False,fallback_no_component,316,24,120,384,24.0,408.0,376.0,376.0,26.0,14.76923076923077,0.06770833333333333,0,26.0,480,480,2546.0,53.36305315527624,128.4176485991097,1427.3395909347098,0.24075375998116094,0,LOW,0,0,114,186,72,574.7519692154295,47.22222222222222,-97,-269.44444444444446,-469.44444444444446,29.577976084546528,360.0,sync_led_known_width,PULSE_ESTIMATED,0.08216104467929591,200.0
18,True,dark_blob,0.598359805535247,257.65440977458144,263.37604557347044,146.0,178.0,162.0,158.0,12931.5,0.5052156586966714,0.2653654349681544,41.415198071998795,180.0,178.90740740740742,245.0,142,15.511477623456788,True,OK,178.90714285714284,15.511495535714285,257.64213887494043,263.4046356162969,False,fallback_no_component,316,24,120,384,24.0,408.0,376.0,376.0,26.0,14.76923076923077,0.06770833333333333,0,26.0,480,480,2546.0,53.36305315527624,128.4176485991097,1427.8946946100684,0.24146809820297283,0,LOW,0,0,114,186,72,608.5609085810431,50.0,-96,-266.6666666666667,-466.6666666666667,29.577976084546528,360.0,sync_led_known_width,PULSE_ESTIMATED,0.08216104467929591,200.0
19,True,dark_blob,0.5983448961481244,257.6338102603764,263.35162412993037,146.0,178.0,162.0,158.0,12930.0,0.5051570557899672,0.26493785627205396,41.3771183249228,180.0,178.90740740740742,245.0,142,15.511477623456788,True,OK,178.90714285714284,15.511495535714285,257.65440977458144,263.3911332972164,False,fallback_no_component,316,24,120,384,24.0,408.0,376.0,376.0,26.0,14.76923076923077,0.06770833333333333,0,26.0,480,480,2544.0,53.37506551362683,128.41070492662473,1426.963815291446,0.2402701910250811,0,LOW,0,0,114,186,72,642.3698479466566,52.77777777777778,-95,-263.8888888888889,-463.8888888888889,29.577976084546528,360.0,sync_led_known_width,PULSE_ESTIMATED,0.08216104467929591,200.0
20,True,dark_blob,0.5985244379755894,257.5265167585914,263.4157442048829,146.0,178.0,162.0,158.0,12963.5,0.5064658540396937,0.2611184161122359,41.453801081730774,180.0,178.91379310344828,245.0,142,15.511045258620689,True,OK,178.90714285714284,15.511495535714285,257.6338102603764,263.4046356162969,False,fallback_no_component,316,24,120,384,24.0,408.0,376.0,376.0,26.0,14.76923076923077,0.06770833333333333,0,26.0,480,480,2547.0,53.33673602931553,128.42160711948696,1428.827443567219,0.24266841133550143,0,LOW,0,0,114,186,72,676.1787873122702,55.55555555555555,-94,-261.11111111111114,-461.11111111111114,29.577976084546528,360.0,sync_led_known_width,PULSE_ESTIMATED,0.08216104467929591,200.0
