frame,valid,method,confidence,x_center_px,y_center_px,bbox_x_px,bbox_y_px,bbox_w_px,bbox_h_px,area_px,fill_ratio,circularity,mean_gray,y_top_blob_px,y_top_subpx,x_top_blob_px,top_columns_used,topo_ruler_mm,bbox_aspect,mask_threshold,q_dark,fracao_bbox_a_direita_da_regua,limite_regua_x_px,topo_ruler_mm_estimado,topo_score,valid_ball_candidate,top_valid,top_reason,problema_frame,componentes_encontrados_na_mascara,componentes_rejeitados,candidatos_aceitos_no_frame,threshold_usado,percentil_escuro_q,historical_x_center_median_px,historical_x_margin_px,outside_historical_region,valid_ball,y_top_subpx_median,topo_ruler_mm_median,x_center_px_median,y_center_px_median,ruler_ok,ruler_reason,ruler_detection_mode,ruler_roi_x_px,ruler_roi_y_px,ruler_roi_w_px,ruler_roi_h_px,ruler_top_y_px,ruler_zero_y_px,ruler_top_x_px,ruler_zero_x_px,ruler_height_mm,px_per_mm,mm_per_px,ruler_tick_count,ruler_green_guide_detected,ruler_green_guide_x_px,ruler_green_guide_y_min_px,ruler_green_guide_y_max_px,ruler_green_guide_bbox_x_px,ruler_green_guide_bbox_y_px,ruler_green_guide_bbox_w_px,ruler_green_guide_bbox_h_px,ruler_green_guide_area_px,ruler_height_mm_config,video_width_px,video_height_px,ball_crop_ymin_ratio,ball_crop_ymax_ratio,ball_min_effective_threshold,reject_giant_border_blobs,ball_min_width_px_config,ball_min_height_px_config,ball_min_area_px_config,ball_max_aspect_ratio_config,physical_gate_enabled,ball_max_bbox_fraction_right_of_ruler_config,ball_ruler_left_margin_px_config,physical_x_mask_enabled,ball_physical_x_cut_margin_px_config,physical_ball_x_limit_px,ball_min_topo_ruler_mm_config,historical_x_gate_enabled_config,sync_red_area_px,sync_red_centroid_x_px,sync_red_centroid_y_px,sync_raw_score,sync_score,sync_pulse,led_on,sync_event,sync_rising_edge,sync_falling_edge,sync_rising_frame,sync_falling_frame,sync_initial_rising_frame,sync_initial_falling_frame,sync_initial_pulse_width_frames,sync_last_rising_frame,sync_last_falling_frame,sync_total_pulses,sync_pulse_index,sync_pulse_start_frame,sync_pulse_end_frame,sync_pulse_width_frames,sync_pulse_is_first,sync_pulse_is_last,time_video_ms,time_real_ms,frame_sync,time_sync_ms,time_from_sync_fall_ms,sync_pulse_start_time_sync_ms,sync_pulse_end_time_sync_ms,sync_pulse_width_ms,fps_playback,fps_capture,metadata_time_source,metadata_time_confidence,time_scale_detected,sync_initial_pulse_width_frames_calc,sync_initial_pulse_width_ms_calc
10,True,dark_blob,0.8084715392750931,180.06104062606957,284.1550322838894,73.0,194.0,217.0,168.0,28729.5,0.7880595786701777,0.8223088800016397,83.55597670652286,195.0,196.0,178.5,217,10.875816993464051,1.2916666666666667,75.0,73.0,0.0,445.0,10.875816993464051,0.11034217608612064,True,True,OK,OK,7,6,1,75.0,73.0,177.34912951606606,110.0,False,True,196.0,10.875816993464051,180.05525874620767,284.15853679759147,True,green_guide_full_height_reference,green_guide_height_reference,437,18,40,306,18.0,324.0,456.52266692108316,456.52266692108316,26.0,11.76923076923077,0.0849673202614379,0,True,456.52266692108316,18.0,324.0,432.0,18.0,48.0,306.0,10481.5,26.0,480,480,0.0,1.0,75.0,True,80,70,6000,2.2,True,0.25,8,True,8.0,429.0,9.0,True,0.0,,,0.0,0.0,0,False,LOW,0,0,125,173,125,173,48,2404,2453,11,-1,,,,0,0,337.797646675624,41.666666666666664,-115,-479.1666666666667,-679.1666666666667,,,,29.60352180784336,240.0,sync_led_initial_known_width,PULSE_ESTIMATED,0.12334800753268067,48,200.0
11,True,dark_blob,0.8084587345636408,180.0607384204878,284.147498477334,73.0,194.0,217.0,168.0,28732.5,0.7881418696510862,0.8223947479646416,83.57793550165381,195.0,196.0,178.5,217,10.875816993464051,1.2916666666666667,75.0,73.0,0.0,445.0,10.875816993464051,0.11034217608612064,True,True,OK,OK,8,7,1,75.0,73.0,177.34912951606606,110.0,False,True,196.0,10.875816993464051,180.05525874620767,284.15853679759147,True,green_guide_full_height_reference,green_guide_height_reference,437,18,40,306,18.0,324.0,456.52266692108316,456.52266692108316,26.0,11.76923076923077,0.0849673202614379,0,True,456.52266692108316,18.0,324.0,432.0,18.0,48.0,306.0,10481.5,26.0,480,480,0.0,1.0,75.0,True,80,70,6000,2.2,True,0.25,8,True,8.0,429.0,9.0,True,0.0,,,0.0,0.0,0,False,LOW,0,0,125,173,125,173,48,2404,2453,11,-1,,,,0,0,371.5774113431863,45.83333333333333,-114,-475.0,-675.0,,,,29.60352180784336,240.0,sync_led_initial_known_width,PULSE_ESTIMATED,0.12334800753268067,48,200.0
12,True,dark_blob,0.808448013836854,180.06218494219468,284.15752745244765,73.0,194.0,217.0,168.0,28731.5,0.7881144393241167,0.8223661260993768,83.5786100678772,195.0,196.0,178.5,217,10.875816993464051,1.2916666666666667,75.0,73.0,0.0,445.0,10.875816993464051,0.11034217608612064,True,True,OK,OK,7,6,1,75.0,73.0,177.34912951606606,110.0,False,True,196.0,10.875816993464051,180.05525874620767,284.15853679759147,True,green_guide_full_height_reference,green_guide_height_reference,437,18,40,306,18.0,324.0,456.52266692108316,456.52266692108316,26.0,11.76923076923077,0.0849673202614379,0,True,456.52266692108316,18.0,324.0,432.0,18.0,48.0,306.0,10481.5,26.0,480,480,0.0,1.0,75.0,True,80,70,6000,2.2,True,0.25,8,True,8.0,429.0,9.0,True,0.0,,,0.0,0.0,0,False,LOW,0,0,125,173,125,173,48,2404,2453,11,-1,,,,0,0,405.35717601074873,50.0,-113,-470.8333333333333,-670.8333333333333,,,,29.60352180784336,240.0,sync_led_initial_known_width,PULSE_ESTIMATED,0.12334800753268067,48,200.0
13,True,dark_blob,0.8084334074477609,180.0534781070374,284.1735718387304,73.0,194.0,217.0,168.0,28734.5,0.7881967303050252,0.8224519925828586,83.6015296630607,195.0,196.0,178.5,217,10.875816993464051,1.2916666666666667,75.0,73.0,0.0,445.0,10.875816993464051,0.11034217608612064,True,True,OK,OK,7,6,1,75.0,73.0,177.34912951606606,110.0,False,True,196.0,10.875816993464051,180.0607384204878,284.1672785481878,True,green_guide_full_height_reference,green_guide_height_reference,437,18,40,306,18.0,324.0,456.52266692108316,456.52266692108316,26.0,11.76923076923077,0.0849673202614379,0,True,456.52266692108316,18.0,324.0,432.0,18.0,48.0,306.0,10481.5,26.0,480,480,0.0,1.0,75.0,True,80,70,6000,2.2,True,0.25,8,True,8.0,429.0,9.0,True,0.0,,,0.0,0.0,0,False,LOW,0,0,125,173,125,173,48,2404,2453,11,-1,,,,0,0,439.13694067831113,54.16666666666667,-112,-466.6666666666667,-666.6666666666666,,,,29.60352180784336,240.0,sync_led_initial_known_width,PULSE_ESTIMATED,0.12334800753268067,48,200.0
14,True,dark_blob,0.8083479437884294,180.04510994715807,284.1723945916787,73.0,194.0,217.0,168.0,28733.5,0.7881692999780557,0.8224233716054253,83.64206718346253,195.0,196.0,178.5,217,10.875816993464051,1.2916666666666667,75.0,73.0,0.0,445.0,10.875816993464051,0.11034217608612064,True,True,OK,OK,7,6,1,75.0,73.0,177.34912951606606,110.0,False,True,196.0,10.875816993464051,180.0534781070374,284.1672785481878,True,green_guide_full_height_reference,green_guide_height_reference,437,18,40,306,18.0,324.0,456.52266692108316,456.52266692108316,26.0,11.76923076923077,0.0849673202614379,0,True,456.52266692108316,18.0,324.0,432.0,18.0,48.0,306.0,10481.5,26.0,480,480,0.0,1.0,75.0,True,80,70,6000,2.2,True,0.25,8,True,8.0,429.0,9.0,True,0.0,,,0.0,0.0,0,False,LOW,0,0,125,173,125,173,48,2404,2453,11,-1,,,,0,0,472.91670534587354,58.333333333333336,-111,-462.5,-662.5,,,,29.60352180784336,240.0,sync_led_initial_known_width,PULSE_ESTIMATED,0.12334800753268067,48,200.0
15,True,dark_blob,0.8082371017738199,180.04712357686796,284.1672785481878,73.0,194.0,217.0,168.0,28736.5,0.7882515909589642,0.8225092389767799,83.68623398098389,195.0,196.11283783783784,178.5,217,10.866229464758876,1.2916666666666667,75.0,73.0,0.0,445.0,10.866229464758876,0.10977820380934562,True,True,OK,OK,8,7,1,75.0,73.0,177.34912951606606,110.0,False,True,196.06034482758622,10.870689655172411,180.05059782671722,284.1672785481878,True,green_guide_full_height_reference,green_guide_height_reference,437,18,40,306,18.0,324.0,456.52266692108316,456.52266692108316,26.0,11.76923076923077,0.0849673202614379,0,True,456.52266692108316,18.0,324.0,432.0,18.0,48.0,306.0,10481.5,26.0,480,480,0.0,1.0,75.0,True,80,70,6000,2.2,True,0.25,8,True,8.0,429.0,9.0,True,0.0,,,0.0,0.0,0,False,LOW,0,0,125,173,125,173,48,2404,2453,11,-1,,,,0,0,506.6964700134359,62.5,-110,-458.3333333333333,-658.3333333333334,,,,29.60352180784336,240.0,sync_led_initial_known_width,PULSE_ESTIMATED,0.12334800753268067,48,200.0
16,True,dark_blob,0.807448774142883,180.06084333855344,284.16814569920535,73.0,194.0,218.0,168.0,28735.0,0.7845948012232415,0.821864270149838,83.65127816440433,195.0,196.06034482758622,178.5,217,10.870689655172411,1.2976190476190477,75.0,73.0,0.0,445.0,10.870689655172411,0.1100405679513183,True,True,OK,OK,8,7,1,75.0,73.0,177.34912951606606,110.0,False,True,196.06034482758622,10.870689655172411,180.04712357686796,284.1672785481878,True,green_guide_full_height_reference,green_guide_height_reference,437,18,40,306,18.0,324.0,456.52266692108316,456.52266692108316,26.0,11.76923076923077,0.0849673202614379,0,True,456.52266692108316,18.0,324.0,432.0,18.0,48.0,306.0,10481.5,26.0,480,480,0.0,1.0,75.0,True,80,70,6000,2.2,True,0.25,8,True,8.0,429.0,9.0,True,0.0,,,0.0,0.0,0,False,LOW,0,0,125,173,125,173,48,2404,2453,11,-1,,,,0,0,540.4762346809983,66.66666666666667,-109,-454.1666666666667,-654.1666666666666,,,,29.60352180784336,240.0,sync_led_initial_known_width,PULSE_ESTIMATED,0.12334800753268067,48,200.0
17,True,dark_blob,0.8075259096908619,180.05059782671722,284.1555393197184,73.0,194.0,218.0,168.0,28743.0,0.7848132372214941,0.8220930807180152,83.64576014328028,195.0,196.07758620689657,178.5,217,10.869224701374801,1.2976190476190477,75.0,73.0,0.0,445.0,10.869224701374801,0.1099543941985177,True,True,OK,OK,8,7,1,75.0,73.0,177.34912951606606,110.0,False,True,196.06034482758622,10.870689655172411,180.0467714151485,284.16580536270465,True,green_guide_full_height_reference,green_guide_height_reference,437,18,40,306,18.0,324.0,456.52266692108316,456.52266692108316,26.0,11.76923076923077,0.0849673202614379,0,True,456.52266692108316,18.0,324.0,432.0,18.0,48.0,306.0,10481.5,26.0,480,480,0.0,1.0,75.0,True,80,70,6000,2.2,True,0.25,8,True,8.0,429.0,9.0,True,0.0,,,0.0,0.0,0,False,LOW,0,0,125,173,125,173,48,2404,2453,11,-1,,,,0,0,574.2559993485607,70.83333333333333,-108,-450.0,-650.0,,,,29.60352180784336,240.0,sync_led_initial_known_width,PULSE_ESTIMATED,0.12334800753268067,48,200.0
18,True,dark_blob,0.8071830897549396,180.03591126576774,284.1496128751631,73.0,194.0,218.0,168.0,28737.5,0.7846630624726955,0.8204849255701953,83.65203761755485,195.0,196.28787878787878,178.0,217,10.851356704297881,1.2976190476190477,75.0,73.0,0.0,445.0,10.851356704297881,0.1089033355469342,True,True,OK,OK,8,7,1,75.0,73.0,177.34912951606606,110.0,False,True,196.06034482758622,10.870689655172411,180.0467714151485,284.16534720651435,True,green_guide_full_height_reference,green_guide_height_reference,437,18,40,306,18.0,324.0,456.52266692108316,456.52266692108316,26.0,11.76923076923077,0.0849673202614379,0,True,456.52266692108316,18.0,324.0,432.0,18.0,48.0,306.0,10481.5,26.0,480,480,0.0,1.0,75.0,True,80,70,6000,2.2,True,0.25,8,True,8.0,429.0,9.0,True,0.0,,,0.0,0.0,0,False,LOW,0,0,125,173,125,173,48,2404,2453,11,-1,,,,0,0,608.0357640161232,75.0,-107,-445.83333333333337,-645.8333333333334,,,,29.60352180784336,240.0,sync_led_initial_known_width,PULSE_ESTIMATED,0.12334800753268067,48,200.0
19,True,dark_blob,0.8073574448644709,180.0467714151485,284.16580536270465,73.0,194.0,218.0,168.0,28735.5,0.7846084534731324,0.820427825005208,83.64477899886312,195.0,195.92857142857142,178.0,217,10.881886087768441,1.2976190476190477,75.0,73.0,0.0,445.0,10.881886087768441,0.11069918163343771,True,True,OK,OK,7,6,1,75.0,73.0,177.34912951606606,110.0,False,True,196.04237288135593,10.872216683283483,180.04316809632348,284.1607587227008,True,green_guide_full_height_reference,green_guide_height_reference,437,18,40,306,18.0,324.0,456.52266692108316,456.52266692108316,26.0,11.76923076923077,0.0849673202614379,0,True,456.52266692108316,18.0,324.0,432.0,18.0,48.0,306.0,10481.5,26.0,480,480,0.0,1.0,75.0,True,80,70,6000,2.2,True,0.25,8,True,8.0,429.0,9.0,True,0.0,,,0.0,0.0,0,False,LOW,0,0,125,173,125,173,48,2404,2453,11,-1,,,,0,0,641.8155286836856,79.16666666666666,-106,-441.66666666666663,-641.6666666666667,,,,29.60352180784336,240.0,sync_led_initial_known_width,PULSE_ESTIMATED,0.12334800753268067,48,200.0
