frame,time_video_s,time_real_s,x_center_px,y_center_px,radius_px,x_left_px,y_top_px,x_right_px,y_bottom_px,confidence,valid,method,fixed_radius_px,y_top_fixed_px,y_bottom_fixed_px,x_left_fixed_px,x_right_fixed_px,sync_red_area_px,sync_red_centroid_x_px,sync_red_centroid_y_px,sync_raw_score,sync_score,sync_pulse,sync_event,sync_rising_edge,sync_falling_edge,sync_rising_frame,sync_falling_frame,sync_pulse_width_frames,time_video_ms,time_real_ms,time_sync_ms,time_from_sync_rise_ms,time_from_sync_fall_ms,sync_pulse_width_ms,fps_playback,fps_capture,time_scale_detected,metadata_time_source,metadata_time_confidence,frame_sync,auto_ruler_ok,auto_ruler_reason,ruler_top_x_px,ruler_top_y_px,ruler_bottom_x_px,ruler_bottom_y_px,ruler_dx_px,ruler_dy_px,ruler_len_px,ruler_angle_deg,ruler_tick_spacing_px,mm_per_px_ruler,px_per_mm_ruler,ruler_confidence,y_top_fixed_ruler_mm_corr,y_center_ruler_mm_corr,z_top_fixed_mm_rel_corr,z_center_mm_rel_corr,ruler_u_x,ruler_u_y,ruler_n_x,ruler_n_y,ruler_origin_x_px,ruler_origin_y_px,ruler_tick_spacing_row_px,ruler_tick_spacing_cluster_px,ruler_roi_x_px,ruler_roi_y_px,ruler_roi_w_px,ruler_roi_h_px,ruler_tick_count,roi_x_px,roi_y_px,roi_w_px,roi_h_px,video_fps,time_scale
0,0.0,0.0,434.0,254.0,68.0,366.0,186.0,502.0,322.0,0.5063966193880043,True,hough,59.0,195.0,313.0,375.0,493.0,60.5,103.62534435261708,93.07713498622589,14.701982331394097,0.0,0,LOW,0,0,1138,1203,65,0.0,0.0,-3501.538461538462,-3501.538461538462,-3701.5384615384614,200.0,28.128463073574512,325.0,0.08654911714946004,sync_led_known_width,PULSE_ESTIMATED,-1138,True,OK,595.8764740591639,1.1261248154958974,588.6111898799006,301.1458545925111,-7.26528417926329,300.01972977701524,300.107685022691,-1.3872047023442358,11.003224813591933,0.09088244736804177,11.003224813591933,0.42857142857142855,17.970723443552156,23.331216330055728,3.230304048521017,3.2303040485210204,-0.02420892413572783,0.9997069210484595,-0.9997069210484595,-0.02420892413572783,595.8764740591639,1.1261248154958974,11.0,4.155739376608345,517,0,238,303,27,96,13,535,368,28.128463073574512,0.08654911714946004
1,0.03555117808549793,0.03555117808549793,433.0,255.0,68.0,365.0,187.0,501.0,323.0,0.5063916498372747,True,hough,59.0,196.0,314.0,374.0,492.0,60.5,103.62534435261708,93.07713498622589,14.701982331394097,0.0,0,LOW,0,0,1138,1203,65,35.55117808549793,3.076923076923077,-3498.461538461538,-3498.461538461538,-3698.4615384615386,200.0,28.128463073574512,325.0,0.08654911714946004,sync_led_known_width,PULSE_ESTIMATED,-1137,True,OK,595.8764740591639,1.1261248154958974,588.6111898799006,301.1458545925111,-7.26528417926329,300.01972977701524,300.107685022691,-1.3872047023442358,11.003224813591933,0.09088244736804177,11.003224813591933,0.42857142857142855,18.063779421461412,23.42427230796498,3.1372480706117614,3.1372480706117685,-0.02420892413572783,0.9997069210484595,-0.9997069210484595,-0.02420892413572783,595.8764740591639,1.1261248154958974,11.0,4.155739376608345,517,0,238,303,27,96,13,535,368,28.128463073574512,0.08654911714946004
2,0.07110235617099586,0.07110235617099586,433.0,255.0,68.0,365.0,187.0,501.0,323.0,0.5063916498372747,True,hough,59.0,196.0,314.0,374.0,492.0,60.5,103.62534435261708,93.07713498622589,14.701982331394097,0.0,0,LOW,0,0,1138,1203,65,71.10235617099586,6.153846153846154,-3495.3846153846152,-3495.3846153846152,-3695.3846153846157,200.0,28.128463073574512,325.0,0.08654911714946004,sync_led_known_width,PULSE_ESTIMATED,-1136,True,OK,595.8764740591639,1.1261248154958974,588.6111898799006,301.1458545925111,-7.26528417926329,300.01972977701524,300.107685022691,-1.3872047023442358,11.003224813591933,0.09088244736804177,11.003224813591933,0.42857142857142855,18.063779421461412,23.42427230796498,3.1372480706117614,3.1372480706117685,-0.02420892413572783,0.9997069210484595,-0.9997069210484595,-0.02420892413572783,595.8764740591639,1.1261248154958974,11.0,4.155739376608345,517,0,238,303,27,96,13,535,368,28.128463073574512,0.08654911714946004
3,0.10665353425649379,0.10665353425649379,433.0,255.0,68.0,365.0,187.0,501.0,323.0,0.5063916498372747,True,hough,59.0,196.0,314.0,374.0,492.0,60.5,103.62534435261708,93.07713498622589,14.701982331394097,0.0,0,LOW,0,0,1138,1203,65,106.6535342564938,9.230769230769232,-3492.3076923076924,-3492.3076923076924,-3692.3076923076924,200.0,28.128463073574512,325.0,0.08654911714946004,sync_led_known_width,PULSE_ESTIMATED,-1135,True,OK,595.8764740591639,1.1261248154958974,588.6111898799006,301.1458545925111,-7.26528417926329,300.01972977701524,300.107685022691,-1.3872047023442358,11.003224813591933,0.09088244736804177,11.003224813591933,0.42857142857142855,18.063779421461412,23.42427230796498,3.1372480706117614,3.1372480706117685,-0.02420892413572783,0.9997069210484595,-0.9997069210484595,-0.02420892413572783,595.8764740591639,1.1261248154958974,11.0,4.155739376608345,517,0,238,303,27,96,13,535,368,28.128463073574512,0.08654911714946004
4,0.14220471234199172,0.14220471234199172,431.0,254.0,70.0,361.0,184.0,501.0,324.0,0.491405070267985,True,hough,59.0,195.0,313.0,372.0,490.0,60.5,103.62534435261708,93.07713498622589,14.701982331394097,0.0,0,LOW,0,0,1138,1203,65,142.20471234199172,12.307692307692308,-3489.2307692307695,-3489.2307692307695,-3689.230769230769,200.0,28.128463073574512,325.0,0.08654911714946004,sync_led_known_width,PULSE_ESTIMATED,-1134,True,OK,595.8764740591639,1.1261248154958974,588.6111898799006,301.1458545925111,-7.26528417926329,300.01972977701524,300.107685022691,-1.3872047023442358,11.003224813591933,0.09088244736804177,11.003224813591933,0.42857142857142855,17.977323942372962,23.33781682887653,3.223703549700211,3.223703549700218,-0.02420892413572783,0.9997069210484595,-0.9997069210484595,-0.02420892413572783,595.8764740591639,1.1261248154958974,11.0,4.155739376608345,517,0,238,303,27,96,13,535,368,28.128463073574512,0.08654911714946004
5,0.17775589042748965,0.17775589042748965,434.0,254.0,68.0,366.0,186.0,502.0,322.0,0.5062851787759097,True,hough,59.0,195.0,313.0,375.0,493.0,60.5,103.62534435261708,93.07713498622589,14.701982331394097,0.0,0,LOW,0,0,1138,1203,65,177.75589042748965,15.384615384615385,-3486.1538461538457,-3486.1538461538457,-3686.153846153846,200.0,28.128463073574512,325.0,0.08654911714946004,sync_led_known_width,PULSE_ESTIMATED,-1133,True,OK,595.8764740591639,1.1261248154958974,588.6111898799006,301.1458545925111,-7.26528417926329,300.01972977701524,300.107685022691,-1.3872047023442358,11.003224813591933,0.09088244736804177,11.003224813591933,0.42857142857142855,17.970723443552156,23.331216330055728,3.230304048521017,3.2303040485210204,-0.02420892413572783,0.9997069210484595,-0.9997069210484595,-0.02420892413572783,595.8764740591639,1.1261248154958974,11.0,4.155739376608345,517,0,238,303,27,96,13,535,368,28.128463073574512,0.08654911714946004
6,0.21330706851298759,0.21330706851298759,434.0,254.0,68.0,366.0,186.0,502.0,322.0,0.5060301940174425,True,hough,59.0,195.0,313.0,375.0,493.0,67.0,254.46268656716418,240.89303482587061,18.215429505135386,0.0,0,LOW,0,0,1138,1203,65,213.3070685129876,18.461538461538463,-3483.076923076923,-3483.076923076923,-3683.0769230769233,200.0,28.128463073574512,325.0,0.08654911714946004,sync_led_known_width,PULSE_ESTIMATED,-1132,True,OK,595.8764740591639,1.1261248154958974,588.6111898799006,301.1458545925111,-7.26528417926329,300.01972977701524,300.107685022691,-1.3872047023442358,11.003224813591933,0.09088244736804177,11.003224813591933,0.42857142857142855,17.970723443552156,23.331216330055728,3.230304048521017,3.2303040485210204,-0.02420892413572783,0.9997069210484595,-0.9997069210484595,-0.02420892413572783,595.8764740591639,1.1261248154958974,11.0,4.155739376608345,517,0,238,303,27,96,13,535,368,28.128463073574512,0.08654911714946004
7,0.24885824659848552,0.24885824659848552,434.0,254.0,68.0,366.0,186.0,502.0,322.0,0.5059783474601363,True,hough,59.0,195.0,313.0,375.0,493.0,67.0,254.61194029850745,240.80597014925374,18.59547152194211,0.0,0,LOW,0,0,1138,1203,65,248.85824659848552,21.538461538461537,-3480.0,-3480.0,-3680.0,200.0,28.128463073574512,325.0,0.08654911714946004,sync_led_known_width,PULSE_ESTIMATED,-1131,True,OK,595.8764740591639,1.1261248154958974,588.6111898799006,301.1458545925111,-7.26528417926329,300.01972977701524,300.107685022691,-1.3872047023442358,11.003224813591933,0.09088244736804177,11.003224813591933,0.42857142857142855,17.970723443552156,23.331216330055728,3.230304048521017,3.2303040485210204,-0.02420892413572783,0.9997069210484595,-0.9997069210484595,-0.02420892413572783,595.8764740591639,1.1261248154958974,11.0,4.155739376608345,517,0,238,303,27,96,13,535,368,28.128463073574512,0.08654911714946004
8,0.28440942468398345,0.28440942468398345,377.0,256.0,74.0,303.0,182.0,451.0,330.0,0.47230145733470114,True,hough,59.0,197.0,315.0,318.0,436.0,113.5,249.42878120411157,242.7944199706314,28.89957983193277,0.09789170041637633,0,LOW,0,0,1138,1203,65,284.40942468398345,24.615384615384617,-3476.923076923077,-3476.923076923077,-3676.9230769230767,200.0,28.128463073574512,325.0,0.08654911714946004,sync_led_known_width,PULSE_ESTIMATED,-1130,True,OK,595.8764740591639,1.1261248154958974,588.6111898799006,301.1458545925111,-7.26528417926329,300.01972977701524,300.107685022691,-1.3872047023442358,11.003224813591933,0.09088244736804177,11.003224813591933,0.42857142857142855,18.27784454441879,23.63833743092236,2.9231829476543822,2.9231829476543894,-0.02420892413572783,0.9997069210484595,-0.9997069210484595,-0.02420892413572783,595.8764740591639,1.1261248154958974,11.0,4.155739376608345,517,0,238,303,27,96,13,535,368,28.128463073574512,0.08654911714946004
9,0.3199606027694814,0.3199606027694814,374.0,263.0,65.0,309.0,198.0,439.0,328.0,0.5418398932848929,True,hough,59.0,204.0,322.0,315.0,433.0,55.5,105.21021021021019,95.48948948948947,15.008823529411767,0.0,0,LOW,0,0,1138,1203,65,319.9606027694814,27.692307692307693,-3473.846153846154,-3473.846153846154,-3673.846153846154,200.0,28.128463073574512,325.0,0.08654911714946004,sync_led_known_width,PULSE_ESTIMATED,-1129,True,OK,595.8764740591639,1.1261248154958974,588.6111898799006,301.1458545925111,-7.26528417926329,300.01972977701524,300.107685022691,-1.3872047023442358,11.003224813591933,0.09088244736804177,11.003224813591933,0.42857142857142855,18.92043572468917,24.280928611192746,2.280591767384003,2.280591767384003,-0.02420892413572783,0.9997069210484595,-0.9997069210484595,-0.02420892413572783,595.8764740591639,1.1261248154958974,11.0,4.155739376608345,517,0,238,303,27,96,13,535,368,28.128463073574512,0.08654911714946004
