frame,rank,x_center_px,y_center_px,bbox_x_px,bbox_y_px,bbox_w_px,bbox_h_px,bbox_aspect,area_px,fill_ratio,circularity,mean_gray,confidence,method,mask_threshold,q_dark,fracao_bbox_a_direita_da_regua,limite_regua_x_px,topo_ruler_mm_estimado,topo_score,valid_ball_candidate,top_valid,top_reason,y_top_blob_px,y_top_subpx,x_top_blob_px,top_columns_used
19,0,180.0467714151485,284.16580536270465,73.0,194.0,218.0,168.0,1.2976190476190477,28735.5,0.7846084534731324,0.820427825005208,83.64477899886312,0.8073574448644709,dark_blob,75.0,73.0,0.0,445.0,10.881886087768441,0.11069918163343771,True,True,OK,195.0,195.92857142857142,178.0,217
20,0,180.04316809632348,284.16534720651435,73.0,194.0,218.0,168.0,1.2976190476190477,28736.5,0.784635757972914,0.820456376024853,83.64954526663911,0.8076346072046028,dark_blob,75.0,73.0,0.0,445.0,10.92892156862745,0.11346597462514411,True,True,OK,195.0,195.375,178.0,217
21,0,180.0239450100061,284.1607587227008,73.0,194.0,218.0,168.0,1.2976190476190477,28732.5,0.7845265399737876,0.8203421719462733,83.6501171444322,0.8072834759076738,dark_blob,75.0,73.0,0.0,445.0,10.875816993464051,0.11034217608612064,True,True,OK,195.0,196.0,178.0,217
22,0,180.02434525363265,284.1586878969808,73.0,194.0,218.0,168.0,1.2976190476190477,28732.5,0.7845265399737876,0.8203421719462733,83.68181504961412,0.807202864040278,dark_blob,75.0,73.0,0.0,445.0,10.872216683283483,0.11013039313432253,True,True,OK,195.0,196.04237288135593,178.0,217
23,0,180.03527118968486,284.16375785205935,73.0,194.0,218.0,168.0,1.2976190476190477,28734.5,0.7845811489733509,0.8203992739855632,83.70777923241232,0.8072775003731673,dark_blob,75.0,73.0,0.0,445.0,10.889978213507623,0.11117518902986019,True,True,OK,195.0,195.83333333333334,178.0,217
24,0,180.03166594171378,284.16822966507175,73.0,194.0,218.0,168.0,1.2976190476190477,28737.5,0.7846630624726955,0.8204849270444978,83.6784250232526,0.8072442463557673,dark_blob,75.0,73.0,0.0,445.0,10.870164281928988,0.11000966364288163,True,True,OK,195.0,196.06652806652806,178.5,217
25,0,180.03063727622262,284.16120670157795,73.0,194.0,218.0,168.0,1.2976190476190477,28739.5,0.7847176714722587,0.8205420293786686,83.69346560573182,0.8072585244415984,dark_blob,75.0,73.0,0.0,445.0,10.874183006535947,0.1102460592079969,True,True,OK,195.0,196.01923076923077,178.5,217
26,0,180.05049661674408,284.1494720729183,73.0,194.0,218.0,168.0,1.2976190476190477,28744.5,0.7848541939711664,0.8206847821174857,83.71941727510676,0.8072629003743048,dark_blob,75.0,73.0,0.0,445.0,10.875192233756247,0.11030542551507333,True,True,OK,195.0,196.00735294117646,178.5,217
27,0,180.04843339538283,284.1463440093248,73.0,194.0,218.0,168.0,1.2976190476190477,28740.5,0.7847449759720402,0.8205705789238673,83.7675323780656,0.8070120570079511,dark_blob,75.0,73.0,0.0,445.0,10.854290991759022,0.10907594069170719,True,True,OK,195.0,196.25334448160535,178.5,217
28,0,180.04164854473652,284.14133365807834,73.0,194.0,218.0,168.0,1.2976190476190477,28740.5,0.7847449759720402,0.8205705783340848,83.74359327638469,0.8069974676559029,dark_blob,75.0,73.0,0.0,445.0,10.844180225281601,0.10848118972244712,True,True,OK,195.0,196.37234042553192,178.0,217
29,0,180.03285135111622,284.16476135790225,73.0,194.0,218.0,168.0,1.2976190476190477,28735.5,0.7846084534731324,0.820427825005208,83.73944947807213,0.8071235653412425,dark_blob,75.0,73.0,0.0,445.0,10.872302784067488,0.11013545788632281,True,True,OK,195.0,196.04135954135955,178.5,217
30,0,180.0199817872824,284.1703179105257,73.0,194.0,217.0,168.0,1.2916666666666667,28734.5,0.7881967303050252,0.8224519946544172,83.80117825397919,0.808032760916468,dark_blob,75.0,73.0,0.0,445.0,10.871345029239766,0.11007911936704506,True,True,OK,195.0,196.05263157894737,178.0,217
31,0,180.0101322940047,284.16254589111406,73.0,194.0,217.0,168.0,1.2916666666666667,28736.5,0.7882515909589642,0.8225092395686948,83.79065040650407,0.8080714126027692,dark_blob,75.0,73.0,0.0,445.0,10.871345029239766,0.11007911936704506,True,True,OK,195.0,196.05263157894737,178.0,217
32,0,179.9983992483427,284.15276738642496,73.0,194.0,218.0,168.0,1.2976190476190477,28736.5,0.784635757972914,0.8204563766145534,83.78534518396032,0.8070509423176124,dark_blob,75.0,73.0,0.0,445.0,10.872984749455338,0.1101755734973728,True,True,OK,195.0,196.03333333333333,178.0,217
33,0,180.00564912769116,284.1526366462509,73.0,194.0,218.0,168.0,1.2976190476190477,28736.0,0.7846221057230232,0.8218928707687899,83.77696627278051,0.8075662112787597,dark_blob,75.0,73.0,0.0,445.0,10.9291146761735,0.1134773338925588,True,True,OK,195.0,195.37272727272727,178.0,217
34,0,180.02520296914867,284.1365054511714,73.0,194.0,218.0,168.0,1.2976190476190477,28740.0,0.7847313237221494,0.8220072762006666,83.79873238951467,0.807577047624442,dark_blob,75.0,73.0,0.0,445.0,10.93148523777327,0.11361677869254529,True,True,OK,195.0,195.3448275862069,178.0,217
35,0,180.01375407345554,284.1458673995987,73.0,194.0,218.0,168.0,1.2976190476190477,28743.0,0.7848132372214941,0.8220930807180152,83.81073913342976,0.8070864982980094,dark_blob,75.0,73.0,0.0,445.0,10.847111817700052,0.10865363633529715,True,True,OK,195.0,196.33783783783784,178.0,217
36,0,180.03151359154072,284.1433242317258,73.0,194.0,218.0,168.0,1.2976190476190477,28749.5,0.7849907164700742,0.8208275404601706,83.64457146792465,0.8072622239734166,dark_blob,75.0,73.0,0.0,445.0,10.843213254293966,0.10842430907611564,True,True,OK,195.0,196.38372093023256,178.0,217
37,0,180.03218962488913,284.13317566040035,73.0,194.0,218.0,168.0,1.2976190476190477,28751.5,0.7850453254696373,0.8208846424995425,83.58929862617498,0.8075461954590175,dark_blob,75.0,73.0,0.0,445.0,10.870667458902751,0.11003926228839714,True,True,OK,195.0,196.06060606060606,178.0,217
38,0,180.0084862185897,284.1546648117555,73.0,194.0,218.0,168.0,1.2976190476190477,28752.5,0.785072629969419,0.820913191749142,83.55002754441537,0.8076873067958493,dark_blob,75.0,73.0,0.0,445.0,10.880537400145242,0.11061984706736716,True,True,OK,195.0,195.94444444444446,178.0,217
39,0,179.99737350193942,284.16900036527454,73.0,194.0,218.0,168.0,1.2976190476190477,28745.5,0.784881498470948,0.8207133354965993,83.53311292488894,0.8076419764231201,dark_blob,75.0,73.0,0.0,445.0,10.878649237472766,0.1105087786748686,True,True,OK,195.0,195.96666666666667,178.0,217
40,0,180.00187809755673,284.1440570385184,73.0,194.0,218.0,168.0,1.2976190476190477,28752.5,0.785072629969419,0.8209131926341852,83.53222696598266,0.8077581082058273,dark_blob,75.0,73.0,0.0,445.0,10.886899687411194,0.11099409925948202,True,True,OK,195.0,195.8695652173913,178.0,217
41,0,180.00914893987095,284.1561929278347,73.0,194.0,218.0,168.0,1.2976190476190477,28746.5,0.7849088029707296,0.8207418862213016,83.52369309181074,0.8077134857247893,dark_blob,75.0,73.0,0.0,445.0,10.886201888162672,0.11095305224486307,True,True,OK,195.0,195.87777777777777,178.0,217
42,0,180.01648953749282,284.1568071524239,73.0,194.0,218.0,168.0,1.2976190476190477,28745.5,0.784881498470948,0.8207133352016568,83.5121052450322,0.8076508219795212,dark_blob,75.0,73.0,0.0,445.0,10.873456790123457,0.1102033405954975,True,True,OK,195.0,196.02777777777777,178.0,217
43,0,180.02863355658,284.1530138296947,73.0,194.0,218.0,168.0,1.2976190476190477,28742.5,0.7847995849716033,0.820627682437634,83.49466143142521,0.8074692302288652,dark_blob,75.0,73.0,0.0,445.0,10.841830065359476,0.10834294502114564,True,True,OK,195.0,196.4,178.0,217
44,0,180.0257092661205,284.1453495451304,73.0,194.0,218.0,168.0,1.2976190476190477,28744.5,0.7848541939711664,0.820684784182012,83.4645956743353,0.8077036841531141,dark_blob,75.0,73.0,0.0,445.0,10.868901048791608,0.10993535581127108,True,True,OK,195.0,196.08139534883722,178.0,217
45,0,180.03348117227586,284.14568223323766,73.0,194.0,218.0,168.0,1.2976190476190477,28747.5,0.7849361074705111,0.8207704375359096,83.44767381796895,0.8077668684933369,dark_blob,75.0,73.0,0.0,445.0,10.869444444444445,0.10996732026143796,True,True,OK,195.0,196.075,178.0,217
46,0,180.02275138717366,284.13770271288837,73.0,194.0,218.0,168.0,1.2976190476190477,28745.5,0.784881498470948,0.8186675084872949,83.44918552192031,0.8075340764076313,dark_blob,75.0,73.0,0.0,445.0,10.875289246133233,0.11031113212548431,True,True,OK,195.0,196.00621118012424,178.5,217
47,0,180.0277202928543,284.1479053266786,73.0,194.0,218.0,168.0,1.2976190476190477,28751.5,0.7850453254696373,0.8208846416145301,83.41937816341287,0.8079859617395841,dark_blob,75.0,73.0,0.0,445.0,10.89126559714795,0.11125091747929115,True,True,OK,195.0,195.8181818181818,178.0,217
48,0,180.01814260119326,284.15336847049,73.0,194.0,218.0,168.0,1.2976190476190477,28744.5,0.7848541939711664,0.8206847844769443,83.45777655324424,0.8077571520680368,dark_blob,75.0,73.0,0.0,445.0,10.875816993464051,0.11034217608612064,True,True,OK,195.0,196.0,178.0,217
49,0,180.03034730677797,284.1510059720531,73.0,194.0,218.0,168.0,1.2976190476190477,28745.0,0.7848678462210572,0.8221502837295811,83.43346190935391,0.8083163756710205,dark_blob,75.0,73.0,0.0,445.0,10.932729066469355,0.11368994508643263,True,True,OK,195.0,195.33018867924528,178.0,217
50,0,180.03751507560997,284.15019366360514,73.0,194.0,218.0,168.0,1.2976190476190477,28744.0,0.7848405417212757,0.8221216819280883,83.43915963492337,0.808296266548715,dark_blob,75.0,73.0,0.0,445.0,10.932729066469355,0.11368994508643263,True,True,OK,195.0,195.33018867924528,178.0,217
51,0,180.07667026049455,284.1548939820772,73.0,194.0,218.0,168.0,1.2976190476190477,28753.0,0.7850862822193098,0.8244385899581979,83.4324128907864,0.8085560156768296,dark_blob,75.0,73.0,0.0,445.0,10.91830065359477,0.1128412149173394,True,True,OK,195.0,195.5,178.0,217
52,0,180.03505018351336,284.1557341404443,73.0,194.0,218.0,168.0,1.2976190476190477,28744.5,0.7848541939711664,0.8206847838870797,83.43618266978922,0.8078809418231051,dark_blob,75.0,73.0,0.0,445.0,10.889978213507623,0.11117518902986019,True,True,OK,195.0,195.83333333333334,178.0,217
53,0,180.03242585022178,284.1489084108898,73.0,194.0,218.0,168.0,1.2976190476190477,28742.5,0.7847995849716033,0.8206276812579868,83.44210236274712,0.8078510027419504,dark_blob,75.0,73.0,0.0,445.0,10.889978213507623,0.11117518902986019,True,True,OK,195.0,195.83333333333334,178.0,217
