frame,time_video_s,time_real_s,x_center_px,y_center_px,radius_px,x_left_px,y_top_px,x_right_px,y_bottom_px,confidence,valid,method,fixed_radius_px,y_top_fixed_px,y_bottom_fixed_px,x_left_fixed_px,x_right_fixed_px,mm_per_px,y_top_fixed_ruler_mm,y_center_ruler_mm,y_top_raw_ruler_mm,y_top_fixed_mm_from_ruler_top,y_center_mm_from_ruler_top,z_top_fixed_mm_rel,z_center_mm_rel,roi_x_px,roi_y_px,roi_w_px,roi_h_px,video_fps,time_scale
26,0.8809510737881319,0.8809510737881319,208.0,322.0,58.0,150.0,264.0,266.0,380.0,0.6172470710583506,True,hough,58.0,264.0,380.0,150.0,266.0,,,,,,,,,7,24,517,435,29.513557305967915,1.0
27,0.9148338073953678,0.9148338073953678,209.0,322.0,58.0,151.0,264.0,267.0,380.0,0.6175596714703067,True,hough,58.0,264.0,380.0,151.0,267.0,,,,,,,,,7,24,517,435,29.513557305967915,1.0
28,0.9487165410026036,0.9487165410026036,190.0,301.0,56.0,134.0,245.0,246.0,357.0,0.6174473595559977,True,hough,58.0,243.0,359.0,132.0,248.0,,,,,,,,,7,24,517,435,29.513557305967915,1.0
29,0.9825992746098394,0.9825992746098394,210.0,321.0,55.0,155.0,266.0,265.0,376.0,0.6374928512444635,True,hough,58.0,263.0,379.0,152.0,268.0,,,,,,,,,7,24,517,435,29.513557305967915,1.0
30,1.0164820082170754,1.0164820082170754,190.0,302.0,58.0,132.0,244.0,248.0,360.0,0.604374743525462,True,hough,58.0,244.0,360.0,132.0,248.0,,,,,,,,,7,24,517,435,29.513557305967915,1.0
31,1.0503647418243112,1.0503647418243112,209.0,322.0,58.0,151.0,264.0,267.0,380.0,0.6177694221793428,True,hough,58.0,264.0,380.0,151.0,267.0,,,,,,,,,7,24,517,435,29.513557305967915,1.0
32,1.084247475431547,1.084247475431547,213.0,323.0,56.0,157.0,267.0,269.0,379.0,0.6326992566073526,True,hough,58.0,265.0,381.0,155.0,271.0,,,,,,,,,7,24,517,435,29.513557305967915,1.0
33,1.1181302090387828,1.1181302090387828,213.0,323.0,56.0,157.0,267.0,269.0,379.0,0.6326047127461311,True,hough,58.0,265.0,381.0,155.0,271.0,,,,,,,,,7,24,517,435,29.513557305967915,1.0
34,1.1520129426460186,1.1520129426460186,203.0,319.0,62.0,141.0,257.0,265.0,381.0,0.5866854701530997,True,hough,58.0,261.0,377.0,145.0,261.0,,,,,,,,,7,24,517,435,29.513557305967915,1.0
35,1.1858956762532544,1.1858956762532544,212.0,321.0,55.0,157.0,266.0,267.0,376.0,0.6382863409522597,True,hough,58.0,263.0,379.0,154.0,270.0,,,,,,,,,7,24,517,435,29.513557305967915,1.0
36,1.2197784098604902,1.2197784098604902,212.0,321.0,55.0,157.0,266.0,267.0,376.0,0.638265265676101,True,hough,58.0,263.0,379.0,154.0,270.0,,,,,,,,,7,24,517,435,29.513557305967915,1.0
37,1.2536611434677263,1.2536611434677263,192.0,301.0,55.0,137.0,246.0,247.0,356.0,0.6243665232098203,True,hough,58.0,243.0,359.0,134.0,250.0,,,,,,,,,7,24,517,435,29.513557305967915,1.0
38,1.287543877074962,1.287543877074962,172.0,293.0,54.0,118.0,239.0,226.0,347.0,0.6346457015968625,True,hough,58.0,235.0,351.0,114.0,230.0,,,,,,,,,7,24,517,435,29.513557305967915,1.0
39,1.321426610682198,1.321426610682198,212.0,322.0,58.0,154.0,264.0,270.0,380.0,0.6186517124355988,True,hough,58.0,264.0,380.0,154.0,270.0,,,,,,,,,7,24,517,435,29.513557305967915,1.0
40,1.3553093442894337,1.3553093442894337,204.0,320.0,60.0,144.0,260.0,264.0,380.0,0.6013921217553673,True,hough,58.0,262.0,378.0,146.0,262.0,,,,,,,,,7,24,517,435,29.513557305967915,1.0
41,1.3891920778966695,1.3891920778966695,224.0,309.0,47.0,177.0,262.0,271.0,356.0,0.6302737300476717,True,hough,58.0,251.0,367.0,166.0,282.0,,,,,,,,,7,24,517,435,29.513557305967915,1.0
42,1.4230748115039054,1.4230748115039054,209.0,320.0,56.0,153.0,264.0,265.0,376.0,0.6298337580463232,True,hough,58.0,262.0,378.0,151.0,267.0,,,,,,,,,7,24,517,435,29.513557305967915,1.0
43,1.4569575451111412,1.4569575451111412,212.0,321.0,55.0,157.0,266.0,267.0,376.0,0.6379518210516542,True,hough,58.0,263.0,379.0,154.0,270.0,,,,,,,,,7,24,517,435,29.513557305967915,1.0
44,1.490840278718377,1.490840278718377,209.0,322.0,58.0,151.0,264.0,267.0,380.0,0.6166234628957525,True,hough,58.0,264.0,380.0,151.0,267.0,,,,,,,,,7,24,517,435,29.513557305967915,1.0
45,1.524723012325613,1.524723012325613,212.0,320.0,56.0,156.0,264.0,268.0,376.0,0.6305118866873175,True,hough,58.0,262.0,378.0,154.0,270.0,,,,,,,,,7,24,517,435,29.513557305967915,1.0
46,1.5586057459328488,1.5586057459328488,209.0,322.0,58.0,151.0,264.0,267.0,380.0,0.616544489182558,True,hough,58.0,264.0,380.0,151.0,267.0,,,,,,,,,7,24,517,435,29.513557305967915,1.0
47,1.5924884795400847,1.5924884795400847,214.0,319.0,59.0,155.0,260.0,273.0,378.0,0.611364721192202,True,hough,58.0,261.0,377.0,156.0,272.0,,,,,,,,,7,24,517,435,29.513557305967915,1.0
48,1.6263712131473205,1.6263712131473205,210.0,322.0,58.0,152.0,264.0,268.0,380.0,0.6169525215818394,True,hough,58.0,264.0,380.0,152.0,268.0,,,,,,,,,7,24,517,435,29.513557305967915,1.0
49,1.6602539467545563,1.6602539467545563,210.0,322.0,58.0,152.0,264.0,268.0,380.0,0.617012543554065,True,hough,58.0,264.0,380.0,152.0,268.0,,,,,,,,,7,24,517,435,29.513557305967915,1.0
50,1.694136680361792,1.694136680361792,207.0,322.0,58.0,149.0,264.0,265.0,380.0,0.6162421180209645,True,hough,58.0,264.0,380.0,149.0,265.0,,,,,,,,,7,24,517,435,29.513557305967915,1.0
51,1.728019413969028,1.728019413969028,214.0,321.0,58.0,156.0,263.0,272.0,379.0,0.6187483400797416,True,hough,58.0,263.0,379.0,156.0,272.0,,,,,,,,,7,24,517,435,29.513557305967915,1.0
52,1.7619021475762637,1.7619021475762637,214.0,319.0,59.0,155.0,260.0,273.0,378.0,0.6113944999414183,True,hough,58.0,261.0,377.0,156.0,272.0,,,,,,,,,7,24,517,435,29.513557305967915,1.0
53,1.7957848811834998,1.7957848811834998,212.0,321.0,55.0,157.0,266.0,267.0,376.0,0.6374983521786137,True,hough,58.0,263.0,379.0,154.0,270.0,,,,,,,,,7,24,517,435,29.513557305967915,1.0
54,1.8296676147907356,1.8296676147907356,209.0,322.0,58.0,151.0,264.0,267.0,380.0,0.6168189075129287,True,hough,58.0,264.0,380.0,151.0,267.0,,,,,,,,,7,24,517,435,29.513557305967915,1.0
55,1.8635503483979714,1.8635503483979714,210.0,322.0,58.0,152.0,264.0,268.0,380.0,0.61735124875292,True,hough,58.0,264.0,380.0,152.0,268.0,,,,,,,,,7,24,517,435,29.513557305967915,1.0
56,1.8974330820052072,1.8974330820052072,206.0,322.0,58.0,148.0,264.0,264.0,380.0,0.6162282600102031,True,hough,58.0,264.0,380.0,148.0,264.0,,,,,,,,,7,24,517,435,29.513557305967915,1.0
57,1.931315815612443,1.931315815612443,214.0,321.0,57.0,157.0,264.0,271.0,378.0,0.6258265494546975,True,hough,58.0,263.0,379.0,156.0,272.0,,,,,,,,,7,24,517,435,29.513557305967915,1.0
58,1.9651985492196788,1.9651985492196788,213.0,323.0,57.0,156.0,266.0,270.0,380.0,0.6263439062158336,True,hough,58.0,265.0,381.0,155.0,271.0,,,,,,,,,7,24,517,435,29.513557305967915,1.0
59,1.9990812828269147,1.9990812828269147,209.0,322.0,58.0,151.0,264.0,267.0,380.0,0.6180116924321442,True,hough,58.0,264.0,380.0,151.0,267.0,,,,,,,,,7,24,517,435,29.513557305967915,1.0
60,2.0329640164341507,2.0329640164341507,172.0,293.0,54.0,118.0,239.0,226.0,347.0,0.6339411083872439,True,hough,58.0,235.0,351.0,114.0,230.0,,,,,,,,,7,24,517,435,29.513557305967915,1.0
61,2.0668467500413863,2.0668467500413863,172.0,293.0,54.0,118.0,239.0,226.0,347.0,0.6339849821423229,True,hough,58.0,235.0,351.0,114.0,230.0,,,,,,,,,7,24,517,435,29.513557305967915,1.0
62,2.1007294836486223,2.1007294836486223,216.0,321.0,57.0,159.0,264.0,273.0,378.0,0.628149412057389,True,hough,58.0,263.0,379.0,158.0,274.0,,,,,,,,,7,24,517,435,29.513557305967915,1.0
63,2.134612217255858,2.134612217255858,210.0,321.0,55.0,155.0,266.0,265.0,376.0,0.6383995019178172,True,hough,58.0,263.0,379.0,152.0,268.0,,,,,,,,,7,24,517,435,29.513557305967915,1.0
64,2.168494950863094,2.168494950863094,210.0,321.0,55.0,155.0,266.0,265.0,376.0,0.6384322980372146,True,hough,58.0,263.0,379.0,152.0,268.0,,,,,,,,,7,24,517,435,29.513557305967915,1.0
65,2.20237768447033,2.20237768447033,210.0,321.0,55.0,155.0,266.0,265.0,376.0,0.6385598824676313,True,hough,58.0,263.0,379.0,152.0,268.0,,,,,,,,,7,24,517,435,29.513557305967915,1.0
66,2.2362604180775656,2.2362604180775656,213.0,323.0,56.0,157.0,267.0,269.0,379.0,0.6337809966167133,True,hough,58.0,265.0,381.0,155.0,271.0,,,,,,,,,7,24,517,435,29.513557305967915,1.0
67,2.2701431516848016,2.2701431516848016,213.0,323.0,57.0,156.0,266.0,270.0,380.0,0.6271418856784989,True,hough,58.0,265.0,381.0,155.0,271.0,,,,,,,,,7,24,517,435,29.513557305967915,1.0
68,2.3040258852920372,2.3040258852920372,210.0,321.0,55.0,155.0,266.0,265.0,376.0,0.6383783309507494,True,hough,58.0,263.0,379.0,152.0,268.0,,,,,,,,,7,24,517,435,29.513557305967915,1.0
69,2.3379086188992733,2.3379086188992733,215.0,319.0,59.0,156.0,260.0,274.0,378.0,0.6136483912349465,True,hough,58.0,261.0,377.0,157.0,273.0,,,,,,,,,7,24,517,435,29.513557305967915,1.0
70,2.371791352506509,2.371791352506509,214.0,320.0,58.0,156.0,262.0,272.0,378.0,0.62023669832917,True,hough,58.0,262.0,378.0,156.0,272.0,,,,,,,,,7,24,517,435,29.513557305967915,1.0
71,2.405674086113745,2.405674086113745,209.0,321.0,56.0,153.0,265.0,265.0,377.0,0.6312900959903378,True,hough,58.0,263.0,379.0,151.0,267.0,,,,,,,,,7,24,517,435,29.513557305967915,1.0
72,2.4395568197209805,2.4395568197209805,209.0,321.0,56.0,153.0,265.0,265.0,377.0,0.6313618005482402,True,hough,58.0,263.0,379.0,151.0,267.0,,,,,,,,,7,24,517,435,29.513557305967915,1.0
73,2.4734395533282165,2.4734395533282165,213.0,320.0,59.0,154.0,261.0,272.0,379.0,0.6131983568273413,True,hough,58.0,262.0,378.0,155.0,271.0,,,,,,,,,7,24,517,435,29.513557305967915,1.0
74,2.5073222869354526,2.5073222869354526,209.0,321.0,56.0,153.0,265.0,265.0,377.0,0.6314639848958239,True,hough,58.0,263.0,379.0,151.0,267.0,,,,,,,,,7,24,517,435,29.513557305967915,1.0
75,2.541205020542688,2.541205020542688,210.0,320.0,56.0,154.0,264.0,266.0,376.0,0.6314963393307416,True,hough,58.0,262.0,378.0,152.0,268.0,,,,,,,,,7,24,517,435,29.513557305967915,1.0
76,2.575087754149924,2.575087754149924,209.0,321.0,56.0,153.0,265.0,265.0,377.0,0.6314269724778552,True,hough,58.0,263.0,379.0,151.0,267.0,,,,,,,,,7,24,517,435,29.513557305967915,1.0
77,2.60897048775716,2.60897048775716,213.0,323.0,56.0,157.0,267.0,269.0,379.0,0.6337795178129013,True,hough,58.0,265.0,381.0,155.0,271.0,,,,,,,,,7,24,517,435,29.513557305967915,1.0
78,2.642853221364396,2.642853221364396,213.0,323.0,56.0,157.0,267.0,269.0,379.0,0.6337166412656343,True,hough,58.0,265.0,381.0,155.0,271.0,,,,,,,,,7,24,517,435,29.513557305967915,1.0
79,2.6767359549716314,2.6767359549716314,213.0,323.0,56.0,157.0,267.0,269.0,379.0,0.633729402794827,True,hough,58.0,265.0,381.0,155.0,271.0,,,,,,,,,7,24,517,435,29.513557305967915,1.0
80,2.7106186885788675,2.7106186885788675,213.0,323.0,57.0,156.0,266.0,270.0,380.0,0.6269339336194735,True,hough,58.0,265.0,381.0,155.0,271.0,,,,,,,,,7,24,517,435,29.513557305967915,1.0
81,2.744501422186103,2.744501422186103,213.0,323.0,57.0,156.0,266.0,270.0,380.0,0.6269986949249182,True,hough,58.0,265.0,381.0,155.0,271.0,,,,,,,,,7,24,517,435,29.513557305967915,1.0
82,2.778384155793339,2.778384155793339,214.0,319.0,59.0,155.0,260.0,273.0,378.0,0.6134272055830077,True,hough,58.0,261.0,377.0,156.0,272.0,,,,,,,,,7,24,517,435,29.513557305967915,1.0
83,2.812266889400575,2.812266889400575,210.0,322.0,58.0,152.0,264.0,268.0,380.0,0.6188682447243692,True,hough,58.0,264.0,380.0,152.0,268.0,,,,,,,,,7,24,517,435,29.513557305967915,1.0
84,2.8461496230078107,2.8461496230078107,154.0,315.0,71.0,83.0,244.0,225.0,386.0,0.5192250011571629,True,hough,58.0,257.0,373.0,96.0,212.0,,,,,,,,,7,24,517,435,29.513557305967915,1.0
85,2.8800323566150468,2.8800323566150468,140.0,309.0,57.0,83.0,252.0,197.0,366.0,0.6242166192916421,True,hough,58.0,251.0,367.0,82.0,198.0,,,,,,,,,7,24,517,435,29.513557305967915,1.0
86,2.9139150902222823,2.9139150902222823,144.0,307.0,59.0,85.0,248.0,203.0,366.0,0.6082588171885223,True,hough,58.0,249.0,365.0,86.0,202.0,,,,,,,,,7,24,517,435,29.513557305967915,1.0
87,2.9477978238295184,2.9477978238295184,142.0,308.0,58.0,84.0,250.0,200.0,366.0,0.6161827275412717,True,hough,58.0,250.0,366.0,84.0,200.0,,,,,,,,,7,24,517,435,29.513557305967915,1.0
88,2.981680557436754,2.981680557436754,136.0,325.0,57.0,79.0,268.0,193.0,382.0,0.6256499965978104,True,hough,58.0,267.0,383.0,78.0,194.0,,,,,,,,,7,24,517,435,29.513557305967915,1.0
89,3.01556329104399,3.01556329104399,146.0,307.0,59.0,87.0,248.0,205.0,366.0,0.6060291482202294,True,hough,58.0,249.0,365.0,88.0,204.0,,,,,,,,,7,24,517,435,29.513557305967915,1.0
90,3.049446024651226,3.049446024651226,192.0,301.0,55.0,137.0,246.0,247.0,356.0,0.622736868235031,True,hough,58.0,243.0,359.0,134.0,250.0,,,,,,,,,7,24,517,435,29.513557305967915,1.0
91,3.0833287582584616,3.0833287582584616,212.0,322.0,58.0,154.0,264.0,270.0,380.0,0.6178053104571699,True,hough,58.0,264.0,380.0,154.0,270.0,,,,,,,,,7,24,517,435,29.513557305967915,1.0
