frame,time_video_s,time_real_s,x_center_px,y_center_px,radius_px,x_left_px,y_top_px,x_right_px,y_bottom_px,confidence,valid,method,fixed_radius_px,y_top_fixed_px,y_bottom_fixed_px,x_left_fixed_px,x_right_fixed_px,sync_red_area_px,sync_red_centroid_x_px,sync_red_centroid_y_px,sync_raw_score,sync_score,sync_pulse,sync_event,sync_rising_edge,sync_falling_edge,sync_rising_frame,sync_falling_frame,sync_pulse_width_frames,time_video_ms,time_real_ms,time_sync_ms,time_from_sync_rise_ms,time_from_sync_fall_ms,sync_pulse_width_ms,fps_playback,fps_capture,time_scale_detected,metadata_time_source,metadata_time_confidence,frame_sync,auto_ruler_ok,auto_ruler_reason,ruler_top_x_px,ruler_top_y_px,ruler_bottom_x_px,ruler_bottom_y_px,ruler_dx_px,ruler_dy_px,ruler_len_px,ruler_angle_deg,ruler_tick_spacing_px,mm_per_px_ruler,px_per_mm_ruler,ruler_confidence,y_top_fixed_ruler_mm_corr,y_center_ruler_mm_corr,z_top_fixed_mm_rel_corr,z_center_mm_rel_corr,ruler_u_x,ruler_u_y,ruler_n_x,ruler_n_y,ruler_origin_x_px,ruler_origin_y_px,ruler_tick_spacing_row_px,ruler_tick_spacing_cluster_px,ruler_roi_x_px,ruler_roi_y_px,ruler_roi_w_px,ruler_roi_h_px,ruler_tick_count,x_center_px_median,y_center_px_median,radius_px_median,y_top_px_median,y_top_fixed_px_median,z_top_fixed_mm_rel_corr_median,z_center_mm_rel_corr_median,physical_outlier,valid_signal,roi_x_px,roi_y_px,roi_w_px,roi_h_px,video_fps,time_scale,gpu_enabled,gpu_status,gpu_fallback_count,background_cache_enabled,background_percentile
232,7.860794196878715,7.860794196878715,281.33317836665117,154.62869982953663,22.663871675782914,258.66930669086827,131.96482815375373,303.99705004243407,177.29257150531953,0.5645197215799529,True,contour,56.0,98.62869982953663,210.62869982953663,225.33317836665117,337.33317836665117,81.5,75.53783231083844,285.6850715746421,34.1883541295306,0.5987887718975503,1,RISING_EDGE,1,0,232,234,2,7860.794196878715,23200.0,0.0,0.0,-200.0,200.0,29.513557305967915,10.0,2.9513557305967915,sync_led_known_width,PULSE_ESTIMATED,0,True,OK,373.27370788837936,67.24530831590586,397.87293243311154,355.9102452301048,24.59922454473218,288.66493691419896,289.7111797150407,4.8708194243706995,6.021746516470465,0.1660647782607315,6.021746516470465,0.5387755102040817,3.8964498822835383,13.162493436755605,0.0,0.0,0.08490947628920624,0.9963886695643889,-0.9963886695643889,0.08490947628920624,373.27370788837936,67.24530831590586,6.0,5.099342716136562,319,59,194,297,22,282.2741343545556,154.00797829902663,22.62863846820635,131.96482815375373,98.00797829902663,0.08943980261167672,0.08943980261167717,False,True,7,24,302,435,29.513557305967915,2.9513557305967915,False,no_cuda_device_or_opencv_without_cuda,0,True,30.0
233,7.894676930485951,7.894676930485951,281.399845320959,154.69760247486465,22.78582927231838,258.6140160486406,131.91177320254627,304.1856745932774,177.48343174718303,0.5655523214755741,True,contour,56.0,98.69760247486465,210.69760247486465,225.399845320959,337.399845320959,83.5,75.45309381237524,285.7884231536926,34.96754999029315,0.6650076091223073,1,HIGH,0,0,232,234,2,7894.676930485951,23300.0,100.0,100.0,-100.0,200.0,29.513557305967915,10.0,2.9513557305967915,sync_led_known_width,PULSE_ESTIMATED,1,True,OK,373.27370788837936,67.24530831590586,397.87293243311154,355.9102452301048,24.59922454473218,288.66493691419896,289.7111797150407,4.8708194243706995,6.021746516470465,0.1660647782607315,6.021746516470465,0.5387755102040817,3.9087908984788675,13.174834452950936,-0.012341016195329235,-0.012341016195330567,0.08490947628920624,0.9963886695643889,-0.9963886695643889,0.08490947628920624,373.27370788837936,67.24530831590586,6.0,5.099342716136562,319,59,194,297,22,282.2741343545556,154.00797829902663,22.62863846820635,131.96482815375373,98.00797829902663,0.08943980261167672,0.08943980261167717,False,True,7,24,302,435,29.513557305967915,2.9513557305967915,False,no_cuda_device_or_opencv_without_cuda,0,True,30.0
234,7.9285596640931875,7.9285596640931875,282.61416184971097,153.6421001926782,21.247385293779537,261.36677655593144,132.39471489889868,303.8615471434905,174.88948548645774,0.60356368055166,True,contour,56.0,97.64210019267821,209.6421001926782,226.61416184971097,338.61416184971097,78.5,75.37154989384288,285.90021231422503,32.93111455108359,0.4919440782973681,0,FALLING_EDGE,0,1,232,234,2,7928.559664093187,23400.0,200.0,200.0,0.0,200.0,29.513557305967915,10.0,2.9513557305967915,sync_led_known_width,PULSE_ESTIMATED,2,True,OK,373.27370788837936,67.24530831590586,397.87293243311154,355.9102452301048,24.59922454473218,288.66493691419896,289.7111797150407,4.8708194243706995,6.021746516470465,0.1660647782607315,6.021746516470465,0.5387755102040817,3.751264584216098,13.017308138688165,0.14518529806744018,0.14518529806744063,0.08490947628920624,0.9963886695643889,-0.9963886695643889,0.08490947628920624,373.27370788837936,67.24530831590586,6.0,5.099342716136562,319,59,194,297,22,282.61416184971097,153.6421001926782,21.247385293779537,132.32171842172903,97.64210019267821,0.14518529806744018,0.14518529806744063,False,True,7,24,302,435,29.513557305967915,2.9513557305967915,False,no_cuda_device_or_opencv_without_cuda,0,True,30.0
235,7.962442397700423,7.962442397700423,282.61416184971097,153.6421001926782,21.247385293779537,261.36677655593144,132.39471489889868,303.8615471434905,174.88948548645774,0.6046561393074559,True,contour,56.0,97.64210019267821,209.6421001926782,226.61416184971097,338.61416184971097,78.5,75.37154989384288,285.90021231422503,32.93111455108359,0.4919440782973681,0,LOW,0,0,232,234,2,7962.4423977004235,23500.0,300.0,300.0,100.0,200.0,29.513557305967915,10.0,2.9513557305967915,sync_led_known_width,PULSE_ESTIMATED,3,True,OK,373.27370788837936,67.24530831590586,397.87293243311154,355.9102452301048,24.59922454473218,288.66493691419896,289.7111797150407,4.8708194243706995,6.021746516470465,0.1660647782607315,6.021746516470465,0.5387755102040817,3.751264584216098,13.017308138688165,0.14518529806744018,0.14518529806744063,0.08490947628920624,0.9963886695643889,-0.9963886695643889,0.08490947628920624,373.27370788837936,67.24530831590586,6.0,5.099342716136562,319,59,194,297,22,282.61416184971097,153.6421001926782,21.247385293779537,132.32171842172903,97.64210019267821,0.14518529806744018,0.14518529806744063,False,True,7,24,302,435,29.513557305967915,2.9513557305967915,False,no_cuda_device_or_opencv_without_cuda,0,True,30.0
236,7.996325131307659,7.996325131307659,283.00227088402266,153.51841038118408,21.196691959455066,261.8055789245676,132.32171842172903,304.1989628434777,174.71510234063913,0.6070168392606878,True,contour,56.0,97.51841038118408,209.51841038118408,227.00227088402266,339.00227088402266,78.5,75.37154989384288,285.90021231422503,32.89871001031992,0.48919022510303434,0,LOW,0,0,232,234,2,7996.325131307659,23600.0,400.0,400.0,200.0,200.0,29.513557305967915,10.0,2.9513557305967915,sync_led_known_width,PULSE_ESTIMATED,4,True,OK,373.27370788837936,67.24530831590586,397.87293243311154,355.9102452301048,24.59922454473218,288.66493691419896,289.7111797150407,4.8708194243706995,6.021746516470465,0.1660647782607315,6.021746516470465,0.5387755102040817,3.736270762802354,13.00231431727442,0.16017911948118435,0.16017911948118524,0.08490947628920624,0.9963886695643889,-0.9963886695643889,0.08490947628920624,373.27370788837936,67.24530831590586,6.0,5.099342716136562,319,59,194,297,22,282.9640077821012,153.5248054474708,21.19911178480639,132.32569366266443,97.52480544747081,0.15966048728115423,0.15966048728115467,False,True,7,24,302,435,29.513557305967915,2.9513557305967915,False,no_cuda_device_or_opencv_without_cuda,0,True,30.0
237,8.030207864914894,8.030207864914894,283.00227088402266,153.51841038118408,21.196691959455066,261.8055789245676,132.32171842172903,304.1989628434777,174.71510234063913,0.6073860983556678,True,contour,56.0,97.51841038118408,209.51841038118408,227.00227088402266,339.00227088402266,77.5,75.58709677419355,285.88602150537633,32.51960784313726,0.45697277379925855,0,LOW,0,0,232,234,2,8030.207864914894,23700.0,500.0,500.0,300.0,200.0,29.513557305967915,10.0,2.9513557305967915,sync_led_known_width,PULSE_ESTIMATED,5,True,OK,373.27370788837936,67.24530831590586,397.87293243311154,355.9102452301048,24.59922454473218,288.66493691419896,289.7111797150407,4.8708194243706995,6.021746516470465,0.1660647782607315,6.021746516470465,0.5387755102040817,3.736270762802354,13.00231431727442,0.16017911948118435,0.16017911948118524,0.08490947628920624,0.9963886695643889,-0.9963886695643889,0.08490947628920624,373.27370788837936,67.24530831590586,6.0,5.099342716136562,319,59,194,297,22,283.00227088402266,153.51841038118408,21.196691959455066,132.33730362938277,97.51841038118408,0.16017911948118435,0.16017911948118524,False,True,7,24,302,435,29.513557305967915,2.9513557305967915,False,no_cuda_device_or_opencv_without_cuda,0,True,30.0
238,8.06409059852213,8.06409059852213,282.9640077821012,153.5248054474708,21.19911178480639,261.7648959972948,132.32569366266443,304.1631195669076,174.7239172322772,0.6056300498558117,True,contour,56.0,97.52480544747081,209.5248054474708,226.9640077821012,338.9640077821012,74.0,75.67342342342342,286.0743243243243,30.796252723311547,0.310515922695725,0,LOW,0,0,232,234,2,8064.09059852213,23800.0,600.0,600.0,400.0,200.0,29.513557305967915,10.0,2.9513557305967915,sync_led_known_width,PULSE_ESTIMATED,6,True,OK,373.27370788837936,67.24530831590586,397.87293243311154,355.9102452301048,24.59922454473218,288.66493691419896,289.7111797150407,4.8708194243706995,6.021746516470465,0.1660647782607315,6.021746516470465,0.5387755102040817,3.736789395002384,13.00283294947445,0.15966048728115423,0.15966048728115467,0.08490947628920624,0.9963886695643889,-0.9963886695643889,0.08490947628920624,373.27370788837936,67.24530831590586,6.0,5.099342716136562,319,59,194,297,22,283.00227088402266,153.51841038118408,21.196691959455066,132.33730362938277,97.51841038118408,0.16017911948118435,0.16017911948118524,False,True,7,24,302,435,29.513557305967915,2.9513557305967915,False,no_cuda_device_or_opencv_without_cuda,0,True,30.0
239,8.097973332129367,8.097973332129367,283.100782778865,153.5073385518591,21.170034922476322,261.9307478563887,132.33730362938277,304.2708177013413,174.67737347433544,0.6049467862802457,True,contour,56.0,97.5073385518591,209.5073385518591,227.10078277886498,339.100782778865,74.0,75.67342342342342,286.0743243243243,30.796252723311547,0.310515922695725,0,LOW,0,0,232,234,2,8097.973332129367,23900.0,700.0,700.0,500.0,200.0,29.513557305967915,10.0,2.9513557305967915,sync_led_known_width,PULSE_ESTIMATED,7,True,OK,373.27370788837936,67.24530831590586,397.87293243311154,355.9102452301048,24.59922454473218,288.66493691419896,289.7111797150407,4.8708194243706995,6.021746516470465,0.1660647782607315,6.021746516470465,0.5387755102040817,3.735827826208437,13.001871380680504,0.1606220560751015,0.16062205607510194,0.08490947628920624,0.9963886695643889,-0.9963886695643889,0.08490947628920624,373.27370788837936,67.24530831590586,6.0,5.099342716136562,319,59,194,297,22,283.100782778865,153.5073385518591,21.170034922476322,132.33730362938277,97.5073385518591,0.1606220560751015,0.16062205607510194,False,True,7,24,302,435,29.513557305967915,2.9513557305967915,False,no_cuda_device_or_opencv_without_cuda,0,True,30.0
240,8.131856065736603,8.131856065736603,285.61032370953626,152.7522309711286,20.264296196719094,265.34602751281716,132.4879347744095,305.87461990625536,173.0165271678477,0.6111954372506617,True,contour,56.0,96.7522309711286,208.7522309711286,229.61032370953626,341.61032370953626,74.0,75.67342342342342,286.0743243243243,30.796252723311547,0.310515922695725,0,LOW,0,0,232,234,2,8131.856065736602,24000.0,800.0,800.0,600.0,200.0,29.513557305967915,10.0,2.9513557305967915,sync_led_known_width,PULSE_ESTIMATED,8,True,OK,373.27370788837936,67.24530831590586,397.87293243311154,355.9102452301048,24.59922454473218,288.66493691419896,289.7111797150407,4.8708194243706995,6.021746516470465,0.1660647782607315,6.021746516470465,0.5387755102040817,3.6462696174533247,12.912313171925392,0.2501802648302136,0.25018026483021316,0.08490947628920624,0.9963886695643889,-0.9963886695643889,0.08490947628920624,373.27370788837936,67.24530831590586,6.0,5.099342716136562,319,59,194,297,22,285.44154033803795,152.77835859905906,20.396883887792733,132.38147471126632,96.77835859905906,0.24823698064841482,0.24823698064841437,False,True,7,24,302,435,29.513557305967915,2.9513557305967915,False,no_cuda_device_or_opencv_without_cuda,0,True,30.0
241,8.165738799343838,8.165738799343838,285.44154033803795,152.77835859905906,20.396883887792733,265.0446564502452,132.38147471126632,305.8384242258307,173.1752424868518,0.6111390784246526,True,contour,56.0,96.77835859905906,208.77835859905906,229.44154033803795,341.44154033803795,75.5,75.52317880794702,285.9889624724062,31.308684995737426,0.35406424083395777,0,LOW,0,0,232,234,2,8165.738799343839,24100.0,900.0,900.0,700.0,200.0,29.513557305967915,10.0,2.9513557305967915,sync_led_known_width,PULSE_ESTIMATED,9,True,OK,373.27370788837936,67.24530831590586,397.87293243311154,355.9102452301048,24.59922454473218,288.66493691419896,289.7111797150407,4.8708194243706995,6.021746516470465,0.1660647782607315,6.021746516470465,0.5387755102040817,3.6482129016351235,12.914256456107191,0.24823698064841482,0.24823698064841437,0.08490947628920624,0.9963886695643889,-0.9963886695643889,0.08490947628920624,373.27370788837936,67.24530831590586,6.0,5.099342716136562,319,59,194,297,22,285.44154033803795,152.77835859905906,20.396883887792733,132.38147471126632,96.77835859905906,0.24823698064841482,0.24823698064841437,False,True,7,24,302,435,29.513557305967915,2.9513557305967915,False,no_cuda_device_or_opencv_without_cuda,0,True,30.0
