frame,time_video_s,time_real_s,x_center_px,y_center_px,radius_px,x_left_px,y_top_px,x_right_px,y_bottom_px,confidence,valid,method,fixed_radius_px,y_top_fixed_px,y_bottom_fixed_px,x_left_fixed_px,x_right_fixed_px,sync_red_area_px,sync_red_centroid_x_px,sync_red_centroid_y_px,sync_raw_score,sync_score,sync_pulse,sync_event,sync_rising_edge,sync_falling_edge,sync_rising_frame,sync_falling_frame,sync_pulse_width_frames,time_video_ms,time_real_ms,time_sync_ms,time_from_sync_rise_ms,time_from_sync_fall_ms,sync_pulse_width_ms,fps_playback,fps_capture,time_scale_detected,metadata_time_source,metadata_time_confidence,frame_sync,auto_ruler_ok,auto_ruler_reason,ruler_top_x_px,ruler_top_y_px,ruler_bottom_x_px,ruler_bottom_y_px,ruler_dx_px,ruler_dy_px,ruler_len_px,ruler_angle_deg,ruler_tick_spacing_px,mm_per_px_ruler,px_per_mm_ruler,ruler_confidence,y_top_fixed_ruler_mm_corr,y_center_ruler_mm_corr,z_top_fixed_mm_rel_corr,z_center_mm_rel_corr,ruler_u_x,ruler_u_y,ruler_n_x,ruler_n_y,ruler_origin_x_px,ruler_origin_y_px,ruler_tick_spacing_row_px,ruler_tick_spacing_cluster_px,ruler_roi_x_px,ruler_roi_y_px,ruler_roi_w_px,ruler_roi_h_px,ruler_tick_count,roi_x_px,roi_y_px,roi_w_px,roi_h_px,video_fps,time_scale
10,0.33882733607235843,0.33882733607235843,212.0,323.0,57.0,155.0,266.0,269.0,380.0,0.627920094204033,True,hough,58.0,265.0,381.0,154.0,270.0,65.0,74.73076923076923,285.92564102564097,27.114015976761074,0.0,0,LOW,0,0,232,234,2,338.82733607235843,1000.0,-22200.0,-22200.0,-22400.0,200.0,29.513557305967915,10.0,2.9513557305967915,sync_led_known_width,PULSE_ESTIMATED,-222,True,OK,381.62496129237627,65.24759468583828,390.6207535833784,401.56774258546494,8.995792291002147,336.32014789962665,336.4404347907213,1.5321653194572107,6.002145935505426,0.16660707865907504,6.002145935505426,0.2920634920634921,32.51262697308207,42.17238266652238,-0.16654751195586215,-0.16654751195587636,0.02673814250833996,0.9996424719544502,-0.9996424719544502,0.02673814250833996,381.62496129237627,65.24759468583828,6.0,4.459934852307995,319,57,196,346,23,7,24,517,435,29.513557305967915,2.9513557305967915
11,0.37271006967959425,0.37271006967959425,168.0,368.0,84.0,84.0,284.0,252.0,452.0,0.4012258689060194,True,hough,58.0,310.0,426.0,110.0,226.0,63.0,74.6984126984127,285.8518518518518,26.303846153846155,0.0,0,LOW,0,0,232,234,2,372.71006967959426,1100.0,-22100.0,-22100.0,-22300.0,200.0,29.513557305967915,10.0,2.9513557305967915,sync_led_known_width,PULSE_ESTIMATED,-221,True,OK,381.62496129237627,65.24759468583828,390.6207535833784,401.56774258546494,8.995792291002147,336.32014789962665,336.4404347907213,1.5321653194572107,6.002145935505426,0.16660707865907504,6.002145935505426,0.2920634920634921,39.811255403364385,49.47101109680468,-7.465175942238176,-7.465175942238176,0.02673814250833996,0.9996424719544502,-0.9996424719544502,0.02673814250833996,381.62496129237627,65.24759468583828,6.0,4.459934852307995,319,57,196,346,23,7,24,517,435,29.513557305967915,2.9513557305967915
12,0.4065928032868301,0.4065928032868301,216.0,323.0,55.0,161.0,268.0,271.0,378.0,0.6429597297759754,True,hough,58.0,265.0,381.0,158.0,274.0,69.0,74.64492753623189,286.17391304347825,28.69190311418685,0.13168080402063514,0,LOW,0,0,232,234,2,406.59280328683013,1200.0,-22000.0,-22000.0,-22200.0,200.0,29.513557305967915,10.0,2.9513557305967915,sync_led_known_width,PULSE_ESTIMATED,-220,True,OK,381.62496129237627,65.24759468583828,390.6207535833784,401.56774258546494,8.995792291002147,336.32014789962665,336.4404347907213,1.5321653194572107,6.002145935505426,0.16660707865907504,6.002145935505426,0.2920634920634921,32.53044602833042,42.19020172177072,-0.18436656720420785,-0.18436656720421496,0.02673814250833996,0.9996424719544502,-0.9996424719544502,0.02673814250833996,381.62496129237627,65.24759468583828,6.0,4.459934852307995,319,57,196,346,23,7,24,517,435,29.513557305967915,2.9513557305967915
13,0.44047553689406593,0.44047553689406593,215.0,321.0,58.0,157.0,263.0,273.0,379.0,0.6219552286417402,True,hough,58.0,263.0,379.0,157.0,273.0,66.5,74.75689223057644,286.06516290726813,27.779890004782406,0.054174684340539354,0,LOW,0,0,232,234,2,440.47553689406595,1300.0,-21900.0,-21900.0,-22100.0,200.0,29.513557305967915,10.0,2.9513557305967915,sync_led_known_width,PULSE_ESTIMATED,-219,True,OK,381.62496129237627,65.24759468583828,390.6207535833784,401.56774258546494,8.995792291002147,336.32014789962665,336.4404347907213,1.5321653194572107,6.002145935505426,0.16660707865907504,6.002145935505426,0.2920634920634921,32.19289624060659,41.8526519340469,0.1531832205196153,0.1531832205196082,0.02673814250833996,0.9996424719544502,-0.9996424719544502,0.02673814250833996,381.62496129237627,65.24759468583828,6.0,4.459934852307995,319,57,196,346,23,7,24,517,435,29.513557305967915,2.9513557305967915
14,0.4743582705013018,0.4743582705013018,215.0,319.0,59.0,156.0,260.0,274.0,378.0,0.6141931049510937,True,hough,58.0,261.0,377.0,157.0,273.0,60.5,74.93112947658402,285.61707988980714,25.683633986928108,0.0,0,LOW,0,0,232,234,2,474.35827050130183,1400.0,-21800.0,-21800.0,-22000.0,200.0,29.513557305967915,10.0,2.9513557305967915,sync_led_known_width,PULSE_ESTIMATED,-218,True,OK,381.62496129237627,65.24759468583828,390.6207535833784,401.56774258546494,8.995792291002147,336.32014789962665,336.4404347907213,1.5321653194572107,6.002145935505426,0.16660707865907504,6.002145935505426,0.2920634920634921,31.85980121669486,41.519556910135165,0.48627824443135026,0.4862782444313396,0.02673814250833996,0.9996424719544502,-0.9996424719544502,0.02673814250833996,381.62496129237627,65.24759468583828,6.0,4.459934852307995,319,57,196,346,23,7,24,517,435,29.513557305967915,2.9513557305967915
15,0.5082410041085377,0.5082410041085377,214.0,320.0,59.0,155.0,261.0,273.0,379.0,0.6138399216636671,True,hough,58.0,262.0,378.0,156.0,272.0,66.0,74.71212121212122,286.1363636363636,27.87718794835007,0.06244340984571008,0,LOW,0,0,232,234,2,508.24100410853765,1500.0,-21700.0,-21700.0,-21900.0,200.0,29.513557305967915,10.0,2.9513557305967915,sync_led_known_width,PULSE_ESTIMATED,-217,True,OK,381.62496129237627,65.24759468583828,390.6207535833784,401.56774258546494,8.995792291002147,336.32014789962665,336.4404347907213,1.5321653194572107,6.002145935505426,0.16660707865907504,6.002145935505426,0.2920634920634921,32.02189396483864,41.68164965827895,0.3241854962875692,0.324185496287555,0.02673814250833996,0.9996424719544502,-0.9996424719544502,0.02673814250833996,381.62496129237627,65.24759468583828,6.0,4.459934852307995,319,57,196,346,23,7,24,517,435,29.513557305967915,2.9513557305967915
16,0.5421237377157735,0.5421237377157735,213.0,323.0,56.0,157.0,267.0,269.0,379.0,0.6338718907702101,True,hough,58.0,265.0,381.0,155.0,271.0,61.5,74.67750677506774,285.8644986449864,25.87478991596639,0.0,0,LOW,0,0,232,234,2,542.1237377157735,1600.0,-21600.0,-21600.0,-21800.0,200.0,29.513557305967915,10.0,2.9513557305967915,sync_led_known_width,PULSE_ESTIMATED,-216,True,OK,381.62496129237627,65.24759468583828,390.6207535833784,401.56774258546494,8.995792291002147,336.32014789962665,336.4404347907213,1.5321653194572107,6.002145935505426,0.16660707865907504,6.002145935505426,0.2920634920634921,32.51708173689416,42.176837430334466,-0.1710022757679539,-0.171002275767961,0.02673814250833996,0.9996424719544502,-0.9996424719544502,0.02673814250833996,381.62496129237627,65.24759468583828,6.0,4.459934852307995,319,57,196,346,23,7,24,517,435,29.513557305967915,2.9513557305967915
17,0.5760064713230093,0.5760064713230093,210.0,321.0,55.0,155.0,266.0,265.0,376.0,0.6385557263786894,True,hough,58.0,263.0,379.0,152.0,268.0,68.0,74.77941176470588,286.0147058823529,28.56984126984127,0.12130755409838388,0,LOW,0,0,232,234,2,576.0064713230094,1700.0,-21500.0,-21500.0,-21700.0,200.0,29.513557305967915,10.0,2.9513557305967915,sync_led_known_width,PULSE_ESTIMATED,-215,True,OK,381.62496129237627,65.24759468583828,390.6207535833784,401.56774258546494,8.995792291002147,336.32014789962665,336.4404347907213,1.5321653194572107,6.002145935505426,0.16660707865907504,6.002145935505426,0.2920634920634921,32.17062242154617,41.83037811498647,0.17545703958003855,0.17545703958003145,0.02673814250833996,0.9996424719544502,-0.9996424719544502,0.02673814250833996,381.62496129237627,65.24759468583828,6.0,4.459934852307995,319,57,196,346,23,7,24,517,435,29.513557305967915,2.9513557305967915
18,0.6098892049302451,0.6098892049302451,209.0,320.0,57.0,152.0,263.0,266.0,377.0,0.6243906126793592,True,hough,58.0,262.0,378.0,151.0,267.0,59.0,74.7683615819209,285.90677966101697,24.642739798622152,0.0,0,LOW,0,0,232,234,2,609.8892049302451,1800.0,-21400.0,-21400.0,-21600.0,200.0,29.513557305967915,10.0,2.9513557305967915,sync_led_known_width,PULSE_ESTIMATED,-214,True,OK,381.62496129237627,65.24759468583828,390.6207535833784,401.56774258546494,8.995792291002147,336.32014789962665,336.4404347907213,1.5321653194572107,6.002145935505426,0.16660707865907504,6.002145935505426,0.2920634920634921,31.99962014577822,41.65937583921853,0.3464593153479889,0.34645931534797825,0.02673814250833996,0.9996424719544502,-0.9996424719544502,0.02673814250833996,381.62496129237627,65.24759468583828,6.0,4.459934852307995,319,57,196,346,23,7,24,517,435,29.513557305967915,2.9513557305967915
19,0.643771938537481,0.643771938537481,207.0,322.0,58.0,149.0,264.0,265.0,380.0,0.618001191547126,True,hough,58.0,264.0,380.0,149.0,265.0,56.5,74.87315634218288,285.3628318584071,24.158782104391054,0.0,0,LOW,0,0,232,234,2,643.771938537481,1900.0,-21300.0,-21300.0,-21500.0,200.0,29.513557305967915,10.0,2.9513557305967915,sync_led_known_width,PULSE_ESTIMATED,-213,True,OK,381.62496129237627,65.24759468583828,390.6207535833784,401.56774258546494,8.995792291002147,336.32014789962665,336.4404347907213,1.5321653194572107,6.002145935505426,0.16660707865907504,6.002145935505426,0.2920634920634921,32.323805642065786,41.98356133550609,0.02227381906042325,0.022273819060416145,0.02673814250833996,0.9996424719544502,-0.9996424719544502,0.02673814250833996,381.62496129237627,65.24759468583828,6.0,4.459934852307995,319,57,196,346,23,7,24,517,435,29.513557305967915,2.9513557305967915
