frame,rank,x_center_px,y_center_px,radius_px,x_left_px,y_top_px,x_right_px,y_bottom_px,confidence,method,area,circularity,fill_ratio,brightness,motion,template_score
4,1,144.0,307.0,59.0,85.0,248.0,203.0,366.0,0.608996597547619,hough,10935.88402714607,1.0,0.78,170.92870887931824,12.637221662237698,0.0
4,2,330.0,339.0,71.0,259.0,268.0,401.0,410.0,0.5320991953235412,hough,15836.768566746148,1.0,0.78,154.43167014481753,20.324796053879716,0.0
4,3,173.0,184.0,82.0,91.0,102.0,255.0,266.0,0.30278540519482944,hough,21124.069002737768,1.0,0.78,39.96147102033079,10.991848727548456,0.0
5,0,215.0,321.0,58.0,157.0,263.0,273.0,379.0,0.6222095669025727,hough,10568.317686676064,1.0,0.78,141.10419626787913,21.96788860471725,0.0
5,1,330.0,339.0,71.0,259.0,268.0,401.0,410.0,0.5322620530739897,hough,15836.768566746148,1.0,0.78,154.48966040599507,20.35306393473724,0.0
5,2,288.0,286.0,76.0,212.0,210.0,364.0,362.0,0.4972107565216514,hough,18145.839167134644,1.0,0.78,156.5504,20.417544827586205,0.0
5,3,320.0,179.0,78.0,242.0,101.0,398.0,257.0,0.4686033154559783,hough,19113.4497044403,1.0,0.78,177.5821340729499,11.270500811136113,0.0
5,4,167.0,367.0,84.0,83.0,283.0,251.0,451.0,0.40103097205693505,hough,22167.077763729583,1.0,0.78,135.11701983463607,16.29349839606018,0.0
6,0,216.0,323.0,55.0,161.0,268.0,271.0,378.0,0.6433795051040658,hough,9503.317777109125,1.0,0.78,142.33449403819776,21.321409728817137,0.0
6,1,144.0,308.0,59.0,85.0,249.0,203.0,367.0,0.6096595907756993,hough,10935.88402714607,1.0,0.78,171.44863923760653,12.678090350957573,0.0
6,2,330.0,339.0,71.0,259.0,268.0,401.0,410.0,0.5327624123589165,hough,15836.768566746148,1.0,0.78,154.6398532852716,20.44722696515525,0.0
6,3,288.0,286.0,76.0,212.0,210.0,364.0,362.0,0.49744866321536335,hough,18145.839167134644,1.0,0.78,156.61495172413794,20.464110344827585,0.0
6,4,320.0,179.0,78.0,242.0,101.0,398.0,257.0,0.4687714902406757,hough,19113.4497044403,1.0,0.78,177.6357737191899,11.30132398346329,0.0
7,0,213.0,323.0,56.0,157.0,267.0,269.0,379.0,0.6351925895423549,hough,9852.03456165759,1.0,0.78,143.63291010665313,20.78882681564246,0.0
7,1,159.0,303.0,62.0,97.0,241.0,221.0,365.0,0.582982169041593,hough,12076.282160399165,1.0,0.78,167.0955144681204,12.672332310753669,0.0
7,2,324.0,329.0,75.0,249.0,254.0,399.0,404.0,0.509952449938748,hough,17671.458676442588,1.0,0.78,157.87568638550806,21.478799886781772,0.0
7,3,324.0,157.0,84.0,240.0,73.0,408.0,241.0,0.4286779411820901,hough,22167.077763729583,1.0,0.78,168.94546604617537,14.821985270862513,0.0
7,4,177.0,179.0,83.0,94.0,96.0,260.0,262.0,0.3037903501667984,hough,21642.431790580085,1.0,0.78,44.24074159693005,12.13112025521291,0.0
8,0,214.0,320.0,59.0,155.0,261.0,273.0,379.0,0.6148633098515273,hough,10935.88402714607,1.0,0.78,141.3679098323101,21.929991752955193,0.0
8,1,144.0,307.0,59.0,85.0,248.0,203.0,366.0,0.6093521457964247,hough,10935.88402714607,1.0,0.78,171.04041051956384,12.702831485384404,0.0
8,2,340.0,337.0,62.0,278.0,275.0,402.0,399.0,0.6013889200182458,hough,12076.282160399165,1.0,0.78,164.9862366304618,18.1322444241771,0.0
8,3,324.0,165.0,84.0,240.0,81.0,408.0,249.0,0.4265561183870976,hough,22167.077763729583,1.0,0.78,172.47282338589434,13.333980933447792,0.0
8,4,185.0,179.0,84.0,101.0,95.0,269.0,263.0,0.3063536769080889,hough,22167.077763729583,1.0,0.78,49.4560610852573,13.441241584963628,0.0
9,0,216.0,323.0,55.0,161.0,268.0,271.0,378.0,0.6433359398780387,hough,9503.317777109125,1.0,0.78,142.29207555133482,21.32088213569695,0.0
