Kp,Ki,Kd,source,J,stable,accepted,Ts,ess,overshoot_pct,opposite_pct,peak_abs_pct,max_abs_delta_u,u_min_seen,u_max_seen,saturated,poles,zeros
1774.7683298777856,4817.462419994982,530.7795318065536,refined,66612.80081513441,True,False,9.823964792958591,2.5403348149045197e-05,92.26752278878907,0.0,192.26752278878905,48.24493581968491,-22.724036236338694,62.77440924084139,True,(-16.04305079551114+145.7866088977411j); (-16.04305079551114-145.7866088977411j); (-0.3269492044888798+3.1327212215761695j); (-0.3269492044888798-3.1327212215761695j),(-1.6718507624410548+2.5062157432871803j); (-1.6718507624410548-2.5062157432871803j)
1774.7683298777856,4747.436456739863,530.7795318065536,refined,66706.1468658211,True,False,9.893978795759152,3.054541071187736e-05,92.26626990873235,0.0,192.26626990873234,48.245319957955104,-22.72436252391334,62.774793379111586,True,(-16.042945242808326+145.78709255512848j); (-16.042945242808326-145.78709255512848j); (-0.3270547571916995+3.109598486252101j); (-0.3270547571916995-3.109598486252101j),(-1.6718507624410555+2.479755419013017j); (-1.6718507624410555-2.479755419013017j)
1774.7683298777856,12318.301739717584,530.7795318065536,refined,66717.36394551773,True,False,9.803960792158431,1.8998805673004762e-05,92.40171604616854,0.0,192.40171604616853,48.203711773183656,-22.6888298676266,62.73318519434014,True,(-16.054381013802963+145.734759708751j); (-16.054381013802963-145.734759708751j); (-0.3156189861970473+5.028466889497455j); (-0.3156189861970473-5.028466889497455j),(-1.6718507624410552+4.518059228937703j); (-1.6718507624410552-4.518059228937703j)
1774.7683298777856,11962.790249769769,530.7795318065536,refined,66730.39891047537,True,False,9.941988397679536,2.0687253081886747e-05,92.39535620070747,0.0,192.39535620070745,48.20566908199471,-22.690509989062658,62.735142503151195,True,(-16.053842931517142+145.73721905329302j); (-16.053842931517142-145.73721905329302j); (-0.31615706848286484+4.9549684478927825j); (-0.31615706848286484-4.9549684478927825j),(-1.6718507624410552+4.4433172224035475j); (-1.6718507624410552-4.4433172224035475j)
1774.7683298777856,12139.244620058345,530.7795318065536,refined,66737.70242209961,True,False,9.873974794958992,2.1190739307708727e-05,92.39851284786255,0.0,192.39851284786255,48.20469763528194,-22.689676221482305,62.73417105643843,True,(-16.054109989600935+145.73599840714198j); (-16.054109989600935-145.73599840714198j); (-0.3158900103990732+4.9915833034950365j); (-0.3158900103990732-4.9915833034950365j),(-1.6718507624410548+4.480570471467184j); (-1.6718507624410548-4.480570471467184j)
2373.7182283699312,1186.8591141849656,709.9073319511144,refined,66843.49086544677,True,False,5.1330266053210645,2.1072739418233257e-06,90.05180546006366,0.0,190.05180546006366,80.64549271535938,-49.37194981413565,95.17496613651586,True,(-15.67583373126672+170.83950515726244j); (-15.67583373126672-170.83950515726244j); (-0.6941662687332459+1.1421536542348074j); (-0.6941662687332459-1.1421536542348074j),-2.7316782056758866; -0.6120233192062227
1774.7683298777856,19554.085140089384,530.7795318065536,refined,66853.05454925638,True,False,9.731946389277855,1.180951032321272e-05,92.53115018074416,0.0,192.53115018074416,48.163799919504484,-22.654385158965713,62.693273340660966,True,(-16.065355988438117+145.68466333444798j); (-16.065355988438117-145.68466333444798j); (-0.3046440115618866+6.3427314055496975j); (-0.3046440115618866-6.3427314055496975j),(-1.671850762441055+5.834829047583922j); (-1.671850762441055-5.834829047583922j)
2373.7182283699312,1884.0214063952585,709.9073319511144,refined,66855.7487405831,True,False,5.607121424284857,1.0427781742625847e-06,90.05794443119711,0.0,190.05794443119711,80.64328534940387,-49.36930808433375,95.17275877056035,True,(-15.676368742770766+170.83647851273506j); (-15.676368742770766-170.83647851273506j); (-0.6936312572292178+1.5344960141145212j); (-0.6936312572292178-1.5344960141145212j),-2.04759976489079; -1.2961017599913194
1774.7683298777856,19269.849679979914,530.7795318065536,refined,66861.23981843604,True,False,9.7999599919984,1.534506423472794e-05,92.52606607743704,0.0,192.526066077437,48.16537041003371,-22.65574718250816,62.6948438311902,True,(-16.064924030459945+145.68663269033104j); (-16.064924030459945-145.68663269033104j); (-0.30507596954008337+6.296253834587242j); (-0.30507596954008337-6.296253834587242j),(-1.6718507624410552+5.788758444021157j); (-1.6718507624410552-5.788758444021157j)
2373.7182283699312,2990.6975624424413,709.9073319511144,refined,66868.94355381074,True,False,5.641128225645129,8.084552957359371e-07,90.06768937205355,0.0,190.06768937205354,80.63978011040182,-49.36511081274669,95.1692535315583,True,(-15.677218251266538+170.83167349735817j); (-15.677218251266538-170.83167349735817j); (-0.6927817487334815+2.005456584033211j); (-0.6927817487334815-2.005456584033211j),(-1.671850762441055+1.1906783629048685j); (-1.671850762441055-1.1906783629048685j)
