frame,decisao,explicacao,confianca_selecionada,topo_ruler_mm,bbox_altura_px,bbox_largura_px,bbox_aspect,area_px,componentes_encontrados_na_mascara,componentes_rejeitados,candidatos_aceitos_no_frame,threshold_usado,percentil_escuro_q
49,candidato_selecionado,OK,0.8619022786228993,15.541178385416666,160.0,182.0,1.1375,24190.0,2,1,1,75.0,70.0
50,candidato_selecionado,OK,0.8619643163967493,15.541178385416666,160.0,182.0,1.1375,24191.0,2,1,1,75.0,70.0
51,candidato_selecionado,OK,0.861954000573663,15.541964285714284,160.0,182.0,1.1375,24190.0,2,1,1,75.0,70.0
52,candidato_selecionado,OK,0.8621513427662348,15.550214460784312,160.0,182.0,1.1375,24199.0,2,1,1,75.0,70.0
53,candidato_selecionado,OK,0.8621391992916656,15.54954117063492,160.0,182.0,1.1375,24201.0,2,1,1,75.0,70.0
54,candidato_selecionado,OK,0.8621319481727938,15.548851656626505,160.0,182.0,1.1375,24200.0,2,1,1,75.0,70.0
55,candidato_selecionado,OK,0.8621747193322984,15.552740951178452,160.0,182.0,1.1375,24202.0,2,1,1,75.0,70.0
56,candidato_selecionado,OK,0.8621262329947077,15.545138888888888,160.0,182.0,1.1375,24204.0,2,1,1,75.0,70.0
57,candidato_selecionado,OK,0.8620464494602516,15.541145833333333,160.0,182.0,1.1375,24201.0,2,1,1,75.0,70.0
58,candidato_selecionado,OK,0.8621190843607665,15.541145833333333,160.0,182.0,1.1375,24203.0,2,1,1,75.0,70.0
59,candidato_selecionado,OK,0.8620023708110709,15.54209421641791,160.0,182.0,1.1375,24202.0,2,1,1,75.0,70.0
60,candidato_selecionado,OK,0.8621301204674894,15.548851656626505,160.0,182.0,1.1375,24206.0,2,1,1,75.0,70.0
61,candidato_selecionado,OK,0.8619392215403747,15.541923415492956,160.0,182.0,1.1375,24205.5,2,1,1,75.0,70.0
62,candidato_selecionado,OK,0.862036794699178,15.541923415492956,160.0,182.0,1.1375,24212.5,2,1,1,75.0,70.0
63,candidato_selecionado,OK,0.86209617442524,15.554108796296296,160.0,182.0,1.1375,24211.5,2,1,1,75.0,70.0
64,candidato_selecionado,OK,0.862267987978975,15.548090277777776,160.0,182.0,1.1375,24214.0,2,1,1,75.0,70.0
65,candidato_selecionado,OK,0.8623863714678702,15.548862390350877,160.0,182.0,1.1375,24216.0,2,1,1,75.0,70.0
66,candidato_selecionado,OK,0.8624190084731799,15.55515160891089,160.0,182.0,1.1375,24213.0,2,1,1,75.0,70.0
67,candidato_selecionado,OK,0.8621950180584109,15.549614448051948,160.0,182.0,1.1375,24209.0,2,1,1,75.0,70.0
68,candidato_selecionado,OK,0.8623234689461148,15.53670058139535,160.0,182.0,1.1375,24213.0,2,1,1,75.0,70.0
69,candidato_selecionado,OK,0.8609342064234351,15.538194444444443,161.0,182.0,1.1304347826086956,24215.0,2,1,1,75.0,70.0
70,candidato_selecionado,OK,0.8609053851454225,15.539977477477477,161.0,182.0,1.1304347826086956,24213.0,2,1,1,75.0,70.0
71,candidato_selecionado,OK,0.8609229540481891,15.541770833333333,161.0,182.0,1.1304347826086956,24209.0,2,1,1,75.0,70.0
72,candidato_selecionado,OK,0.8622049868424011,15.541770833333333,160.0,182.0,1.1375,24208.0,2,1,1,75.0,70.0
73,candidato_selecionado,OK,0.8624563602766662,15.541770833333333,160.0,182.0,1.1375,24221.5,2,1,1,75.0,70.0
74,candidato_selecionado,OK,0.8621096013644115,15.540892454954955,160.0,182.0,1.1375,24215.5,2,1,1,75.0,70.0
75,candidato_selecionado,OK,0.8620410226239619,15.54001613849765,160.0,182.0,1.1375,24213.5,2,1,1,75.0,70.0
76,candidato_selecionado,OK,0.862030050414737,15.536672794117646,160.0,182.0,1.1375,24215.5,2,1,1,75.0,70.0
77,candidato_selecionado,OK,0.8621543727662836,15.536672794117646,160.0,182.0,1.1375,24220.5,2,1,1,75.0,70.0
78,candidato_selecionado,OK,0.8622086933970878,15.553099593495935,160.0,182.0,1.1375,24219.5,2,1,1,75.0,70.0
79,candidato_selecionado,OK,0.8622191921739955,15.55499387254902,160.0,182.0,1.1375,24220.5,2,1,1,75.0,70.0
80,candidato_selecionado,OK,0.8622115401253264,15.550911458333333,160.0,182.0,1.1375,24222.5,2,1,1,75.0,70.0
81,candidato_selecionado,OK,0.8621281095915748,15.538134988584474,160.0,182.0,1.1375,24221.5,2,1,1,75.0,70.0
82,candidato_selecionado,OK,0.8621905842212481,15.5390625,160.0,182.0,1.1375,24224.5,2,1,1,75.0,70.0
83,candidato_selecionado,OK,0.8622983719497188,15.5390625,160.0,182.0,1.1375,24228.5,2,1,1,75.0,70.0
84,candidato_selecionado,OK,0.8621837515534143,15.5390625,160.0,182.0,1.1375,24225.5,2,1,1,75.0,70.0
85,candidato_selecionado,OK,0.8623191071826838,15.549479166666666,160.0,182.0,1.1375,24226.5,2,1,1,75.0,70.0
86,candidato_selecionado,OK,0.8622475477459987,15.549479166666666,160.0,182.0,1.1375,24227.5,2,1,1,75.0,70.0
87,candidato_selecionado,OK,0.8622516190686659,15.548862390350877,160.0,182.0,1.1375,24227.5,2,1,1,75.0,70.0
88,candidato_selecionado,OK,0.8611850136670338,15.553627664728682,161.0,182.0,1.1304347826086956,24232.0,2,1,1,75.0,70.0
89,candidato_selecionado,OK,0.8611695916295228,15.553627664728682,161.0,182.0,1.1304347826086956,24236.0,2,1,1,75.0,70.0
90,candidato_selecionado,OK,0.8625131427404096,15.548257458847736,160.0,182.0,1.1375,24231.0,2,1,1,75.0,70.0
91,candidato_selecionado,OK,0.8625832729404015,15.555377761044175,160.0,182.0,1.1375,24233.0,2,1,1,75.0,70.0
92,candidato_selecionado,OK,0.8627508802310654,15.552649205469326,160.0,182.0,1.1375,24251.0,2,1,1,75.0,70.0
93,candidato_selecionado,OK,0.8613745356152657,15.55195703254634,161.0,182.0,1.1304347826086956,24253.0,2,1,1,75.0,70.0
94,candidato_selecionado,OK,0.8615510996146409,15.553866980820105,161.0,182.0,1.1304347826086956,24252.5,2,1,1,75.0,70.0
95,candidato_selecionado,OK,0.8616680868619302,15.557992063013035,161.0,182.0,1.1304347826086956,24251.5,2,1,1,75.0,70.0
96,candidato_selecionado,OK,0.8630723233529197,15.558905234613913,160.0,182.0,1.1375,24255.5,2,1,1,75.0,70.0
97,candidato_selecionado,OK,0.8630406142816407,15.559223923528522,160.0,182.0,1.1375,24254.5,2,1,1,75.0,70.0
98,candidato_selecionado,OK,0.8630029680765728,15.559680998923959,160.0,182.0,1.1375,24256.5,2,1,1,75.0,70.0
99,candidato_selecionado,OK,0.862993624653773,15.559512327307466,160.0,182.0,1.1375,24256.5,2,1,1,75.0,70.0
100,candidato_selecionado,OK,0.8630495310477909,15.560262789130125,160.0,182.0,1.1375,24256.5,2,1,1,75.0,70.0
101,candidato_selecionado,OK,0.8629490159694201,15.552997533890098,160.0,182.0,1.1375,24255.5,2,1,1,75.0,70.0
102,candidato_selecionado,OK,0.8631454183821158,15.559761379076086,160.0,182.0,1.1375,24259.5,2,1,1,75.0,70.0
103,candidato_selecionado,OK,0.8629867593366098,15.560587581953069,160.0,182.0,1.1375,24256.5,2,1,1,75.0,70.0
104,candidato_selecionado,OK,0.8630107209989317,15.560587581953069,160.0,182.0,1.1375,24260.5,2,1,1,75.0,70.0
105,candidato_selecionado,OK,0.8630226412764663,15.55937934584938,160.0,182.0,1.1375,24259.5,2,1,1,75.0,70.0
106,candidato_selecionado,OK,0.8626916325139885,15.553518580134488,160.0,182.0,1.1375,24259.5,2,1,1,75.0,70.0
107,candidato_selecionado,OK,0.8628303594188872,15.553898590686273,160.0,182.0,1.1375,24262.5,2,1,1,75.0,70.0
108,candidato_selecionado,OK,0.8628355640501716,15.56006136615427,160.0,182.0,1.1375,24263.5,2,1,1,75.0,70.0
109,candidato_selecionado,OK,0.8631667293916329,15.56006136615427,160.0,182.0,1.1375,24268.5,2,1,1,75.0,70.0
110,candidato_selecionado,OK,0.8631110785833797,15.56006136615427,160.0,182.0,1.1375,24270.5,2,1,1,75.0,70.0
111,candidato_selecionado,OK,0.8631092283767411,15.56006136615427,160.0,182.0,1.1375,24269.5,2,1,1,75.0,70.0
112,candidato_selecionado,OK,0.8627770428979601,15.56095579373278,160.0,182.0,1.1375,24262.5,2,1,1,75.0,70.0
113,candidato_selecionado,OK,0.8627949975752335,15.554753335674157,160.0,182.0,1.1375,24263.5,2,1,1,75.0,70.0
114,candidato_selecionado,OK,0.8628012216559554,15.553920717592591,160.0,182.0,1.1375,24264.5,2,1,1,75.0,70.0
115,candidato_selecionado,OK,0.8627790666626783,15.553920717592591,160.0,182.0,1.1375,24264.5,2,1,1,75.0,70.0
116,candidato_selecionado,OK,0.8631851522572836,15.552973838601531,160.0,182.0,1.1375,24272.5,2,1,1,75.0,70.0
117,candidato_selecionado,OK,0.8632417358042627,15.552541473765432,160.0,182.0,1.1375,24274.5,2,1,1,75.0,70.0
118,candidato_selecionado,OK,0.8631966802102414,15.552541473765432,160.0,182.0,1.1375,24274.5,2,1,1,75.0,70.0
119,candidato_selecionado,OK,0.8631763282098462,15.553873697916666,160.0,182.0,1.1375,24272.5,2,1,1,75.0,70.0
120,candidato_selecionado,OK,0.86288241661544,15.552048192410757,160.0,182.0,1.1375,24268.5,2,1,1,75.0,70.0
121,candidato_selecionado,OK,0.8629627709895796,15.552048192410757,160.0,182.0,1.1375,24270.5,2,1,1,75.0,70.0
122,candidato_selecionado,OK,0.8633181650376323,15.55409078602371,160.0,182.0,1.1375,24280.5,2,1,1,75.0,70.0
123,candidato_selecionado,OK,0.8633216181363363,15.55409078602371,160.0,182.0,1.1375,24281.5,2,1,1,75.0,70.0
124,candidato_selecionado,OK,0.8633250362457432,15.55409078602371,160.0,182.0,1.1375,24280.5,2,1,1,75.0,70.0
125,candidato_selecionado,OK,0.8634168888362365,15.551451238390094,160.0,182.0,1.1375,24281.5,2,1,1,75.0,70.0
126,candidato_selecionado,OK,0.8629920701725541,15.551451238390094,160.0,182.0,1.1375,24274.5,2,1,1,75.0,70.0
127,candidato_selecionado,OK,0.862742744966567,15.567097702728445,160.0,182.0,1.1375,24277.5,2,1,1,75.0,70.0
128,candidato_selecionado,OK,0.8628112661898746,15.569125559573003,160.0,182.0,1.1375,24281.5,2,1,1,75.0,70.0
129,candidato_selecionado,OK,0.8629801135789649,15.562478895055202,160.0,182.0,1.1375,24276.5,2,1,1,75.0,70.0
130,candidato_selecionado,OK,0.862903525155858,15.562478895055202,160.0,182.0,1.1375,24276.5,2,1,1,75.0,70.0
131,candidato_selecionado,OK,0.8634441003872385,15.561988232793118,160.0,182.0,1.1375,24288.5,2,1,1,75.0,70.0
132,candidato_selecionado,OK,0.8633942923668975,15.562843638876004,160.0,182.0,1.1375,24285.5,2,1,1,75.0,70.0
133,candidato_selecionado,OK,0.8634837157331114,15.567654866692875,160.0,182.0,1.1375,24290.5,2,1,1,75.0,70.0
134,candidato_selecionado,OK,0.8636152853972289,15.568896599015712,160.0,182.0,1.1375,24296.5,2,1,1,75.0,70.0
135,candidato_selecionado,OK,0.8635256924827747,15.568896599015712,160.0,182.0,1.1375,24298.5,2,1,1,75.0,70.0
136,candidato_selecionado,OK,0.8636118499516428,15.568003878720367,160.0,182.0,1.1375,24299.5,2,1,1,75.0,70.0
137,candidato_selecionado,OK,0.8634885770751188,15.568003878720367,160.0,182.0,1.1375,24294.5,2,1,1,75.0,70.0
138,candidato_selecionado,OK,0.8635648242412478,15.564125669597734,160.0,182.0,1.1375,24299.5,2,1,1,75.0,70.0
139,candidato_selecionado,OK,0.8635432528476447,15.558956801470588,160.0,182.0,1.1375,24298.5,2,1,1,75.0,70.0
140,candidato_selecionado,OK,0.8637885998529705,15.564325105042014,160.0,182.0,1.1375,24294.5,2,1,1,75.0,70.0
141,candidato_selecionado,OK,0.863440744699378,15.564901620370371,160.0,182.0,1.1375,24294.5,2,1,1,75.0,70.0
142,candidato_selecionado,OK,0.8634982238891434,15.564098011363637,160.0,182.0,1.1375,24299.5,2,1,1,75.0,70.0
143,candidato_selecionado,OK,0.863612760179304,15.569155092592593,160.0,182.0,1.1375,24302.5,2,1,1,75.0,70.0
144,candidato_selecionado,OK,0.8636265201947788,15.568636254789272,160.0,182.0,1.1375,24305.5,2,1,1,75.0,70.0
145,candidato_selecionado,OK,0.8636419696999975,15.569069602272727,160.0,182.0,1.1375,24305.5,2,1,1,75.0,70.0
146,candidato_selecionado,OK,0.8636388725970433,15.57080078125,160.0,182.0,1.1375,24308.5,2,1,1,75.0,70.0
147,candidato_selecionado,OK,0.8638914137225181,15.5674563172043,160.0,182.0,1.1375,24307.5,2,1,1,75.0,70.0
148,candidato_selecionado,OK,0.8634042861030057,15.56389551679009,160.0,182.0,1.1375,24305.0,2,1,1,75.0,70.0
149,candidato_selecionado,OK,0.8635189811156053,15.56410261468855,160.0,182.0,1.1375,24311.0,2,1,1,75.0,70.0
150,candidato_selecionado,OK,0.8634778605591085,15.563563226887442,160.0,182.0,1.1375,24308.0,2,1,1,75.0,70.0
151,candidato_selecionado,OK,0.8633676995465422,15.563290906598883,160.0,182.0,1.1375,24306.0,2,1,1,75.0,70.0
152,candidato_selecionado,OK,0.8637761328040748,15.568684895833332,160.0,182.0,1.1375,24311.0,2,1,1,75.0,70.0
153,candidato_selecionado,OK,0.8638187268986651,15.569077534364261,160.0,182.0,1.1375,24311.0,2,1,1,75.0,70.0
154,candidato_selecionado,OK,0.8634613030230617,15.568684895833332,160.0,182.0,1.1375,24304.0,2,1,1,75.0,70.0
155,candidato_selecionado,OK,0.8634856799691868,15.56828399122807,160.0,182.0,1.1375,24299.0,2,1,1,75.0,70.0
156,candidato_selecionado,OK,0.8632589497566054,15.569155092592593,160.0,182.0,1.1375,24306.0,2,1,1,75.0,70.0
157,candidato_selecionado,OK,0.8632791806256521,15.569907407407406,160.0,182.0,1.1375,24300.0,2,1,1,75.0,70.0
158,candidato_selecionado,OK,0.8632309907889015,15.569907407407406,160.0,182.0,1.1375,24303.0,2,1,1,75.0,70.0
159,candidato_selecionado,OK,0.8635517389572227,15.569907407407406,160.0,182.0,1.1375,24313.0,2,1,1,75.0,70.0
160,candidato_selecionado,OK,0.8634967223706486,15.559098639455781,160.0,182.0,1.1375,24313.0,2,1,1,75.0,70.0
161,candidato_selecionado,OK,0.8635354616405782,15.558678933021806,160.0,182.0,1.1375,24315.0,2,1,1,75.0,70.0
162,candidato_selecionado,OK,0.8635674916179599,15.560052083333332,160.0,182.0,1.1375,24318.0,2,1,1,75.0,70.0
163,candidato_selecionado,OK,0.8636944869147962,15.560052083333332,160.0,182.0,1.1375,24321.0,2,1,1,75.0,70.0
164,candidato_selecionado,OK,0.8636761180123571,15.560052083333332,160.0,182.0,1.1375,24321.0,2,1,1,75.0,70.0
165,candidato_selecionado,OK,0.8635836616242403,15.567336309523808,160.0,182.0,1.1375,24316.0,2,1,1,75.0,70.0
166,candidato_selecionado,OK,0.8636541863128455,15.566898148148146,160.0,182.0,1.1375,24319.0,2,1,1,75.0,70.0
167,candidato_selecionado,OK,0.8636179992829864,15.566898148148146,160.0,182.0,1.1375,24317.0,2,1,1,75.0,70.0
168,candidato_selecionado,OK,0.8623079992060017,15.566898148148146,160.0,183.0,1.14375,24315.0,2,1,1,75.0,70.0
169,candidato_selecionado,OK,0.8623961417789985,15.565830910852712,160.0,183.0,1.14375,24318.0,2,1,1,75.0,70.0
170,candidato_selecionado,OK,0.8622711175902171,15.565830910852712,160.0,183.0,1.14375,24315.0,2,1,1,75.0,70.0
171,candidato_selecionado,OK,0.8636531626293407,15.566942401960784,160.0,182.0,1.1375,24314.0,2,1,1,75.0,70.0
172,candidato_selecionado,OK,0.8624234323750037,15.566942401960784,160.0,183.0,1.14375,24318.0,2,1,1,75.0,70.0
173,candidato_selecionado,OK,0.8625255584051462,15.567650462962963,160.0,183.0,1.14375,24323.0,2,1,1,75.0,70.0
174,candidato_selecionado,OK,0.8623624486875093,15.567650462962963,160.0,183.0,1.14375,24320.0,2,1,1,75.0,70.0
175,candidato_selecionado,OK,0.8624220320542944,15.562706679894177,160.0,183.0,1.14375,24323.0,2,1,1,75.0,70.0
176,candidato_selecionado,OK,0.862407345849483,15.562706679894177,160.0,183.0,1.14375,24322.0,2,1,1,75.0,70.0
177,candidato_selecionado,OK,0.8623753575949409,15.562706679894177,160.0,183.0,1.14375,24321.0,2,1,1,75.0,70.0
178,candidato_selecionado,OK,0.86236816424375,15.562706679894177,160.0,183.0,1.14375,24319.0,2,1,1,75.0,70.0
179,candidato_selecionado,OK,0.8622765085120814,15.562706679894177,160.0,183.0,1.14375,24317.0,2,1,1,75.0,70.0
180,candidato_selecionado,OK,0.8623055612982955,15.562706679894177,160.0,183.0,1.14375,24320.0,2,1,1,75.0,70.0
181,candidato_selecionado,OK,0.8623536118660793,15.562706679894177,160.0,183.0,1.14375,24326.0,2,1,1,75.0,70.0
182,candidato_selecionado,OK,0.8623909383333674,15.562471064814813,160.0,183.0,1.14375,24326.0,2,1,1,75.0,70.0
183,candidato_selecionado,OK,0.8625135289239815,15.571102617234168,160.0,183.0,1.14375,24328.0,2,1,1,75.0,70.0
184,candidato_selecionado,OK,0.8624737599328068,15.570945552357456,160.0,183.0,1.14375,24330.0,2,1,1,75.0,70.0
185,candidato_selecionado,OK,0.8625002360950619,15.570945552357456,160.0,183.0,1.14375,24328.0,2,1,1,75.0,70.0
186,candidato_selecionado,OK,0.8624829790450198,15.570945552357456,160.0,183.0,1.14375,24330.0,2,1,1,75.0,70.0
187,candidato_selecionado,OK,0.862656923115491,15.575032552083332,160.0,183.0,1.14375,24327.0,2,1,1,75.0,70.0
188,candidato_selecionado,OK,0.8625469139380894,15.575411184210525,160.0,183.0,1.14375,24328.0,2,1,1,75.0,70.0
189,candidato_selecionado,OK,0.8625229369647263,15.567274305555554,160.0,183.0,1.14375,24326.0,2,1,1,75.0,70.0
190,candidato_selecionado,OK,0.8623846324939741,15.566569010416666,160.0,183.0,1.14375,24324.0,2,1,1,75.0,70.0
191,candidato_selecionado,OK,0.8627656191560455,15.566569010416666,160.0,183.0,1.14375,24332.0,2,1,1,75.0,70.0
192,candidato_selecionado,OK,0.8623185166015069,15.565104166666666,160.0,183.0,1.14375,24323.0,2,1,1,75.0,70.0
193,candidato_selecionado,OK,0.8624763974549111,15.550065104166665,160.0,183.0,1.14375,24324.0,2,1,1,75.0,70.0
194,candidato_selecionado,OK,0.8623975514844203,15.550065104166665,160.0,183.0,1.14375,24318.0,2,1,1,75.0,70.0
195,candidato_selecionado,OK,0.8622468162107064,15.562470199927658,160.0,183.0,1.14375,24322.0,2,1,1,75.0,70.0
196,candidato_selecionado,OK,0.862641554071371,15.562613224637682,160.0,183.0,1.14375,24332.0,2,1,1,75.0,70.0
197,candidato_selecionado,OK,0.8626535119847485,15.562613224637682,160.0,183.0,1.14375,24334.0,2,1,1,75.0,70.0
198,candidato_selecionado,OK,0.8627995480985009,15.561232485250736,160.0,183.0,1.14375,24339.0,2,1,1,75.0,70.0
199,candidato_selecionado,OK,0.8627428827847199,15.561232485250736,160.0,183.0,1.14375,24340.0,2,1,1,75.0,70.0
200,candidato_selecionado,OK,0.8625451475442334,15.561232485250736,160.0,183.0,1.14375,24340.5,2,1,1,75.0,70.0
201,candidato_selecionado,OK,0.862486299259045,15.570140994085364,160.0,183.0,1.14375,24346.5,2,1,1,75.0,70.0
202,candidato_selecionado,OK,0.8623487062764672,15.558407738095237,160.0,183.0,1.14375,24346.5,2,1,1,75.0,70.0
203,candidato_selecionado,OK,0.8623038294878121,15.546316964285714,160.0,183.0,1.14375,24347.5,2,1,1,75.0,70.0
204,candidato_selecionado,OK,0.8626351125276259,15.558407738095237,160.0,183.0,1.14375,24348.5,2,1,1,75.0,70.0
205,candidato_selecionado,OK,0.8628069654217952,15.561631944444445,160.0,183.0,1.14375,24348.5,2,1,1,75.0,70.0
206,candidato_selecionado,OK,0.8627306486767907,15.558407738095237,160.0,183.0,1.14375,24350.5,2,1,1,75.0,70.0
