frame,rank,x_center_px,y_center_px,bbox_x_px,bbox_y_px,bbox_w_px,bbox_h_px,bbox_aspect,area_px,fill_ratio,circularity,mean_gray,confidence,method,mask_threshold,q_dark,fracao_bbox_a_direita_da_regua,limite_regua_x_px,topo_ruler_mm_estimado,topo_score,valid_ball_candidate,top_valid,top_reason,y_top_blob_px,y_top_subpx,x_top_blob_px,top_columns_used
10,0,196.18733833693761,327.3663762031972,92.0,228.0,232.0,185.0,1.2540540540540541,31444.0,0.732618825722274,0.6945906002927401,48.332021906080826,0.8636271889740391,dark_blob,75.0,38.0,0.0,455.0,13.698981390102919,0.276410670006054,True,True,OK,229.0,229.18208092485548,189.0,226
11,0,196.15072979934493,327.38278161138845,92.0,228.0,232.0,185.0,1.2540540540540541,31447.0,0.7326887232059646,0.6961853538367033,48.346561762391815,0.8638130913162152,dark_blob,75.0,38.0,0.0,455.0,13.700078025661774,0.2764751779801044,True,True,OK,229.0,229.16824644549763,189.0,226
12,0,196.1414576968771,327.36036681093003,93.0,228.0,231.0,185.0,1.2486486486486486,31424.0,0.7353223353223354,0.693517623427646,48.29675936132019,0.8640763737574015,dark_blob,75.0,38.0,0.0,455.0,13.685104529616725,0.27559438409510145,True,True,OK,229.0,229.35714285714286,189.0,226
13,0,196.09979693870517,327.3692004262697,93.0,228.0,231.0,185.0,1.2486486486486486,31435.5,0.7355914355914356,0.696379237006572,48.306384586324135,0.8644607908807684,dark_blob,75.0,38.0,0.0,455.0,13.685104529616725,0.27559438409510145,True,True,OK,229.0,229.35714285714286,189.0,225
14,0,196.1484266929547,327.382114596749,93.0,228.0,231.0,185.0,1.2486486486486486,31446.5,0.7358488358488359,0.6935680758427821,48.324028324154206,0.8642371612938402,dark_blob,75.0,38.0,0.0,455.0,13.700453704774015,0.2764972767514126,True,True,OK,229.0,229.16350710900474,189.0,226
15,0,196.13947374000804,327.37744100248074,93.0,228.0,231.0,185.0,1.2486486486486486,31442.0,0.7357435357435358,0.6960746617612701,48.34258734655336,0.8644800387797995,dark_blob,75.0,38.0,0.0,455.0,13.700453704774015,0.2764972767514126,True,True,OK,229.0,229.16350710900474,189.0,225
16,0,196.15811993001432,327.37002279836696,93.0,228.0,231.0,185.0,1.2486486486486486,31435.0,0.7355797355797355,0.6937603888113282,48.33062586575998,0.8641855581898009,dark_blob,75.0,38.0,0.0,455.0,13.699902993348116,0.2764648819616539,True,True,OK,229.0,229.17045454545453,189.0,225
17,0,196.13233789707462,327.38259099654937,93.0,228.0,231.0,185.0,1.2486486486486486,31443.5,0.7357786357786358,0.6965564592092836,48.33803348860632,0.8645500341244636,dark_blob,75.0,38.0,0.0,455.0,13.699762872628726,0.27645663956639566,True,True,OK,229.0,229.17222222222222,189.0,225
18,0,196.10908792129172,327.37924472292013,93.0,228.0,231.0,185.0,1.2486486486486486,31441.0,0.7357201357201357,0.69758576914146,48.34687903301961,0.8646702391529766,dark_blob,75.0,38.0,0.0,455.0,13.704202373104811,0.2767177866532242,True,True,OK,229.0,229.11621621621623,189.0,225
19,0,196.09818796785206,327.3759887185359,93.0,228.0,231.0,185.0,1.2486486486486486,31438.0,0.7356499356499356,0.69751920706804,48.338538059560534,0.8646624812578947,dark_blob,75.0,38.0,0.0,455.0,13.704202373104811,0.2767177866532242,True,True,OK,229.0,229.11621621621623,189.0,225
20,0,196.1467319845612,327.3697724477245,93.0,228.0,230.0,185.0,1.2432432432432432,31436.0,0.738801410105758,0.6953083249259151,48.37283173303951,0.8648835163891246,dark_blob,75.0,38.0,0.0,455.0,13.680207646671063,0.27530633215712136,True,True,OK,229.0,229.4189189189189,189.0,225
21,0,196.148347861127,327.3712752645755,93.0,228.0,230.0,185.0,1.2432432432432432,31434.0,0.7387544065804935,0.6952640884883959,48.37921480968423,0.8648665601827046,dark_blob,75.0,38.0,0.0,455.0,13.682016154577129,0.2754127149751252,True,True,OK,229.0,229.3961038961039,189.0,225
22,0,196.1318204227032,327.3818111459211,93.0,228.0,230.0,185.0,1.2432432432432432,31440.5,0.7389071680376028,0.6949603568108539,48.3754918316598,0.8648712634034842,dark_blob,75.0,38.0,0.0,455.0,13.682124518613607,0.2754190893302122,True,True,OK,229.0,229.39473684210526,189.0,225
23,0,196.14859220625024,327.38825107068647,93.0,228.0,231.0,185.0,1.2486486486486486,31444.0,0.7357903357903358,0.6930672878226012,48.373504972932146,0.8640708664010609,dark_blob,75.0,38.0,0.0,455.0,13.700353381374724,0.27649137537498375,True,True,OK,229.0,229.16477272727272,189.0,226
24,0,196.18160769727987,327.4000911296902,93.0,228.0,232.0,185.0,1.2540540540540541,31457.0,0.7329217148182665,0.6875656213184977,48.37515336458301,0.862686906430715,dark_blob,75.0,38.0,0.0,455.0,13.684888146652169,0.2755816556854217,True,True,OK,229.0,229.35987261146497,189.0,226
25,0,196.18677347914084,327.4027455468311,93.0,228.0,232.0,185.0,1.2540540540540541,31457.0,0.7329217148182665,0.6875656219670859,48.36618743511499,0.8626912239850635,dark_blob,75.0,38.0,0.0,455.0,13.682764227642277,0.27545671927307513,True,True,OK,229.0,229.38666666666666,189.0,226
26,0,196.19303487331075,327.4029793027456,93.0,228.0,232.0,185.0,1.2540540540540541,31461.5,0.7330265610438024,0.6866026859366873,48.36987292400604,0.8625930799847485,dark_blob,75.0,38.0,0.0,455.0,13.682985837922896,0.27546975517193506,True,True,OK,229.0,229.38387096774193,189.0,228
27,0,196.18504272825044,327.4039554757325,93.0,228.0,232.0,185.0,1.2540540540540541,31458.5,0.7329566635601118,0.6865372147534735,48.37365126301551,0.8625631473246934,dark_blob,75.0,38.0,0.0,455.0,13.683045612923662,0.2754732713484507,True,True,OK,229.0,229.38311688311688,189.0,228
28,0,196.24614130118235,327.4188627494585,93.0,228.0,232.0,185.0,1.2540540540540541,31476.5,0.7333760484622553,0.6869300377532308,48.37601785770428,0.8626979088200933,dark_blob,75.0,38.0,0.0,455.0,13.683045612923662,0.2754732713484507,True,True,OK,229.0,229.38311688311688,189.0,227
