frame,time_video_s,time_real_s,x_center_px,y_center_px,radius_px,x_left_px,y_top_px,x_right_px,y_bottom_px,confidence,valid,method,roi_x_px,roi_y_px,roi_w_px,roi_h_px,video_fps,time_scale
71,2.366644126984127,2.366644126984127,533.0,339.0,80.0,453.0,259.0,613.0,419.0,0.5966515924560257,True,hough,208,70,454,352,30.00028571700683,1.0
72,2.399977142857143,2.399977142857143,533.0,339.0,80.0,453.0,259.0,613.0,419.0,0.5965317042288361,True,hough,208,70,454,352,30.00028571700683,1.0
73,2.433310158730159,2.433310158730159,546.0,321.0,84.0,462.0,237.0,630.0,405.0,0.5732221804202786,True,hough,208,70,454,352,30.00028571700683,1.0
74,2.4666431746031745,2.4666431746031745,547.0,323.0,84.0,463.0,239.0,631.0,407.0,0.5707944961355222,True,hough,208,70,454,352,30.00028571700683,1.0
75,2.4999761904761906,2.4999761904761906,533.0,337.0,79.0,454.0,258.0,612.0,416.0,0.6122963224323503,True,hough,208,70,454,352,30.00028571700683,1.0
76,2.533309206349206,2.533309206349206,546.0,323.0,84.0,462.0,239.0,630.0,407.0,0.5714086099643096,True,hough,208,70,454,352,30.00028571700683,1.0
77,2.5666422222222223,2.5666422222222223,547.0,323.0,84.0,463.0,239.0,631.0,407.0,0.57191504698542,True,hough,208,70,454,352,30.00028571700683,1.0
78,2.599975238095238,2.599975238095238,549.0,323.0,84.0,465.0,239.0,633.0,407.0,0.5717539586717229,True,hough,208,70,454,352,30.00028571700683,1.0
79,2.633308253968254,2.633308253968254,548.0,319.0,80.0,468.0,239.0,628.0,399.0,0.6228615280013807,True,hough,208,70,454,352,30.00028571700683,1.0
80,2.66664126984127,2.66664126984127,545.0,314.0,75.0,470.0,239.0,620.0,389.0,0.6917756810426812,True,hough,208,70,454,352,30.00028571700683,1.0
81,2.6999742857142857,2.6999742857142857,543.0,314.0,75.0,468.0,239.0,618.0,389.0,0.6922857291604281,True,hough,208,70,454,352,30.00028571700683,1.0
82,2.7333073015873017,2.7333073015873017,543.0,314.0,75.0,468.0,239.0,618.0,389.0,0.6919270563111584,True,hough,208,70,454,352,30.00028571700683,1.0
83,2.7666403174603174,2.7666403174603174,545.0,313.0,74.0,471.0,239.0,619.0,387.0,0.705685084734361,True,hough,208,70,454,352,30.00028571700683,1.0
84,2.7999733333333334,2.7999733333333334,529.0,333.0,83.0,446.0,250.0,612.0,416.0,0.5698920538979001,True,hough,208,70,454,352,30.00028571700683,1.0
85,2.833306349206349,2.833306349206349,535.0,343.0,80.0,455.0,263.0,615.0,423.0,0.5944294825715966,True,hough,208,70,454,352,30.00028571700683,1.0
86,2.866639365079365,2.866639365079365,533.0,341.0,80.0,453.0,261.0,613.0,421.0,0.5954443555400453,True,hough,208,70,454,352,30.00028571700683,1.0
87,2.8999723809523807,2.8999723809523807,535.0,343.0,80.0,455.0,263.0,615.0,423.0,0.5937444473009438,True,hough,208,70,454,352,30.00028571700683,1.0
88,2.933305396825397,2.933305396825397,545.0,341.0,79.0,466.0,262.0,624.0,420.0,0.6083340360058014,True,hough,208,70,454,352,30.00028571700683,1.0
89,2.966638412698413,2.966638412698413,545.0,317.0,76.0,469.0,241.0,621.0,393.0,0.6700110878265872,True,hough,208,70,454,352,30.00028571700683,1.0
90,2.9999714285714285,2.9999714285714285,542.0,317.0,76.0,466.0,241.0,618.0,393.0,0.6706107186582302,True,hough,208,70,454,352,30.00028571700683,1.0
91,3.0333044444444446,3.0333044444444446,542.0,317.0,76.0,466.0,241.0,618.0,393.0,0.6708280438779732,True,hough,208,70,454,352,30.00028571700683,1.0
92,3.06663746031746,3.06663746031746,549.0,323.0,84.0,465.0,239.0,633.0,407.0,0.567853421544569,True,hough,208,70,454,352,30.00028571700683,1.0
93,3.0999704761904763,3.0999704761904763,549.0,323.0,84.0,465.0,239.0,633.0,407.0,0.5677972515366934,True,hough,208,70,454,352,30.00028571700683,1.0
94,3.133303492063492,3.133303492063492,534.0,341.0,80.0,454.0,261.0,614.0,421.0,0.5930619979607903,True,hough,208,70,454,352,30.00028571700683,1.0
95,3.166636507936508,3.166636507936508,551.0,323.0,84.0,467.0,239.0,635.0,407.0,0.5662665941827112,True,hough,208,70,454,352,30.00028571700683,1.0
96,3.1999695238095236,3.1999695238095236,535.0,342.0,80.0,455.0,262.0,615.0,422.0,0.5922307415421719,True,hough,208,70,454,352,30.00028571700683,1.0
97,3.2333025396825397,3.2333025396825397,535.0,342.0,80.0,455.0,262.0,615.0,422.0,0.592154382761608,True,hough,208,70,454,352,30.00028571700683,1.0
98,3.2666355555555557,3.2666355555555557,534.0,341.0,80.0,454.0,261.0,614.0,421.0,0.5929058240924081,True,hough,208,70,454,352,30.00028571700683,1.0
99,3.2999685714285714,3.2999685714285714,541.0,315.0,78.0,463.0,237.0,619.0,393.0,0.6509389616302992,True,hough,208,70,454,352,30.00028571700683,1.0
100,3.3333015873015874,3.3333015873015874,545.0,313.0,74.0,471.0,239.0,619.0,387.0,0.7036204078195656,True,hough,208,70,454,352,30.00028571700683,1.0
101,3.366634603174603,3.366634603174603,548.0,324.0,84.0,464.0,240.0,632.0,408.0,0.5696471276864936,True,hough,208,70,454,352,30.00028571700683,1.0
102,3.399967619047619,3.399967619047619,548.0,324.0,84.0,464.0,240.0,632.0,408.0,0.5696720693714765,True,hough,208,70,454,352,30.00028571700683,1.0
103,3.4333006349206348,3.4333006349206348,541.0,337.0,75.0,466.0,262.0,616.0,412.0,0.664527465339757,True,hough,208,70,454,352,30.00028571700683,1.0
104,3.466633650793651,3.466633650793651,545.0,319.0,79.0,466.0,240.0,624.0,398.0,0.6379484569900096,True,hough,208,70,454,352,30.00028571700683,1.0
105,3.4999666666666664,3.4999666666666664,545.0,319.0,79.0,466.0,240.0,624.0,398.0,0.6378633005389118,True,hough,208,70,454,352,30.00028571700683,1.0
106,3.5332996825396825,3.5332996825396825,545.0,319.0,79.0,466.0,240.0,624.0,398.0,0.6378294322641156,True,hough,208,70,454,352,30.00028571700683,1.0
107,3.5666326984126986,3.5666326984126986,546.0,319.0,79.0,467.0,240.0,625.0,398.0,0.6383298431604556,True,hough,208,70,454,352,30.00028571700683,1.0
108,3.599965714285714,3.599965714285714,549.0,308.0,70.0,479.0,238.0,619.0,378.0,0.7589467638790142,True,hough,208,70,454,352,30.00028571700683,1.0
109,3.6332987301587303,3.6332987301587303,545.0,319.0,79.0,466.0,240.0,624.0,398.0,0.6390665908145154,True,hough,208,70,454,352,30.00028571700683,1.0
110,3.666631746031746,3.666631746031746,545.0,319.0,79.0,466.0,240.0,624.0,398.0,0.6389165410362141,True,hough,208,70,454,352,30.00028571700683,1.0
111,3.699964761904762,3.699964761904762,549.0,308.0,70.0,479.0,238.0,619.0,378.0,0.7589046095034411,True,hough,208,70,454,352,30.00028571700683,1.0
112,3.7332977777777776,3.7332977777777776,543.0,318.0,78.0,465.0,240.0,621.0,396.0,0.656222811812792,True,hough,208,70,454,352,30.00028571700683,1.0
113,3.7666307936507937,3.7666307936507937,543.0,315.0,75.0,468.0,240.0,618.0,390.0,0.6969156304274733,True,hough,208,70,454,352,30.00028571700683,1.0
114,3.7999638095238093,3.7999638095238093,545.0,313.0,72.0,473.0,241.0,617.0,385.0,0.7388503642466702,True,hough,208,70,454,352,30.00028571700683,1.0
115,3.8332968253968254,3.8332968253968254,548.0,320.0,80.0,468.0,240.0,628.0,400.0,0.6275506083045841,True,hough,208,70,454,352,30.00028571700683,1.0
116,3.8666298412698414,3.8666298412698414,527.0,339.0,79.0,448.0,260.0,606.0,418.0,0.6148039506815863,True,hough,208,70,454,352,30.00028571700683,1.0
117,3.899962857142857,3.899962857142857,547.0,347.0,74.0,473.0,273.0,621.0,421.0,0.6645897489672967,True,hough,208,70,454,352,30.00028571700683,1.0
118,3.933295873015873,3.933295873015873,534.0,317.0,84.0,450.0,233.0,618.0,401.0,0.5944645914948605,True,hough,208,70,454,352,30.00028571700683,1.0
119,3.9666288888888888,3.9666288888888888,534.0,337.0,80.0,454.0,257.0,614.0,417.0,0.6086056063956486,True,hough,208,70,454,352,30.00028571700683,1.0
120,3.999961904761905,3.999961904761905,547.0,324.0,84.0,463.0,240.0,631.0,408.0,0.5725207867511677,True,hough,208,70,454,352,30.00028571700683,1.0
121,4.033294920634921,4.033294920634921,547.0,324.0,84.0,463.0,240.0,631.0,408.0,0.5724816096019725,True,hough,208,70,454,352,30.00028571700683,1.0
122,4.0666279365079365,4.0666279365079365,537.0,333.0,71.0,466.0,262.0,608.0,404.0,0.7159692488783849,True,hough,208,70,454,352,30.00028571700683,1.0
123,4.099960952380952,4.099960952380952,543.0,313.0,74.0,469.0,239.0,617.0,387.0,0.7063421849792169,True,hough,208,70,454,352,30.00028571700683,1.0
124,4.133293968253968,4.133293968253968,528.0,336.0,82.0,446.0,254.0,610.0,418.0,0.5813173282242184,True,hough,208,70,454,352,30.00028571700683,1.0
125,4.166626984126984,4.166626984126984,547.0,324.0,84.0,463.0,240.0,631.0,408.0,0.5721587995490216,True,hough,208,70,454,352,30.00028571700683,1.0
126,4.19996,4.19996,543.0,313.0,74.0,469.0,239.0,617.0,387.0,0.7060548844020325,True,hough,208,70,454,352,30.00028571700683,1.0
127,4.2332930158730155,4.2332930158730155,546.0,324.0,84.0,462.0,240.0,630.0,408.0,0.573142786285179,True,hough,208,70,454,352,30.00028571700683,1.0
128,4.266626031746032,4.266626031746032,549.0,308.0,70.0,479.0,238.0,619.0,378.0,0.7589604114378232,True,hough,208,70,454,352,30.00028571700683,1.0
129,4.299959047619048,4.299959047619048,548.0,319.0,80.0,468.0,239.0,628.0,399.0,0.6267873758665465,True,hough,208,70,454,352,30.00028571700683,1.0
130,4.333292063492063,4.333292063492063,549.0,324.0,84.0,465.0,240.0,633.0,408.0,0.575235849123652,True,hough,208,70,454,352,30.00028571700683,1.0
131,4.366625079365079,4.366625079365079,543.0,315.0,75.0,468.0,240.0,618.0,390.0,0.6960321036796671,True,hough,208,70,454,352,30.00028571700683,1.0
132,4.3999580952380954,4.3999580952380954,547.0,318.0,78.0,469.0,240.0,625.0,396.0,0.6573306475107847,True,hough,208,70,454,352,30.00028571700683,1.0
133,4.433291111111111,4.433291111111111,540.0,342.0,78.0,462.0,264.0,618.0,420.0,0.6384057825205685,True,hough,208,70,454,352,30.00028571700683,1.0
134,4.466624126984127,4.466624126984127,531.0,356.0,63.0,468.0,293.0,594.0,419.0,0.744162435921488,True,hough,208,70,454,352,30.00028571700683,1.0
135,4.499957142857143,4.499957142857143,525.0,341.0,79.0,446.0,262.0,604.0,420.0,0.6248326671025164,True,hough,208,70,454,352,30.00028571700683,1.0
136,4.533290158730159,4.533290158730159,533.0,342.0,78.0,455.0,264.0,611.0,420.0,0.6483998990902169,True,hough,208,70,454,352,30.00028571700683,1.0
