T_US,HALL_INF_MV,HALL_SUP_MV,PWM,SYNC_PULSE
1229787258,1521,1704,0,0
1229789258,1525,1705,0,0
1229791258,1521,1709,0,0
1229793258,1536,1704,0,0
1229795258,1520,1702,0,0
1229797258,1523,1703,0,0
1229799258,1518,1703,0,0
1229801258,1529,1710,0,0
1229803258,1521,1701,0,0
1229805258,1527,1701,0,0
1229807258,1521,1705,0,0
1229809258,1524,1706,0,0
1229811258,1524,1704,0,0
1229813258,1524,1701,0,0
1229815258,1518,1705,0,0
1229817258,1524,1705,0,0
1229819258,1528,1709,0,0
1229821258,1528,1713,0,0
1229823258,1525,1706,0,0
1229825258,1526,1705,0,0
1229827258,1523,1708,0,0
1229829258,1525,1709,0,0
1229831258,1525,1709,0,0
1229833258,1526,1697,0,0
1229835258,1520,1709,0,0
1229837258,1525,1702,0,0
1229839258,1530,1705,0,0
1229841258,1526,1704,0,0
1229843258,1526,1707,0,0
1229845258,1524,1697,0,0
1229847258,1536,1701,0,0
1229849258,1526,1702,0,0
1229851258,1526,1707,0,0
1229853258,1527,1706,0,0
1229855258,1525,1710,0,0
1229857258,1523,1705,0,0
1229859258,1526,1704,0,0
1229861258,1516,1703,0,0
1229863258,1526,1701,0,0
1229865258,1523,1707,0,0
1229867258,1523,1705,0,0
1229869258,1525,1705,0,0
1229871258,1525,1703,0,0
1229873258,1520,1702,0,0
1229875258,1524,1705,0,0
1229877258,1523,1700,0,0
1229879258,1523,1705,0,0
1229881258,1520,1702,0,0
1229883258,1524,1701,0,0
1229885258,1518,1705,0,0
1229887258,1524,1705,0,0
1229889258,1524,1704,0,0
1229891258,1526,1709,0,0
1229893258,1521,1705,0,0
1229895258,1524,1700,0,0
1229897258,1524,1712,0,0
1229899258,1526,1707,0,0
1229901258,1520,1704,0,0
1229903258,1528,1705,0,0
1229905258,1527,1704,0,0
1229907258,1529,1707,0,0
1229909258,1521,1705,0,0
1229911258,1517,1705,0,0
1229913258,1527,1700,0,0
1229915258,1526,1713,0,0
1229917258,1517,1703,0,0
1229919258,1525,1702,0,0
1229921258,1526,1705,0,0
1229923258,1521,1707,0,0
1229925258,1523,1706,0,0
1229927258,1518,1701,0,0
1229929258,1525,1706,0,0
1229931258,1525,1707,0,0
1229933258,1528,1706,0,0
1229935258,1520,1705,0,0
1229937258,1524,1708,0,0
1229939258,1529,1716,0,0
1229941258,1518,1707,0,0
1229943258,1528,1709,0,0
1229945258,1516,1703,0,0
1229947258,1524,1706,0,0
1229949258,1515,1696,0,0
1229951258,1526,1703,0,0
1229953258,1523,1704,0,0
1229955258,1526,1701,0,0
1229957258,1527,1709,0,0
1229959258,1517,1706,0,0
1229961258,1529,1709,0,0
1229963258,1521,1705,0,0
1229965258,1524,1697,0,0
1229967258,1526,1709,0,0
1229969258,1521,1715,0,0
1229971258,1524,1706,0,0
1229973258,1530,1705,0,0
1229975258,1524,1709,0,0
1229977258,1524,1705,0,0
1229979258,1524,1713,0,0
1229981258,1523,1704,0,0
1229983258,1520,1707,0,0
1229985258,1531,1705,0,0
1229987258,1520,1704,0,0
1229989258,1524,1704,0,0
1229991258,1532,1701,0,0
1229993258,1520,1701,0,0
1229995258,1527,1710,0,0
1229997258,1524,1706,0,0
1229999258,1524,1694,0,0
1230001258,1524,1708,0,0
1230003258,1524,1703,0,0
1230005258,1530,1697,0,0
1230007258,1524,1702,0,0
1230009258,1520,1701,0,0
1230011258,1525,1710,0,0
1230013258,1521,1703,0,0
1230015258,1533,1706,0,0
1230017258,1515,1706,0,0
1230019258,1524,1703,0,0
1230021258,1524,1694,0,0
1230023258,1518,1709,0,0
1230025258,1523,1705,0,0
1230027258,1525,1706,0,0
1230029258,1521,1701,0,0
1230031258,1516,1697,0,0
1230033258,1525,1705,0,0
1230035258,1520,1706,0,0
1230037258,1527,1705,0,0
1230039258,1527,1705,0,0
1230041258,1523,1697,0,0
1230043258,1518,1706,0,0
1230045258,1528,1697,0,0
1230047258,1516,1697,0,0
1230049258,1523,1709,0,0
